"","EXERCISE","DATE","WEIGHT","REPS","SOURCE","CATEGORY","SET_NUM"
"1","Ab Wheel (kneeling)",2012-05-30,5,5,"Fitocracy",NA,NA
"2","Abductor Machine",2012-01-29,45,10,"Fitocracy",NA,NA
"3","Abductor Machine",2012-01-29,50,10,"Fitocracy",NA,NA
"4","Abductor Machine",2012-01-29,55,10,"Fitocracy",NA,NA
"5","Adductor Machine",2012-01-29,35,10,"Fitocracy",NA,NA
"6","Adductor Machine",2012-01-29,45,10,"Fitocracy",NA,NA
"7","Adductor Machine",2012-01-29,50,10,"Fitocracy",NA,NA
"8","Alternate Hammer Dumbbell  Curl",2012-02-13,10,30,"Fitocracy",NA,NA
"9","Alternate Hammer Dumbbell  Curl",2012-02-13,10,10,"Fitocracy",NA,NA
"10","Alternate Hammer Dumbbell  Curl",2012-09-21,11.5,8,"Fitocracy",NA,NA
"11","Alternate Hammer Dumbbell  Curl",2012-09-21,11.5,8,"Fitocracy",NA,NA
"12","Alternating Kettlebell Row",2013-05-14,6,8,"Fitocracy",NA,NA
"13","Alternating Kettlebell Row",2013-05-23,10,10,"Fitocracy",NA,NA
"14","Arnold Dumbbell Press",2012-12-31,17.5,5,"Fitocracy",NA,NA
"15","Arnold Dumbbell Press",2013-01-06,12,10,"Fitocracy",NA,NA
"16","Arnold Dumbbell Press",2013-01-06,12,8,"Fitocracy",NA,NA
"17","Arnold Dumbbell Press",2013-01-06,8,10,"Fitocracy",NA,NA
"18","Arnold Dumbbell Press",2013-04-30,7,12,"Fitocracy",NA,NA
"19","Arnold Dumbbell Press",2013-04-30,7,12,"Fitocracy",NA,NA
"20","Arnold Dumbbell Press",2013-05-03,7,12,"Fitocracy",NA,NA
"21","Arnold Dumbbell Press",2013-05-03,7,12,"Fitocracy",NA,NA
"22","Arnold Dumbbell Press",2013-05-03,7,8,"Fitocracy",NA,NA
"23","Arnold Dumbbell Press",2013-05-03,7,8,"Fitocracy",NA,NA
"24","Arnold Dumbbell Press",2013-05-03,7,8,"Fitocracy",NA,NA
"25","Arnold Dumbbell Press",2013-05-03,7,8,"Fitocracy",NA,NA
"26","Arnold Dumbbell Press",2013-05-03,7,8,"Fitocracy",NA,NA
"27","Arnold Dumbbell Press",2013-05-03,7,8,"Fitocracy",NA,NA
"28","Arnold Dumbbell Press",2013-05-03,7,8,"Fitocracy",NA,NA
"29","Arnold Dumbbell Press",2013-05-03,7,8,"Fitocracy",NA,NA
"30","Arnold Dumbbell Press",2013-05-05,12,5,"Fitocracy",NA,NA
"31","Arnold Dumbbell Press",2013-05-12,6,10,"Fitocracy",NA,NA
"32","Arnold Dumbbell Press",2013-05-22,10,8,"Fitocracy",NA,NA
"33","Arnold Dumbbell Press",2013-05-22,10,8,"Fitocracy",NA,NA
"34","Arnold Dumbbell Press",2013-05-25,10,10,"Fitocracy",NA,NA
