"","DATE","EXERCISE","CATEGORY","WEIGHT","REPS","SET_NUM","SOURCE"
"1",2014-07-29,"Flat Dumbbell Bench Press","Chest","12.0","10",1,"FitNotes"
"2",2014-07-29,"Flat Dumbbell Bench Press","Chest","22.0","5",2,"FitNotes"
"3",2014-07-29,"Flat Dumbbell Bench Press","Chest","26.0","5",3,"FitNotes"
"4",2014-07-29,"Flat Dumbbell Bench Press","Chest","30.0","3",4,"FitNotes"
"5",2014-07-29,"Isolateral Lat Pulldown","Back","40.0","10",1,"FitNotes"
"6",2014-07-29,"Isolateral Lat Pulldown","Back","60.0","10",2,"FitNotes"
"7",2014-07-29,"Chin Up","Back","0.0","3",1,"FitNotes"
"8",2014-07-29,"Deadlift","Back","100.0","5",1,"FitNotes"
"9",2014-07-29,"One-Arm Kettlebell Row","Back","18.0","10",1,"FitNotes"
"10",2014-07-29,"One-Arm Kettlebell Row","Back","28.0","5",2,"FitNotes"
"11",2014-07-29,"Neutral Chin Up","Back","0.0","3",1,"FitNotes"
"12",2014-08-04,"Neutral Chin Up","Back","0.0","6",1,"FitNotes"
"13",2014-08-04,"Neutral Chin Up","Back","0.0","3",2,"FitNotes"
"14",2014-08-04,"Monkey bars","Back","0.0","11",1,"FitNotes"
"15",2014-08-04,"Kettlebell Snatch","Back","12.0","10",1,"FitNotes"
"16",2014-08-04,"Kettlebell Snatch","Back","16.0","5",2,"FitNotes"
"17",2014-08-04,"Parallel Bar Triceps Dip","Triceps","0.0","3",1,"FitNotes"
"18",2014-08-04,"Flat Barbell Bench Press","Chest","50.0","10",1,"FitNotes"
"19",2014-08-04,"Flat Barbell Bench Press","Chest","70.0","3",2,"FitNotes"
"20",2014-08-04,"T-Bar Row","Back","20.0","10",1,"FitNotes"
"21",2014-08-04,"T-Bar Row","Back","30.0","10",2,"FitNotes"
"22",2014-08-04,"Lat Pulldown","Back","36.0","10",1,"FitNotes"
"23",2014-08-04,"Seated Dip Machine","Triceps","36.0","10",1,"FitNotes"
"24",2014-08-04,"Seated Dip Machine","Triceps","50.0","5",2,"FitNotes"
