"Date","Exercise","Category","Weight (kgs)","Reps","Distance","Distance Unit","Time"
2014-07-29,Flat Dumbbell Bench Press,Chest,12.0,10,,,
2014-07-29,Flat Dumbbell Bench Press,Chest,22.0,5,,,
2014-07-29,Flat Dumbbell Bench Press,Chest,26.0,5,,,
2014-07-29,Flat Dumbbell Bench Press,Chest,30.0,3,,,
2014-07-29,Isolateral Lat Pulldown,Back,40.0,10,,,
2014-07-29,Isolateral Lat Pulldown,Back,60.0,10,,,
2014-07-29,Chin Up,Back,0.0,3,,,
2014-07-29,Deadlift,Back,100.0,5,,,
2014-07-29,One-Arm Kettlebell Row,Back,18.0,10,,,
2014-07-29,One-Arm Kettlebell Row,Back,28.0,5,,,
2014-07-29,Neutral Chin Up,Back,0.0,3,,,
2014-08-04,Neutral Chin Up,Back,0.0,6,,,
2014-08-04,Neutral Chin Up,Back,0.0,3,,,
2014-08-04,Monkey bars,Back,0.0,11,,,
2014-08-04,Kettlebell Snatch,Back,12.0,10,,,
2014-08-04,Kettlebell Snatch,Back,16.0,5,,,
2014-08-04,Parallel Bar Triceps Dip,Triceps,0.0,3,,,
2014-08-04,Flat Barbell Bench Press,Chest,50.0,10,,,
2014-08-04,Flat Barbell Bench Press,Chest,70.0,3,,,
2014-08-04,T-Bar Row,Back,20.0,10,,,
2014-08-04,T-Bar Row,Back,30.0,10,,,
2014-08-04,Lat Pulldown,Back,36.0,10,,,
2014-08-04,Seated Dip Machine,Triceps,36.0,10,,,
2014-08-04,Seated Dip Machine,Triceps,50.0,5,,,
2014-08-04,Seated Dip Machine,Triceps,64.0,3,,,
2014-08-04,Pendlay Row,Back,50.0,5,,,
2014-08-04,Pendlay Row,Back,70.0,5,,,
2014-08-04,Pendlay Row,Back,70.0,5,,,
2014-08-04,Assisted Pull-Up,Back,40.5,10,,,
2014-08-04,Assisted Wide-Grip Pull-Up,Back,40.5,10,,,
2014-08-04,EZ-Bar Preacher Curl,Biceps,17.5,10,,,
2014-08-04,EZ-Bar Preacher Curl,Biceps,17.5,10,,,
2014-08-04,Arnold Dumbbell Press,Shoulders,15.0,10,,,
2014-08-04,Arnold Dumbbell Press,Shoulders,17.5,8,,,
2014-08-04,One-Arm Rope Triceps Pushdown,Triceps,15.0,10,,,
2014-08-04,One-Arm Rope Triceps Pushdown,Triceps,20.0,10,,,
2014-08-05,Barbell Squat,Legs,20.0,5,,,
