Date,Exercise,Category,Weight (kgs),Reps,Distance,Distance Unit,Time,Comment
2015-06-07,Seated Rope Cable Face Pull,Posterior Deltoid,25.0,10,,,,""
2015-06-07,Seated Rope Cable Face Pull,Posterior Deltoid,25.0,10,,,,""
2015-06-07,Seated Rope Cable Face Pull,Posterior Deltoid,25.0,10,,,,""
2015-06-07,Rocking Seated Cable Row,Back,50.0,10,,,,""
2015-06-07,Rocking Seated Cable Row,Back,65.0,10,,,,""
2015-06-07,Rocking Seated Cable Row,Back,75.0,8,,,,""
2015-06-07,Cable Lat Pulldown,Back,55.0,10,,,,""
2015-06-07,Cable Lat Pulldown,Back,60.0,5,,,,""
2015-06-07,Cable Lat Pulldown,Back,50.0,10,,,,""
2015-06-07,Cable Lat Pulldown,Back,50.0,10,,,,""
2015-06-07,Barbell Incline Bench Press,Chest,40.0,10,,,,""
2015-06-07,Barbell Incline Bench Press,Chest,50.0,10,,,,""
2015-06-07,Barbell Incline Bench Press,Chest,60.0,10,,,,""
2015-06-07,Barbell Incline Bench Press,Chest,50.0,8,,,,""
2015-06-07,Barbell Close-Grip Bench Press,Triceps,40.0,10,,,,""
2015-06-07,Barbell Close-Grip Bench Press,Triceps,50.0,10,,,,""
2015-06-07,Barbell Close-Grip Bench Press,Triceps,50.0,8,,,,""
2015-06-07,Far One-Arm Rope Cable Triceps Pushdown,Triceps,17.5,10,,,,""
2015-06-07,Far One-Arm Rope Cable Triceps Pushdown,Triceps,17.5,8,,,,""
2015-06-08,Barbell Front Squat,Posterior Chain,20.0,10,,,,""
2015-06-08,Barbell Front Squat,Posterior Chain,40.0,10,,,,""
2015-06-08,Barbell Front Squat,Posterior Chain,50.0,10,,,,""
2015-06-08,Barbell Front Squat,Posterior Chain,60.0,10,,,,""
2015-06-08,Barbell High-Bar Back Squat,Posterior Chain,60.0,10,,,,""
2015-06-08,Barbell High-Bar Back Squat,Posterior Chain,80.0,5,,,,""
2015-06-08,Barbell High-Bar Back Squat,Posterior Chain,90.0,5,,,,""
2015-06-08,Barbell Glute Bridge,Gluteus,60.0,10,,,,""
2015-06-08,Barbell Glute Bridge,Gluteus,60.0,10,,,,""
2015-06-08,Barbell Glute Bridge,Gluteus,60.0,10,,,,""
2015-06-08,Plate-Loaded Squat Press,Quadriceps,100.0,10,,,,""
2015-06-08,Plate-Loaded Squat Press,Quadriceps,140.0,10,,,,""
2015-06-08,Plate-Loaded Squat Press,Quadriceps,160.0,10,,,,""
2015-06-08,Seated Plate-Loaded Calf Raise Machine,Calves,50.0,10,,,,""
2015-06-08,Seated Plate-Loaded Calf Raise Machine,Calves,50.0,10,,,,""
2015-06-08,Lying Leg Curl Machine,Hamstrings,40.0,15,,,,""
2015-06-08,Lying Leg Curl Machine,Hamstrings,45.0,10,,,,""
2015-06-12,Bradshaw Press,Anterior Deltoid,20.0,10,,,,""
2015-06-12,Bradshaw Press,Anterior Deltoid,40.0,5,,,,""
2015-06-12,Barbell Overhead Press,Anterior Deltoid,50.0,5,,,,""
2015-06-12,Barbell Overhead Press,Anterior Deltoid,55.0,2,,,,""
2015-06-12,Bradshaw Press,Anterior Deltoid,40.0,5,,,,""
2015-06-12,Rocking Seated Cable Row,Back,50.0,10,,,,""
2015-06-12,Rocking Seated Cable Row,Back,60.0,10,,,,""
2015-06-12,Rocking Seated Cable Row,Back,70.0,10,,,,""
2015-06-12,Seated Rope Cable Face Pull,Posterior Deltoid,20.0,10,,,,""
2015-06-12,Seated Rope Cable Face Pull,Posterior Deltoid,20.0,10,,,,""
2015-06-12,Wide Hammer-Grip Cable Lat Pulldown,Back,30.0,10,,,,""
2015-06-12,Wide Hammer-Grip Cable Lat Pulldown,Back,50.0,10,,,,""
2015-06-12,Wide Hammer-Grip Cable Lat Pulldown,Back,60.0,6,,,,""
2015-06-12,Wide Hammer-Grip Cable Lat Pulldown,Back,55.0,10,,,,""
2015-06-12,Batwing Row,Posterior Deltoid,10.0,10,,,,""
2015-06-12,Batwing Row,Posterior Deltoid,15.0,10,,,,""
2015-06-12,Dumbbell Front Raise,Anterior Deltoid,5.0,5,,,,""
2015-06-12,Standing Dumbbell Lateral Raise,Lateral Deltoid,5.0,5,,,,""
2015-06-12,Standing Dumbbell Lateral Raise,Lateral Deltoid,5.0,5,,,,""
2015-06-12,Dumbbell Front Raise,Anterior Deltoid,5.0,5,,,,""
2015-06-12,Dumbbell Fly,Pectoralis,10.0,10,,,,""
2015-06-12,Dumbbell Fly,Pectoralis,10.0,10,,,,""
2015-06-12,Dumbbell Fly,Pectoralis,10.0,10,,,,""
2015-06-12,Rope Cable Triceps Pushdown,Triceps,40.0,10,,,,""
2015-06-12,Rope Cable Triceps Pushdown,Triceps,50.0,10,,,,""
2015-06-12,High Cable Rear Delt Crossover,Posterior Deltoid,15.0,10,,,,""
2015-06-12,High Cable Rear Delt Crossover,Posterior Deltoid,15.0,10,,,,""
