"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Arnold Dumbbell Press",2012-12-31,801,17.5,,5,,"17.5 kg || 5 reps","36"
"Arnold Dumbbell Press",2013-01-06,301,12,,10,,"12 kg || 10 reps","39"
"Arnold Dumbbell Press",2013-01-06,302,12,,8,,"12 kg || 8 reps","37"
"Arnold Dumbbell Press",2013-01-06,303,8,,10,,"8 kg || 10 reps","37"
"Arnold Dumbbell Press",2013-04-30,1201,7,,12,,"7 kg || 12 reps","37"
"Arnold Dumbbell Press",2013-04-30,1202,7,,12,,"7 kg || 12 reps","37"
"Arnold Dumbbell Press",2013-05-03,1001,7,,12,,"7 kg || 12 reps","37"
"Arnold Dumbbell Press",2013-05-03,1002,7,,12,,"7 kg || 12 reps","37"
"Arnold Dumbbell Press",2013-05-03,1003,7,,8,,"7 kg || 8 reps","35"
"Arnold Dumbbell Press",2013-05-03,1004,7,,8,,"7 kg || 8 reps","35"
"Arnold Dumbbell Press",2013-05-03,1005,7,,8,,"7 kg || 8 reps","35"
"Arnold Dumbbell Press",2013-05-03,1006,7,,8,,"7 kg || 8 reps","35"
"Arnold Dumbbell Press",2013-05-03,1007,7,,8,,"7 kg || 8 reps","35"
"Arnold Dumbbell Press",2013-05-03,1008,7,,8,,"7 kg || 8 reps","35"
"Arnold Dumbbell Press",2013-05-03,1009,7,,8,,"7 kg || 8 reps","35"
"Arnold Dumbbell Press",2013-05-03,1010,7,,8,,"7 kg || 8 reps","35"
"Arnold Dumbbell Press",2013-05-05,1101,12,,5,,"12 kg || 5 reps","33"
"Arnold Dumbbell Press",2013-05-12,1301,6,,10,,"6 kg || 10 reps","36"
"Arnold Dumbbell Press",2013-05-22,301,10,,8,,"10 kg || 8 reps","36"
"Arnold Dumbbell Press",2013-05-22,302,10,,8,,"10 kg || 8 reps","36"
"Arnold Dumbbell Press",2013-05-25,501,10,,10,,"10 kg || 10 reps","38"
"Arnold Dumbbell Press",2013-05-25,502,10,,10,,"10 kg || 10 reps","38"
"Arnold Dumbbell Press",2013-08-29,801,10,,10,,"10 kg || 10 reps","38"
"Arnold Dumbbell Press",2013-10-27,7,5.5,,15,,"5.5 kg || 15 reps","37"
"Arnold Dumbbell Press",2013-10-27,8,8.5,,10,,"8.5 kg || 10 reps","37"
"Arnold Dumbbell Press",2013-11-08,19,8.5,,10,,"8.5 kg || 10 reps","37"
"Arnold Dumbbell Press",2013-11-08,20,8.5,,10,,"8.5 kg || 10 reps","37"
"Arnold Dumbbell Press",2013-12-27,26,13.5,,12,,"13.5 kg || 12 reps","41"
"Arnold Dumbbell Press",2014-02-20,17,12.5,,8,,"12.5 kg || 8 reps","38"
"Arnold Dumbbell Press",2014-02-20,18,7,,15,,"7 kg || 15 reps","38"
"Arnold Dumbbell Press",2014-03-29,19,10.5,,6,,"10.5 kg || 6 reps","34"
"Arnold Dumbbell Press",2014-03-29,20,22.5,,1,,"22.5 kg || 1 reps","21"
"Arnold Dumbbell Press",2014-03-29,21,10.5,,6,,"10.5 kg || 6 reps","34"
"Arnold Dumbbell Press",2014-03-29,22,10.5,,6,,"10.5 kg || 6 reps","34"
