"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Ball Slams",2013-02-13,801,25,,6.5,,"25 slams || 6.5 kg","64"
"Ball Slams",2013-02-13,802,25,,6.5,,"25 slams || 6.5 kg","64"
"Ball Slams",2013-02-15,101,25,,6.5,,"25 slams || 6.5 kg","64"
"Ball Slams",2013-02-15,102,25,,6.5,,"25 slams || 6.5 kg","64"
"Ball Slams",2013-02-25,901,25,,6.5,,"25 slams || 6.5 kg","64"
"Ball Slams",2013-09-17,501,5,,7.5,,"5 slams || 7.5 kg","12"
"Ball Slams",2013-09-17,502,5,,7.5,,"5 slams || 7.5 kg","12"
"Ball Slams",2013-09-17,503,5,,7.5,,"5 slams || 7.5 kg","12"
"Ball Slams",2013-09-19,1201,5,,7.5,,"5 slams || 7.5 kg","12"
"Ball Slams",2013-09-19,1202,5,,7.5,,"5 slams || 7.5 kg","12"
"Ball Slams",2013-09-19,1203,5,,7.5,,"5 slams || 7.5 kg","12"
