"Activity","Date (YYYYMMDD)","Set",,"unit","Combined","Points"
"Band Pull Aparts",2013-06-23,1,10,,"10 reps","6"
"Band Pull Aparts",2013-06-29,101,10,,"10 reps","6"
"Band Pull Aparts",2013-06-29,102,10,,"10 reps","6"
"Band Pull Aparts",2013-06-29,103,10,,"10 reps","6"
"Band Pull Aparts",2013-07-05,301,10,,"10 reps","6"
"Band Pull Aparts",2013-07-05,302,10,,"10 reps","6"
"Band Pull Aparts",2013-07-05,303,10,,"10 reps","6"
"Band Pull Aparts",2013-07-25,501,10,,"10 reps","6"
"Band Pull Aparts",2013-07-25,502,10,,"10 reps","6"
"Band Pull Aparts",2013-07-27,101,10,,"10 reps","6"
"Band Pull Aparts",2013-07-27,102,10,,"10 reps","6"
"Band Pull Aparts",2013-07-27,103,10,,"10 reps","6"
"Band Pull Aparts",2013-07-27,104,10,,"10 reps","6"
"Band Pull Aparts",2013-07-27,105,10,,"10 reps","6"
"Band Pull Aparts",2013-07-30,1,10,,"10 reps","6"
"Band Pull Aparts",2013-08-14,1,10,,"10 reps","6"
"Band Pull Aparts",2013-08-14,2,10,,"10 reps","6"
"Band Pull Aparts",2013-08-14,3,10,,"10 reps","6"
"Band Pull Aparts",2013-08-14,4,10,,"10 reps","6"
"Band Pull Aparts",2013-08-14,5,10,,"10 reps","6"
"Band Pull Aparts",2013-09-14,101,10,,"10 reps","6"
"Band Pull Aparts",2013-09-14,102,10,,"10 reps","6"
"Band Pull Aparts",2013-09-14,103,10,,"10 reps","6"
"Band Pull Aparts",2013-09-17,101,10,,"10 reps","6"
"Band Pull Aparts",2013-09-17,102,10,,"10 reps","6"
"Band Pull Aparts",2013-09-17,103,10,,"10 reps","6"
"Band Pull Aparts",2013-09-19,101,10,,"10 reps","6"
"Band Pull Aparts",2013-09-19,102,10,,"10 reps","6"
"Band Pull Aparts",2013-09-19,103,10,,"10 reps","6"
"Band Pull Aparts",2014-03-17,13,1,,"1 reps || 1-inch band","8"
"Band Pull Aparts",2014-03-17,14,10,,"10 reps || 1-inch band","70"
"Band Pull Aparts",2014-03-17,15,10,,"10 reps || 1-inch band","70"
"Band Pull Aparts",2014-03-17,16,10,,"10 reps || 1-inch band","70"
"Band Pull Aparts",2014-03-23,19,10,,"10 reps || 1/2-inch band","6"
"Band Pull Aparts",2014-03-23,20,10,,"10 reps || 1/2-inch band","6"
"Band Pull Aparts",2014-03-23,21,10,,"10 reps || 1/2-inch band","6"
"Band Pull Aparts",2014-03-23,22,10,,"10 reps || 1/2-inch band","6"
"Band Pull Aparts",2014-03-23,23,10,,"10 reps || 1/2-inch band","6"
"Band Pull Aparts",2014-03-23,24,10,,"10 reps || 1/2-inch band","6"
"Band Pull Aparts",2014-03-31,9,10,,"10 reps || 1/2-inch band","6"
"Band Pull Aparts",2014-03-31,10,10,,"10 reps || 1/2-inch band","6"
"Band Pull Aparts",2014-03-31,11,10,,"10 reps || 1/2-inch band","6"
