"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Bench Press",2012-03-06,101,30,,7,,"30 kg || 7 reps","45"
"Barbell Bench Press",2012-05-24,1,9,,5,,"9 kg || 5 reps","30"
"Barbell Bench Press",2012-05-24,2,29,,5,,"29 kg || 5 reps","40"
"Barbell Bench Press",2012-05-24,3,39,,5,,"39 kg || 5 reps","47"
"Barbell Bench Press",2012-05-24,4,49,,5,,"49 kg || 5 reps","55"
"Barbell Bench Press",2012-05-24,5,54,,4,,"54 kg || 4 reps","54"
"Barbell Bench Press",2012-06-01,401,10,,10,,"10 kg || 10 reps","36"
"Barbell Bench Press",2012-06-01,402,50,,5,,"50 kg || 5 reps","55"
"Barbell Bench Press",2012-06-01,403,50,,5,,"50 kg || 5 reps","55"
"Barbell Bench Press",2012-06-01,404,50,,5,,"50 kg || 5 reps","55"
"Barbell Bench Press",2012-06-01,405,60,,2,,"60 kg || 2 reps","43"
"Barbell Bench Press",2012-06-01,406,50,,5,,"50 kg || 5 reps","55"
"Barbell Bench Press",2012-06-01,407,50,,5,,"50 kg || 5 reps","55"
"Barbell Bench Press",2012-06-03,101,10,,20,,"10 kg || 20 reps","40"
"Barbell Bench Press",2012-06-03,102,50,,5,,"50 kg || 5 reps","55"
"Barbell Bench Press",2012-06-03,103,50,,5,,"50 kg || 5 reps","55"
"Barbell Bench Press",2012-06-03,104,55,,5,,"55 kg || 5 reps","60"
"Barbell Bench Press",2012-06-03,105,55,,5,,"55 kg || 5 reps","60"
"Barbell Bench Press",2012-06-03,106,55,,3,,"55 kg || 3 reps","48"
"Barbell Bench Press",2012-06-03,107,50,,5,,"50 kg || 5 reps","55"
"Barbell Bench Press",2012-06-06,301,50,,5,,"50 kg || 5 reps","55"
"Barbell Bench Press",2012-06-06,302,60,,4,,"60 kg || 4 reps","59"
"Barbell Bench Press",2012-06-06,303,50,,5,,"50 kg || 5 reps","55"
"Barbell Bench Press",2012-06-06,304,50,,5,,"50 kg || 5 reps","55"
"Barbell Bench Press",2012-06-06,305,50,,5,,"50 kg || 5 reps","55"
"Barbell Bench Press",2012-06-08,301,55,,5,,"55 kg || 5 reps","60"
"Barbell Bench Press",2012-06-08,302,55,,3,,"55 kg || 3 reps","48"
"Barbell Bench Press",2012-06-08,303,50,,5,,"50 kg || 5 reps","55"
"Barbell Bench Press",2012-06-08,304,50,,5,,"50 kg || 5 reps","55"
"Barbell Bench Press",2012-06-08,305,50,,3,,"50 kg || 3 reps","44"
"Barbell Bench Press",2012-06-11,401,50,,10,,"50 kg || 10 reps","65"
"Barbell Bench Press",2012-06-11,402,55,,5,,"55 kg || 5 reps","60"
"Barbell Bench Press",2012-06-11,403,57.5,,4,,"57.5 kg || 4 reps","57"
"Barbell Bench Press",2012-06-11,404,50,,5,,"50 kg || 5 reps","55"
"Barbell Bench Press",2012-06-11,405,50,,5,,"50 kg || 5 reps","55"
"Barbell Bench Press",2012-06-12,901,40,,10,,"40 kg || 10 reps","56"
"Barbell Bench Press",2012-06-12,902,60,,2,,"60 kg || 2 reps","43"
"Barbell Bench Press",2012-06-12,903,60,,1,,"60 kg || 1 reps","35"
"Barbell Bench Press",2012-06-12,904,62.5,,1,,"62.5 kg || 1 reps","36"
"Barbell Bench Press",2012-06-12,905,65,,1,,"65 kg || 1 reps","38"
"Barbell Bench Press",2012-06-15,701,30,,10,,"30 kg || 10 reps","48"
"Barbell Bench Press",2012-06-15,702,50,,5,,"50 kg || 5 reps","55"
"Barbell Bench Press",2012-06-15,703,50,,5,,"50 kg || 5 reps","55"
