"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Curl",2012-06-26,301,20,,5,,"20 kg || 5 reps","13"
"Barbell Curl",2012-06-26,302,20,,5,,"20 kg || 5 reps","13"
"Barbell Curl",2012-08-26,401,20,,10,,"20 kg || 10 reps","15"
"Barbell Curl",2012-09-21,1,22,,8,,"22 kg || 8 reps","15"
"Barbell Curl",2012-09-21,2,32,,3,,"32 kg || 3 reps","12"
"Barbell Curl",2012-10-31,701,21,,8,,"21 kg || 8 reps","15"
"Barbell Curl",2012-10-31,702,21,,8,,"21 kg || 8 reps","15"
"Barbell Curl",2013-03-14,1,31,,3,,"31 kg || 3 reps","12"
"Barbell Curl",2013-04-19,401,30,,5,,"30 kg || 5 reps","15"
"Barbell Curl",2013-05-14,1301,10,,20,,"10 kg || 20 reps","15"
"Barbell Curl",2013-09-27,701,20,,8,,"20 kg || 8 reps","15"
"Barbell Curl",2013-09-27,702,20,,8,,"20 kg || 8 reps","15"
"Barbell Curl",2013-11-22,26,30,,3,,"30 kg || 3 reps","12"
"Barbell Curl",2014-02-26,16,30,,5,,"30 kg || 5 reps","15"
"Barbell Curl",2014-02-26,17,30,,5,,"30 kg || 5 reps","15"
"Barbell Curl",2014-02-26,18,30,,5,,"30 kg || 5 reps","15"
"Barbell Curl",2014-02-26,19,30,,5,,"30 kg || 5 reps","15"
