"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Deadlift",2012-05-17,501,22,,5,,"22 kg || 5 reps","32"
"Barbell Deadlift",2012-05-17,502,22,,5,,"22 kg || 5 reps","32"
"Barbell Deadlift",2012-05-17,503,22,,5,,"22 kg || 5 reps","32"
"Barbell Deadlift",2012-05-17,504,22,,5,,"22 kg || 5 reps","32"
"Barbell Deadlift",2012-05-17,505,22,,5,,"22 kg || 5 reps","32"
"Barbell Deadlift",2012-05-24,301,29,,5,,"29 kg || 5 reps","35"
"Barbell Deadlift",2012-05-24,302,69,,3,,"69 kg || 3 reps","52"
"Barbell Deadlift",2012-05-24,303,69,,1,,"69 kg || 1 reps","35"
"Barbell Deadlift",2012-06-01,701,50,,5,,"50 kg || 5 reps","48"
"Barbell Deadlift",2012-06-01,702,50,,5,,"50 kg || 5 reps","48"
"Barbell Deadlift",2012-06-01,703,50,,5,,"50 kg || 5 reps","48"
"Barbell Deadlift",2012-06-01,704,90,,1,,"90 kg || 1 reps","48"
"Barbell Deadlift",2012-06-06,501,70,,5,,"70 kg || 5 reps","65"
"Barbell Deadlift",2012-06-06,502,90,,3,,"90 kg || 3 reps","71"
"Barbell Deadlift",2012-06-06,503,100,,1,,"100 kg || 1 reps","56"
"Barbell Deadlift",2012-06-06,504,120,,1,,"120 kg || 1 reps","75"
"Barbell Deadlift",2012-06-08,401,70,,3,,"70 kg || 3 reps","52"
"Barbell Deadlift",2012-06-08,402,70,,3,,"70 kg || 3 reps","52"
"Barbell Deadlift",2012-06-08,403,70,,3,,"70 kg || 3 reps","52"
"Barbell Deadlift",2012-06-11,301,50,,5,,"50 kg || 5 reps","48"
"Barbell Deadlift",2012-06-11,302,50,,5,,"50 kg || 5 reps","48"
"Barbell Deadlift",2012-06-11,303,50,,5,,"50 kg || 5 reps","48"
"Barbell Deadlift",2012-06-15,601,40,,1,,"40 kg || 1 reps","23"
"Barbell Deadlift",2012-06-15,602,50,,5,,"50 kg || 5 reps","48"
"Barbell Deadlift",2012-06-15,603,70,,5,,"70 kg || 5 reps","65"
"Barbell Deadlift",2012-06-15,604,70,,5,,"70 kg || 5 reps","65"
"Barbell Deadlift",2012-06-15,605,75,,5,,"75 kg || 5 reps","70"
"Barbell Deadlift",2012-06-15,606,80,,5,,"80 kg || 5 reps","76"
"Barbell Deadlift",2012-06-15,607,50,,1,,"50 kg || 1 reps","26"
"Barbell Deadlift",2012-06-18,601,50,,5,,"50 kg || 5 reps","48"
"Barbell Deadlift",2012-06-18,602,60,,5,,"60 kg || 5 reps","56"
"Barbell Deadlift",2012-06-18,603,60,,5,,"60 kg || 5 reps","56"
"Barbell Deadlift",2012-06-18,604,60,,5,,"60 kg || 5 reps","56"
"Barbell Deadlift",2012-06-18,605,60,,5,,"60 kg || 5 reps","56"
"Barbell Deadlift",2012-06-18,606,60,,5,,"60 kg || 5 reps","56"
"Barbell Deadlift",2012-06-18,607,60,,1,,"60 kg || 1 reps","31"
"Barbell Deadlift",2012-06-20,501,40,,1,,"40 kg || 1 reps","23"
"Barbell Deadlift",2012-06-20,502,40,,1,,"40 kg || 1 reps","23"
"Barbell Deadlift",2012-07-13,301,62,,5,,"62 kg || 5 reps","58"
"Barbell Deadlift",2012-07-13,302,92,,5,,"92 kg || 5 reps","91"
"Barbell Deadlift",2012-07-15,1,62,,5,,"62 kg || 5 reps","58"
"Barbell Deadlift",2012-07-15,2,72,,5,,"72 kg || 5 reps","67"
"Barbell Deadlift",2012-07-15,3,102,,5,,"102 kg || 5 reps","105"
"Barbell Deadlift",2012-07-15,4,112,,1,,"112 kg || 1 reps","67"
"Barbell Deadlift",2012-07-19,601,70,,5,,"70 kg || 5 reps","65"
"Barbell Deadlift",2012-07-19,602,80,,5,,"80 kg || 5 reps","76"
"Barbell Deadlift",2012-07-19,603,100,,5,,"100 kg || 5 reps","102"
"Barbell Deadlift",2012-07-19,604,120,,1,,"120 kg || 1 reps","75"
"Barbell Deadlift",2012-07-19,605,70,,5,,"70 kg || 5 reps","65"
"Barbell Deadlift",2012-07-19,606,80,,5,,"80 kg || 5 reps","76"
"Barbell Deadlift",2012-07-19,607,80,,5,,"80 kg || 5 reps","76"
"Barbell Deadlift",2012-07-21,201,62,,5,,"62 kg || 5 reps","58"
"Barbell Deadlift",2012-07-21,202,92,,5,,"92 kg || 5 reps","91"
"Barbell Deadlift",2012-07-21,203,102,,5,,"102 kg || 5 reps","105"
"Barbell Deadlift",2012-07-21,204,122,,1,,"122 kg || 1 reps","78"
"Barbell Deadlift",2012-07-21,205,132,,1,,"132 kg || 1 reps","90"
"Barbell Deadlift",2012-07-21,206,142,,1,,"142 kg || 1 reps","105"
"Barbell Deadlift",2012-07-21,207,142,,1,,"142 kg || 1 reps","105"
"Barbell Deadlift",2012-07-27,601,62,,5,,"62 kg || 5 reps","66"
"Barbell Deadlift",2012-07-27,602,92,,5,,"92 kg || 5 reps","104"
"Barbell Deadlift",2012-07-27,603,92,,5,,"92 kg || 5 reps","104"
"Barbell Deadlift",2012-07-27,604,92,,5,,"92 kg || 5 reps","104"
"Barbell Deadlift",2012-07-27,605,122,,1,,"122 kg || 1 reps","89"
"Barbell Deadlift",2012-07-27,606,122,,1,,"122 kg || 1 reps","89"
"Barbell Deadlift",2012-08-07,301,42,,5,,"42 kg || 5 reps","49"
"Barbell Deadlift",2012-08-07,302,62,,5,,"62 kg || 5 reps","66"
"Barbell Deadlift",2012-08-07,303,62,,5,,"62 kg || 5 reps","66"
"Barbell Deadlift",2012-08-07,304,62,,5,,"62 kg || 5 reps","66"
"Barbell Deadlift",2012-08-07,305,102,,5,,"102 kg || 5 reps","121"
"Barbell Deadlift",2012-08-07,306,102,,5,,"102 kg || 5 reps","121"
"Barbell Deadlift",2012-08-07,307,102,,5,,"102 kg || 5 reps","121"
"Barbell Deadlift",2012-08-10,401,70,,5,,"70 kg || 5 reps","75"
"Barbell Deadlift",2012-08-10,402,70,,5,,"70 kg || 5 reps","75"
"Barbell Deadlift",2012-08-10,403,70,,5,,"70 kg || 5 reps","75"
"Barbell Deadlift",2012-08-11,301,62,,5,,"62 kg || 5 reps","66"
"Barbell Deadlift",2012-08-11,302,62,,5,,"62 kg || 5 reps","66"
"Barbell Deadlift",2012-08-11,303,62,,5,,"62 kg || 5 reps","66"
"Barbell Deadlift",2012-08-11,304,102,,5,,"102 kg || 5 reps","121"
"Barbell Deadlift",2012-08-13,301,62,,5,,"62 kg || 5 reps","66"
"Barbell Deadlift",2012-08-13,302,62,,5,,"62 kg || 5 reps","66"
"Barbell Deadlift",2012-08-13,303,62,,5,,"62 kg || 5 reps","66"
"Barbell Deadlift",2012-08-13,304,107,,5,,"107 kg || 5 reps","130"
"Barbell Deadlift",2012-08-13,305,110,,5,,"110 kg || 5 reps","136"
"Barbell Deadlift",2012-08-13,306,112,,5,,"112 kg || 5 reps","140"
"Barbell Deadlift",2012-08-13,307,117,,5,,"117 kg || 5 reps","151"
"Barbell Deadlift",2012-08-15,201,62,,5,,"62 kg || 5 reps","66"
"Barbell Deadlift",2012-08-15,202,62,,5,,"62 kg || 5 reps","66"
"Barbell Deadlift",2012-08-15,203,62,,5,,"62 kg || 5 reps","66"
"Barbell Deadlift",2012-08-15,204,112,,3,,"112 kg || 3 reps","112"
"Barbell Deadlift",2012-08-15,205,112,,5,,"112 kg || 5 reps","140"
"Barbell Deadlift",2012-08-15,206,122,,3,,"122 kg || 3 reps","130"
"Barbell Deadlift",2012-08-15,207,132,,1,,"132 kg || 1 reps","103"
"Barbell Deadlift",2012-08-15,208,147,,1,,"147 kg || 1 reps","129"
"Barbell Deadlift",2012-08-15,209,147,,1,,"147 kg || 1 reps","129"
"Barbell Deadlift",2012-08-15,210,149.5,,1,,"149.5 kg || 1 reps","134"
"Barbell Deadlift",2012-08-15,211,92,,3,,"92 kg || 3 reps","83"
"Barbell Deadlift",2012-08-15,212,92,,3,,"92 kg || 3 reps","83"
"Barbell Deadlift",2012-08-15,213,92,,3,,"92 kg || 3 reps","83"
"Barbell Deadlift",2012-08-15,214,92,,3,,"92 kg || 3 reps","83"
"Barbell Deadlift",2012-08-15,215,92,,3,,"92 kg || 3 reps","83"
"Barbell Deadlift",2012-08-15,216,92,,3,,"92 kg || 3 reps","83"
"Barbell Deadlift",2012-08-15,217,92,,3,,"92 kg || 3 reps","83"
"Barbell Deadlift",2012-08-15,218,92,,3,,"92 kg || 3 reps","83"
"Barbell Deadlift",2012-08-15,219,92,,3,,"92 kg || 3 reps","83"
"Barbell Deadlift",2012-08-15,220,92,,3,,"92 kg || 3 reps","83"
"Barbell Deadlift",2012-08-19,301,90,,5,,"90 kg || 5 reps","101"
"Barbell Deadlift",2012-08-19,302,90,,5,,"90 kg || 5 reps","101"
"Barbell Deadlift",2012-08-19,303,90,,5,,"90 kg || 5 reps","101"
"Barbell Deadlift",2012-08-22,301,70,,5,,"70 kg || 5 reps","75"
"Barbell Deadlift",2012-08-22,302,90,,5,,"90 kg || 5 reps","101"
"Barbell Deadlift",2012-08-22,303,100,,5,,"100 kg || 5 reps","117"
"Barbell Deadlift",2012-08-22,304,100,,5,,"100 kg || 5 reps","117"
"Barbell Deadlift",2012-08-29,801,82,,5,,"82 kg || 5 reps","89"
"Barbell Deadlift",2012-08-29,802,82,,5,,"82 kg || 5 reps","89"
"Barbell Deadlift",2012-08-29,803,112,,5,,"112 kg || 5 reps","140"
"Barbell Deadlift",2012-08-29,804,122,,5,,"122 kg || 5 reps","162"
"Barbell Deadlift",2012-08-29,805,132,,1,,"132 kg || 1 reps","103"
"Barbell Deadlift",2012-08-31,301,62,,5,,"62 kg || 5 reps","66"
"Barbell Deadlift",2012-08-31,302,82,,5,,"82 kg || 5 reps","89"
"Barbell Deadlift",2012-08-31,303,82,,5,,"82 kg || 5 reps","89"
"Barbell Deadlift",2012-08-31,304,112,,3,,"112 kg || 3 reps","112"
"Barbell Deadlift",2012-08-31,305,122,,2,,"122 kg || 2 reps","110"
"Barbell Deadlift",2012-08-31,306,132,,1,,"132 kg || 1 reps","103"
"Barbell Deadlift",2012-08-31,307,132,,1,,"132 kg || 1 reps","103"
"Barbell Deadlift",2012-08-31,308,137,,1,,"137 kg || 1 reps","111"
"Barbell Deadlift",2012-09-03,201,70,,5,,"70 kg || 5 reps","75"
"Barbell Deadlift",2012-09-03,202,85,,5,,"85 kg || 5 reps","94"
"Barbell Deadlift",2012-09-03,203,110,,5,,"110 kg || 5 reps","136"
"Barbell Deadlift",2012-09-03,204,110,,5,,"110 kg || 5 reps","136"
"Barbell Deadlift",2012-09-03,205,110,,5,,"110 kg || 5 reps","136"
"Barbell Deadlift",2012-09-12,901,92,,5,,"92 kg || 5 reps","104"
"Barbell Deadlift",2012-09-12,902,112,,5,,"112 kg || 5 reps","140"
"Barbell Deadlift",2012-09-17,601,92,,5,,"92 kg || 5 reps","104"
"Barbell Deadlift",2012-09-17,602,112,,5,,"112 kg || 5 reps","140"
"Barbell Deadlift",2012-09-17,603,122,,5,,"122 kg || 5 reps","162"
"Barbell Deadlift",2012-09-17,604,132,,3,,"132 kg || 3 reps","151"
"Barbell Deadlift",2012-09-28,201,71,,5,,"71 kg || 5 reps","76"
"Barbell Deadlift",2012-09-28,202,81,,5,,"81 kg || 5 reps","88"
"Barbell Deadlift",2012-09-28,203,96,,5,,"96 kg || 5 reps","110"
"Barbell Deadlift",2012-09-28,204,113.5,,5,,"113.5 kg || 5 reps","143"
"Barbell Deadlift",2012-10-05,601,81,,5,,"81 kg || 5 reps","88"
"Barbell Deadlift",2012-10-05,602,81,,5,,"81 kg || 5 reps","88"
"Barbell Deadlift",2012-10-05,603,101,,5,,"101 kg || 5 reps","119"
"Barbell Deadlift",2012-10-05,604,116,,5,,"116 kg || 5 reps","149"
"Barbell Deadlift",2012-10-17,101,85,,3,,"85 kg || 3 reps","75"
"Barbell Deadlift",2012-10-17,102,85,,3,,"85 kg || 3 reps","75"
"Barbell Deadlift",2012-10-17,103,85,,3,,"85 kg || 3 reps","75"
"Barbell Deadlift",2012-10-17,104,85,,3,,"85 kg || 3 reps","75"
"Barbell Deadlift",2012-10-17,105,85,,3,,"85 kg || 3 reps","75"
"Barbell Deadlift",2012-10-17,106,85,,3,,"85 kg || 3 reps","75"
"Barbell Deadlift",2012-10-17,107,85,,3,,"85 kg || 3 reps","75"
"Barbell Deadlift",2012-10-17,108,85,,3,,"85 kg || 3 reps","75"
"Barbell Deadlift",2012-10-17,109,85,,3,,"85 kg || 3 reps","75"
"Barbell Deadlift",2012-10-17,110,85,,3,,"85 kg || 3 reps","75"
"Barbell Deadlift",2012-10-17,111,95,,3,,"95 kg || 3 reps","87"
"Barbell Deadlift",2012-10-17,112,95,,3,,"95 kg || 3 reps","87"
"Barbell Deadlift",2012-10-17,113,95,,3,,"95 kg || 3 reps","87"
"Barbell Deadlift",2012-10-17,114,95,,3,,"95 kg || 3 reps","87"
"Barbell Deadlift",2012-10-17,115,95,,3,,"95 kg || 3 reps","87"
"Barbell Deadlift",2012-10-17,116,95,,3,,"95 kg || 3 reps","87"
"Barbell Deadlift",2012-10-17,117,95,,3,,"95 kg || 3 reps","87"
"Barbell Deadlift",2012-10-17,118,95,,3,,"95 kg || 3 reps","87"
"Barbell Deadlift",2012-10-17,119,95,,3,,"95 kg || 3 reps","87"
"Barbell Deadlift",2012-10-17,120,95,,3,,"95 kg || 3 reps","87"
"Barbell Deadlift",2012-10-17,121,100,,3,,"100 kg || 3 reps","94"
"Barbell Deadlift",2012-10-17,122,100,,3,,"100 kg || 3 reps","94"
"Barbell Deadlift",2012-10-17,123,100,,3,,"100 kg || 3 reps","94"
"Barbell Deadlift",2012-10-17,124,100,,3,,"100 kg || 3 reps","94"
"Barbell Deadlift",2012-10-17,125,100,,3,,"100 kg || 3 reps","94"
"Barbell Deadlift",2012-10-17,126,100,,3,,"100 kg || 3 reps","94"
"Barbell Deadlift",2012-10-17,127,100,,3,,"100 kg || 3 reps","94"
"Barbell Deadlift",2012-10-17,128,100,,3,,"100 kg || 3 reps","94"
"Barbell Deadlift",2012-10-17,129,100,,3,,"100 kg || 3 reps","94"
"Barbell Deadlift",2012-10-17,130,100,,3,,"100 kg || 3 reps","94"
"Barbell Deadlift",2012-10-17,131,105,,3,,"105 kg || 3 reps","101"
"Barbell Deadlift",2012-10-17,132,105,,3,,"105 kg || 3 reps","101"
"Barbell Deadlift",2012-10-17,133,105,,3,,"105 kg || 3 reps","101"
"Barbell Deadlift",2012-10-17,134,105,,3,,"105 kg || 3 reps","101"
"Barbell Deadlift",2012-10-17,135,105,,3,,"105 kg || 3 reps","101"
"Barbell Deadlift",2012-10-17,136,115,,2,,"115 kg || 2 reps","99"
"Barbell Deadlift",2012-10-17,137,125,,1,,"125 kg || 1 reps","93"
"Barbell Deadlift",2012-10-17,138,130,,1,,"130 kg || 1 reps","100"
"Barbell Deadlift",2012-10-17,139,135,,1,,"135 kg || 1 reps","108"
"Barbell Deadlift",2012-10-17,140,151,,1,,"151 kg || 1 reps","137"
"Barbell Deadlift",2012-10-21,401,62.5,,1,,"62.5 kg || 1 reps","36"
"Barbell Deadlift",2012-10-25,101,91,,3,,"91 kg || 3 reps","82"
"Barbell Deadlift",2012-10-25,102,111,,3,,"111 kg || 3 reps","111"
"Barbell Deadlift",2012-10-25,103,125,,3,,"125 kg || 3 reps","136"
"Barbell Deadlift",2012-10-25,104,130,,2,,"130 kg || 2 reps","124"
"Barbell Deadlift",2012-10-25,105,140,,1,,"140 kg || 1 reps","116"
"Barbell Deadlift",2012-10-25,106,155,,1,,"155 kg || 1 reps","145"
"Barbell Deadlift",2012-11-02,1,90,,8,,"90 kg || 8 reps","115"
"Barbell Deadlift",2012-11-02,2,90,,8,,"90 kg || 8 reps","115"
"Barbell Deadlift",2012-11-02,3,100,,8,,"100 kg || 8 reps","133"
"Barbell Deadlift",2012-11-02,4,110,,3,,"110 kg || 3 reps","109"
"Barbell Deadlift",2012-11-02,5,130,,3,,"130 kg || 3 reps","147"
"Barbell Deadlift",2012-11-02,6,135,,2,,"135 kg || 2 reps","133"
