"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Incline Bench Press",2012-10-25,101,35,,5,,"35 kg || 5 reps","45"
"Barbell Incline Bench Press",2012-10-25,102,35,,5,,"35 kg || 5 reps","45"
"Barbell Incline Bench Press",2012-10-25,103,40,,5,,"40 kg || 5 reps","49"
"Barbell Incline Bench Press",2012-10-25,104,45,,5,,"45 kg || 5 reps","53"
"Barbell Incline Bench Press",2012-10-25,105,50,,5,,"50 kg || 5 reps","57"
"Barbell Incline Bench Press",2012-10-31,101,35,,5,,"35 kg || 5 reps","45"
"Barbell Incline Bench Press",2012-10-31,102,35,,10,,"35 kg || 10 reps","54"
"Barbell Incline Bench Press",2012-10-31,103,35,,10,,"35 kg || 10 reps","54"
"Barbell Incline Bench Press",2012-10-31,104,35,,5,,"35 kg || 5 reps","45"
"Barbell Incline Bench Press",2012-10-31,105,35,,5,,"35 kg || 5 reps","45"
"Barbell Incline Bench Press",2012-11-08,101,35,,5,,"35 kg || 5 reps","45"
"Barbell Incline Bench Press",2012-11-08,102,40,,5,,"40 kg || 5 reps","49"
"Barbell Incline Bench Press",2012-11-08,103,40,,5,,"40 kg || 5 reps","49"
"Barbell Incline Bench Press",2013-01-13,101,15,,5,,"15 kg || 5 reps","34"
"Barbell Incline Bench Press",2013-01-13,102,35,,10,,"35 kg || 10 reps","54"
"Barbell Incline Bench Press",2013-01-13,103,35,,10,,"35 kg || 10 reps","54"
"Barbell Incline Bench Press",2013-01-19,201,30,,10,,"30 kg || 10 reps","50"
"Barbell Incline Bench Press",2013-01-19,202,35,,10,,"35 kg || 10 reps","54"
"Barbell Incline Bench Press",2013-02-05,201,45,,10,,"45 kg || 10 reps","62"
"Barbell Incline Bench Press",2013-02-05,202,35,,10,,"35 kg || 10 reps","54"
"Barbell Incline Bench Press",2013-02-05,203,35,,10,,"35 kg || 10 reps","54"
"Barbell Incline Bench Press",2013-03-09,401,40,,10,,"40 kg || 10 reps","58"
"Barbell Incline Bench Press",2013-03-09,402,35,,10,,"35 kg || 10 reps","54"
"Barbell Incline Bench Press",2013-03-09,403,35,,10,,"35 kg || 10 reps","54"
"Barbell Incline Bench Press",2013-06-09,101,30,,10,,"30 kg || 10 reps","50"
"Barbell Incline Bench Press",2013-06-09,102,30,,10,,"30 kg || 10 reps","50"
"Barbell Incline Bench Press",2013-06-09,103,30,,10,,"30 kg || 10 reps","50"
"Barbell Incline Bench Press",2013-08-16,301,30,,3,,"30 kg || 3 reps","34"
"Barbell Incline Bench Press",2013-08-16,302,30,,3,,"30 kg || 3 reps","34"
"Barbell Incline Bench Press",2013-08-18,1,30,,5,,"30 kg || 5 reps","42"
"Barbell Incline Bench Press",2013-08-18,2,30,,5,,"30 kg || 5 reps","42"
"Barbell Incline Bench Press",2013-08-18,3,50,,5,,"50 kg || 5 reps","57"
"Barbell Incline Bench Press",2013-08-18,4,70,,1,,"70 kg || 1 reps","42"
"Barbell Incline Bench Press",2013-08-18,5,50,,5,,"50 kg || 5 reps","57"
"Barbell Incline Bench Press",2013-09-09,201,50,,5,,"50 kg || 5 reps","57"
"Barbell Incline Bench Press",2013-09-09,202,55,,5,,"55 kg || 5 reps","61"
"Barbell Incline Bench Press",2013-09-09,203,60,,5,,"60 kg || 5 reps","66"
"Barbell Incline Bench Press",2013-09-09,204,62.5,,5,,"62.5 kg || 5 reps","69"
"Barbell Incline Bench Press",2013-09-09,205,55,,5,,"55 kg || 5 reps","61"
"Barbell Incline Bench Press",2013-09-09,206,57.5,,5,,"57.5 kg || 5 reps","64"
