"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Pin Press",2013-03-08,501,37.5,,5,,"37.5 kg || 5 reps","40"
"Barbell Pin Press",2013-03-08,502,51,,5,,"51 kg || 5 reps","49"
"Barbell Pin Press",2013-03-08,503,61,,5,,"61 kg || 5 reps","57"
"Barbell Pin Press",2013-03-08,504,65,,3,,"65 kg || 3 reps","49"
"Barbell Pin Press",2013-03-08,505,70,,1,,"70 kg || 1 reps","36"
"Barbell Pin Press",2013-08-16,101,30,,1,,"30 kg || 1 reps","19"
"Barbell Pin Press",2013-08-16,102,30,,1,,"30 kg || 1 reps","19"
"Barbell Pin Press",2013-08-16,103,50,,1,,"50 kg || 1 reps","26"
"Barbell Pin Press",2013-08-16,104,50,,1,,"50 kg || 1 reps","26"
"Barbell Pin Press",2013-09-14,801,50,,1,,"50 kg || 1 reps","26"
"Barbell Pin Press",2013-09-14,802,70,,1,,"70 kg || 1 reps","36"
"Barbell Pin Press",2013-09-14,803,75,,1,,"75 kg || 1 reps","38"
