"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Rear Delt Row",2013-05-03,1,60,,6,,"60 kg || 6 reps","25"
"Barbell Rear Delt Row",2013-05-03,2,60,,6,,"60 kg || 6 reps","25"
"Barbell Rear Delt Row",2013-05-03,3,60,,6,,"60 kg || 6 reps","25"
"Barbell Rear Delt Row",2013-05-05,1,60,,6,,"60 kg || 6 reps","25"
"Barbell Rear Delt Row",2013-05-05,2,60,,6,,"60 kg || 6 reps","25"
"Barbell Rear Delt Row",2013-05-05,3,60,,6,,"60 kg || 6 reps","25"
"Barbell Rear Delt Row",2013-05-07,201,30,,15,,"30 kg || 15 reps","19"
"Barbell Rear Delt Row",2013-05-07,202,30,,18,,"30 kg || 18 reps","20"
"Barbell Rear Delt Row",2013-05-07,203,30,,18,,"30 kg || 18 reps","20"
"Barbell Rear Delt Row",2013-05-10,201,40,,8,,"40 kg || 8 reps","20"
"Barbell Rear Delt Row",2013-05-10,202,40,,8,,"40 kg || 8 reps","20"
"Barbell Rear Delt Row",2013-05-12,1001,40,,8,,"40 kg || 8 reps","20"
"Barbell Rear Delt Row",2013-05-12,1002,40,,8,,"40 kg || 8 reps","20"
"Barbell Rear Delt Row",2013-05-12,1003,40,,8,,"40 kg || 8 reps","20"
"Barbell Rear Delt Row",2013-06-06,401,30,,20,,"30 kg || 20 reps","20"
"Barbell Rear Delt Row",2013-06-06,402,30,,20,,"30 kg || 20 reps","20"
"Barbell Rear Delt Row",2013-06-14,301,50,,5,,"50 kg || 5 reps","20"
"Barbell Rear Delt Row",2013-06-14,302,50,,5,,"50 kg || 5 reps","20"
"Barbell Rear Delt Row",2014-02-15,8,30,,5,,"30 kg || 5 reps","15"
"Barbell Rear Delt Row",2014-02-15,9,30,,5,,"30 kg || 5 reps","15"
"Barbell Rear Delt Row",2014-02-15,10,30,,5,,"30 kg || 5 reps","15"
