"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Shrug",2012-06-12,801,40,,10,,"40 kg || 10 reps","21"
"Barbell Shrug",2012-06-12,802,50,,10,,"50 kg || 10 reps","24"
"Barbell Shrug",2012-06-12,803,50,,10,,"50 kg || 10 reps","24"
"Barbell Shrug",2012-06-15,401,50,,5,,"50 kg || 5 reps","20"
"Barbell Shrug",2012-06-15,402,50,,5,,"50 kg || 5 reps","20"
"Barbell Shrug",2012-06-15,403,55,,5,,"55 kg || 5 reps","22"
"Barbell Shrug",2012-06-15,404,60,,5,,"60 kg || 5 reps","24"
"Barbell Shrug",2012-06-15,405,70,,5,,"70 kg || 5 reps","28"
"Barbell Shrug",2012-06-18,701,60,,5,,"60 kg || 5 reps","24"
"Barbell Shrug",2012-06-18,702,70,,5,,"70 kg || 5 reps","28"
"Barbell Shrug",2012-06-18,703,80,,5,,"80 kg || 5 reps","32"
"Barbell Shrug",2012-06-20,301,40,,10,,"40 kg || 10 reps","21"
"Barbell Shrug",2012-06-20,302,40,,10,,"40 kg || 10 reps","21"
"Barbell Shrug",2012-09-12,701,62,,10,,"62 kg || 10 reps","29"
"Barbell Shrug",2012-09-12,702,62,,10,,"62 kg || 10 reps","29"
"Barbell Shrug",2012-12-31,601,65,,15,,"65 kg || 15 reps","32"
"Barbell Shrug",2013-01-03,101,61,,15,,"61 kg || 15 reps","30"
"Barbell Shrug",2013-01-03,102,61,,10,,"61 kg || 10 reps","29"
"Barbell Shrug",2013-01-03,103,41,,20,,"41 kg || 20 reps","24"
"Barbell Shrug",2013-01-10,201,47.5,,15,,"47.5 kg || 15 reps","25"
"Barbell Shrug",2013-01-10,202,55,,15,,"55 kg || 15 reps","28"
"Barbell Shrug",2013-04-25,501,50,,15,,"50 kg || 15 reps","26"
"Barbell Shrug",2013-05-03,601,40,,15,,"40 kg || 15 reps","22"
"Barbell Shrug",2013-05-03,602,60,,10,,"60 kg || 10 reps","28"
"Barbell Shrug",2013-05-07,601,60,,10,,"60 kg || 10 reps","28"
"Barbell Shrug",2013-05-07,602,60,,10,,"60 kg || 10 reps","28"
"Barbell Shrug",2013-05-07,603,60,,10,,"60 kg || 10 reps","28"
"Barbell Shrug",2013-09-27,501,60,,20,,"60 kg || 20 reps","31"
"Barbell Shrug",2013-09-27,502,70,,15,,"70 kg || 15 reps","35"
"Barbell Shrug",2013-10-02,501,70,,20,,"70 kg || 20 reps","37"
"Barbell Shrug",2013-10-02,502,80,,15,,"80 kg || 15 reps","40"
"Barbell Shrug",2013-10-09,801,90,,10,,"90 kg || 10 reps","44"
"Barbell Shrug",2013-10-09,802,95,,15,,"95 kg || 15 reps","51"
"Barbell Shrug",2013-11-11,1,60,,20,,"60 kg || 20 reps","31"
"Barbell Shrug",2013-11-11,2,70,,20,,"70 kg || 20 reps","37"
"Barbell Shrug",2013-11-22,19,50,,15,,"50 kg || 15 reps","26"
"Barbell Shrug",2013-11-22,20,70,,10,,"70 kg || 10 reps","33"
"Barbell Shrug",2013-11-22,21,90,,10,,"90 kg || 10 reps","44"
"Barbell Shrug",2013-11-22,22,100,,5,,"100 kg || 5 reps","44"
"Barbell Shrug",2013-11-22,23,100,,3,,"100 kg || 3 reps","35"
"Barbell Shrug",2013-12-13,41,80,,5,,"80 kg || 5 reps","32"
"Barbell Shrug",2013-12-13,42,90,,5,,"90 kg || 5 reps","38"
"Barbell Shrug",2013-12-13,43,100,,5,,"100 kg || 5 reps","44"
"Barbell Shrug",2013-12-13,44,110,,5,,"110 kg || 5 reps","51"
"Barbell Shrug",2013-12-13,45,110,,10,,"110 kg || 10 reps","60"
"Barbell Shrug",2014-01-12,7,50,,15,,"50 kg || 15 reps","26"
"Barbell Shrug",2014-01-12,8,60,,15,,"60 kg || 15 reps","30"
"Barbell Shrug",2014-01-21,8,60,,15,,"60 kg || 15 reps","30"
"Barbell Shrug",2014-01-21,9,70,,25,,"70 kg || 25 reps","38"
"Barbell Shrug",2014-02-14,7,40,,15,,"40 kg || 15 reps","22"
"Barbell Shrug",2014-02-14,8,40,,15,,"40 kg || 15 reps","22"
"Barbell Shrug",2014-02-28,20,60,,6,,"60 kg || 6 reps","25"
"Barbell Shrug",2014-02-28,21,80,,6,,"80 kg || 6 reps","34"
"Barbell Shrug",2014-02-28,22,80,,6,,"80 kg || 6 reps","34"
"Barbell Shrug",2014-02-28,23,90,,6,,"90 kg || 6 reps","40"
"Barbell Shrug",2014-02-28,24,110,,6,,"110 kg || 6 reps","54"
"Barbell Shrug",2014-02-28,25,110,,6,,"110 kg || 6 reps","54"
"Barbell Shrug",2014-03-17,17,30,,15,,"30 kg || 15 reps","19"
"Barbell Shrug",2014-03-17,18,70,,15,,"70 kg || 15 reps","35"
"Barbell Shrug",2014-03-17,19,90,,15,,"90 kg || 15 reps","47"
"Barbell Shrug",2014-03-23,27,110,,5,,"110 kg || 5 reps","51"
"Barbell Shrug",2014-03-25,62,70,,5,,"70 kg || 5 reps","28"
"Barbell Shrug",2014-03-25,63,70,,5,,"70 kg || 5 reps","28"
"Barbell Shrug",2014-03-25,64,70,,5,,"70 kg || 5 reps","28"
"Barbell Shrug",2014-03-25,65,65,,5,,"65 kg || 5 reps","26"
"Barbell Shrug",2014-03-25,66,65,,5,,"65 kg || 5 reps","26"
"Barbell Shrug",2014-03-25,67,65,,5,,"65 kg || 5 reps","26"
"Barbell Shrug",2014-03-25,68,65,,5,,"65 kg || 5 reps","26"
"Barbell Shrug",2014-03-25,69,65,,5,,"65 kg || 5 reps","26"
"Barbell Shrug",2014-03-25,70,70,,5,,"70 kg || 5 reps","28"
"Barbell Shrug",2014-03-25,71,70,,5,,"70 kg || 5 reps","28"
