"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Squat",2012-06-01,601,20,,5,,"20 kg || 5 reps","31"
"Barbell Squat",2012-06-01,602,20,,5,,"20 kg || 5 reps","31"
"Barbell Squat",2012-06-01,603,30,,5,,"30 kg || 5 reps","36"
"Barbell Squat",2012-06-03,201,30,,5,,"30 kg || 5 reps","36"
"Barbell Squat",2012-06-03,202,30,,5,,"30 kg || 5 reps","36"
"Barbell Squat",2012-06-03,203,30,,5,,"30 kg || 5 reps","36"
"Barbell Squat",2012-06-06,101,30,,20,,"30 kg || 20 reps","47"
"Barbell Squat",2012-06-06,102,40,,5,,"40 kg || 5 reps","42"
"Barbell Squat",2012-06-06,103,45,,5,,"45 kg || 5 reps","45"
"Barbell Squat",2012-06-06,104,50,,5,,"50 kg || 5 reps","48"
"Barbell Squat",2012-06-06,105,55,,5,,"55 kg || 5 reps","52"
"Barbell Squat",2012-06-08,101,40,,10,,"40 kg || 10 reps","49"
"Barbell Squat",2012-06-08,102,50,,10,,"50 kg || 10 reps","57"
"Barbell Squat",2012-06-08,103,60,,5,,"60 kg || 5 reps","56"
"Barbell Squat",2012-06-08,104,65,,5,,"65 kg || 5 reps","61"
"Barbell Squat",2012-06-08,105,45,,15,,"45 kg || 15 reps","56"
"Barbell Squat",2012-06-08,106,40,,10,,"40 kg || 10 reps","49"
"Barbell Squat",2012-06-08,107,50,,5,,"50 kg || 5 reps","48"
"Barbell Squat",2012-06-08,108,60,,5,,"60 kg || 5 reps","56"
"Barbell Squat",2012-06-08,109,65,,5,,"65 kg || 5 reps","61"
"Barbell Squat",2012-06-08,110,70,,3,,"70 kg || 3 reps","52"
"Barbell Squat",2012-06-08,111,75,,1,,"75 kg || 1 reps","38"
"Barbell Squat",2012-06-08,112,80,,1,,"80 kg || 1 reps","41"
"Barbell Squat",2012-06-08,113,85,,1,,"85 kg || 1 reps","45"
"Barbell Squat",2012-06-11,201,50,,5,,"50 kg || 5 reps","48"
"Barbell Squat",2012-06-11,202,60,,5,,"60 kg || 5 reps","56"
"Barbell Squat",2012-06-11,203,60,,5,,"60 kg || 5 reps","56"
"Barbell Squat",2012-06-11,204,65,,5,,"65 kg || 5 reps","61"
"Barbell Squat",2012-06-11,205,70,,5,,"70 kg || 5 reps","65"
"Barbell Squat",2012-06-11,206,82.5,,2,,"82.5 kg || 2 reps","53"
"Barbell Squat",2012-06-11,207,90,,1,,"90 kg || 1 reps","48"
"Barbell Squat",2012-06-11,208,60,,5,,"60 kg || 5 reps","56"
"Barbell Squat",2012-06-11,209,60,,5,,"60 kg || 5 reps","56"
"Barbell Squat",2012-06-11,210,65,,5,,"65 kg || 5 reps","61"
"Barbell Squat",2012-06-12,601,50,,15,,"50 kg || 15 reps","61"
"Barbell Squat",2012-06-12,602,60,,10,,"60 kg || 10 reps","66"
"Barbell Squat",2012-06-12,603,65,,5,,"65 kg || 5 reps","61"
"Barbell Squat",2012-06-12,604,65,,5,,"65 kg || 5 reps","61"
"Barbell Squat",2012-06-12,605,70,,5,,"70 kg || 5 reps","65"
"Barbell Squat",2012-06-12,606,70,,5,,"70 kg || 5 reps","65"
"Barbell Squat",2012-06-12,607,40,,10,,"40 kg || 10 reps","49"
"Barbell Squat",2012-06-15,301,50,,10,,"50 kg || 10 reps","57"
"Barbell Squat",2012-06-15,302,60,,5,,"60 kg || 5 reps","56"
"Barbell Squat",2012-06-15,303,65,,5,,"65 kg || 5 reps","61"
"Barbell Squat",2012-06-15,304,70,,5,,"70 kg || 5 reps","65"
"Barbell Squat",2012-06-15,305,70,,5,,"70 kg || 5 reps","65"
"Barbell Squat",2012-06-15,306,70,,5,,"70 kg || 5 reps","65"
"Barbell Squat",2012-06-15,307,50,,10,,"50 kg || 10 reps","57"
"Barbell Squat",2012-06-18,401,50,,5,,"50 kg || 5 reps","48"
"Barbell Squat",2012-06-18,402,65,,5,,"65 kg || 5 reps","61"
"Barbell Squat",2012-06-18,403,65,,5,,"65 kg || 5 reps","61"
"Barbell Squat",2012-06-18,404,65,,5,,"65 kg || 5 reps","61"
"Barbell Squat",2012-06-18,405,65,,5,,"65 kg || 5 reps","61"
"Barbell Squat",2012-06-18,406,65,,5,,"65 kg || 5 reps","61"
"Barbell Squat",2012-07-19,101,10,,5,,"10 kg || 5 reps","27"
"Barbell Squat",2012-07-19,102,20,,5,,"20 kg || 5 reps","31"
"Barbell Squat",2012-07-19,103,20,,5,,"20 kg || 5 reps","31"
