"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Behind the Neck Push Press",2013-09-17,1201,40,,3,,"40 kg || 3 reps","48"
"Behind the Neck Push Press",2013-11-29,26,10,,5,,"10 kg || 5 reps","38"
"Behind the Neck Push Press",2013-11-29,27,20,,5,,"20 kg || 5 reps","44"
"Behind the Neck Push Press",2013-11-29,28,30,,3,,"30 kg || 3 reps","41"
"Behind the Neck Push Press",2013-11-29,29,35,,3,,"35 kg || 3 reps","44"
"Behind the Neck Push Press",2013-11-29,30,40,,3,,"40 kg || 3 reps","48"
"Behind the Neck Push Press",2013-11-29,31,45,,5,,"45 kg || 5 reps","64"
"Behind the Neck Push Press",2014-02-05,19,17.5,,3,,"17.5 kg || 3 reps","34"
"Behind the Neck Push Press",2014-02-05,20,40,,3,,"40 kg || 3 reps","48"
"Behind the Neck Push Press",2014-02-05,21,40,,3,,"40 kg || 3 reps","48"
"Behind the Neck Push Press",2014-02-07,7,30,,5,,"30 kg || 5 reps","52"
"Behind the Neck Push Press",2014-02-07,8,30,,5,,"30 kg || 5 reps","52"
"Behind the Neck Push Press",2014-02-08,4,30,,3,,"30 kg || 3 reps","41"
"Behind the Neck Push Press",2014-02-08,5,30,,3,,"30 kg || 3 reps","41"
"Behind the Neck Push Press",2014-02-08,6,30,,3,,"30 kg || 3 reps","41"
"Behind the Neck Push Press",2014-02-10,10,30,,3,,"30 kg || 3 reps","41"
"Behind the Neck Push Press",2014-02-10,11,30,,3,,"30 kg || 3 reps","41"
"Behind the Neck Push Press",2014-02-10,12,35,,3,,"35 kg || 3 reps","44"
"Behind the Neck Push Press",2014-02-10,36,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-10,37,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-10,38,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-10,39,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-10,40,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-10,61,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-10,62,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-10,63,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-10,64,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-10,65,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-13,21,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-13,22,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-13,23,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-13,24,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-13,25,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-13,46,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-13,47,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-13,48,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-13,49,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-13,50,35,,1,,"35 kg || 1 reps","30"
"Behind the Neck Push Press",2014-02-13,63,40,,1,,"40 kg || 1 reps","33"
"Behind the Neck Push Press",2014-02-13,64,40,,1,,"40 kg || 1 reps","33"
"Behind the Neck Push Press",2014-02-13,65,40,,1,,"40 kg || 1 reps","33"
"Behind the Neck Push Press",2014-02-14,23,40,,1,,"40 kg || 1 reps","33"
"Behind the Neck Push Press",2014-02-14,24,40,,1,,"40 kg || 1 reps","33"
"Behind the Neck Push Press",2014-02-14,25,40,,1,,"40 kg || 1 reps","33"
"Behind the Neck Push Press",2014-02-14,42,40,,1,,"40 kg || 1 reps","33"
"Behind the Neck Push Press",2014-02-14,43,40,,1,,"40 kg || 1 reps","33"
"Behind the Neck Push Press",2014-02-14,44,40,,1,,"40 kg || 1 reps","33"
"Behind the Neck Push Press",2014-02-14,45,40,,1,,"40 kg || 1 reps","33"
"Behind the Neck Push Press",2014-02-15,51,30,,1,,"30 kg || 1 reps","28"
"Behind the Neck Push Press",2014-02-15,52,30,,1,,"30 kg || 1 reps","28"
"Behind the Neck Push Press",2014-02-15,53,30,,1,,"30 kg || 1 reps","28"
"Behind the Neck Push Press",2014-02-15,54,30,,1,,"30 kg || 1 reps","28"
"Behind the Neck Push Press",2014-02-15,55,30,,1,,"30 kg || 1 reps","28"
"Behind the Neck Push Press",2014-02-15,56,30,,1,,"30 kg || 1 reps","28"
"Behind the Neck Push Press",2014-02-15,57,30,,1,,"30 kg || 1 reps","28"
"Behind the Neck Push Press",2014-02-15,58,30,,1,,"30 kg || 1 reps","28"
"Behind the Neck Push Press",2014-02-15,59,30,,1,,"30 kg || 1 reps","28"
"Behind the Neck Push Press",2014-02-15,60,30,,1,,"30 kg || 1 reps","28"
