"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Bent Over Barbell Row",2012-06-12,1101,25,,10,,"25 kg || 10 reps","25"
"Bent Over Barbell Row",2012-06-12,1102,30,,10,,"30 kg || 10 reps","27"
"Bent Over Barbell Row",2012-06-12,1103,40,,5,,"40 kg || 5 reps","27"
"Bent Over Barbell Row",2012-06-12,1104,40,,5,,"40 kg || 5 reps","27"
"Bent Over Barbell Row",2012-06-12,1105,40,,5,,"40 kg || 5 reps","27"
"Bent Over Barbell Row",2012-09-21,501,22,,8,,"22 kg || 8 reps","23"
"Bent Over Barbell Row",2012-09-21,502,32,,8,,"32 kg || 8 reps","27"
"Bent Over Barbell Row",2012-09-21,503,42,,5,,"42 kg || 5 reps","27"
"Bent Over Barbell Row",2012-09-21,504,47,,5,,"47 kg || 5 reps","30"
"Bent Over Barbell Row",2012-09-21,505,49.5,,5,,"49.5 kg || 5 reps","31"
"Bent Over Barbell Row",2012-09-21,506,49.5,,5,,"49.5 kg || 5 reps","31"
"Bent Over Barbell Row",2012-09-21,507,49.5,,5,,"49.5 kg || 5 reps","31"
"Bent Over Barbell Row",2012-09-26,201,20,,5,,"20 kg || 5 reps","20"
"Bent Over Barbell Row",2012-09-26,202,25,,5,,"25 kg || 5 reps","21"
"Bent Over Barbell Row",2012-09-26,203,30,,5,,"30 kg || 5 reps","23"
"Bent Over Barbell Row",2012-09-26,204,35,,5,,"35 kg || 5 reps","25"
"Bent Over Barbell Row",2012-09-26,205,45,,5,,"45 kg || 5 reps","29"
"Bent Over Barbell Row",2012-09-30,301,20,,5,,"20 kg || 5 reps","20"
"Bent Over Barbell Row",2012-09-30,302,30,,5,,"30 kg || 5 reps","23"
"Bent Over Barbell Row",2012-09-30,303,35,,5,,"35 kg || 5 reps","25"
"Bent Over Barbell Row",2012-09-30,304,40,,5,,"40 kg || 5 reps","27"
"Bent Over Barbell Row",2012-09-30,305,50,,3,,"50 kg || 3 reps","25"
"Bent Over Barbell Row",2012-09-30,306,37.5,,8,,"37.5 kg || 8 reps","29"
"Bent Over Barbell Row",2012-10-03,201,20,,5,,"20 kg || 5 reps","20"
"Bent Over Barbell Row",2012-10-03,202,30,,5,,"30 kg || 5 reps","23"
"Bent Over Barbell Row",2012-10-03,203,35,,5,,"35 kg || 5 reps","25"
"Bent Over Barbell Row",2012-10-03,204,40,,5,,"40 kg || 5 reps","27"
"Bent Over Barbell Row",2012-10-03,205,50,,5,,"50 kg || 5 reps","31"
"Bent Over Barbell Row",2012-10-11,201,25,,5,,"25 kg || 5 reps","21"
"Bent Over Barbell Row",2012-10-11,202,30,,5,,"30 kg || 5 reps","23"
"Bent Over Barbell Row",2012-10-11,203,35,,5,,"35 kg || 5 reps","25"
"Bent Over Barbell Row",2012-10-11,204,40,,5,,"40 kg || 5 reps","27"
"Bent Over Barbell Row",2012-10-11,205,50,,5,,"50 kg || 5 reps","31"
"Bent Over Barbell Row",2012-10-11,206,40,,12,,"40 kg || 12 reps","32"
"Bent Over Barbell Row",2012-11-13,201,10,,6,,"10 kg || 6 reps","18"
"Bent Over Barbell Row",2012-11-13,202,15,,6,,"15 kg || 6 reps","19"
"Bent Over Barbell Row",2012-11-13,203,20,,6,,"20 kg || 6 reps","21"
"Bent Over Barbell Row",2012-11-13,204,25,,6,,"25 kg || 6 reps","23"
"Bent Over Barbell Row",2012-11-13,205,30,,6,,"30 kg || 6 reps","24"
"Bent Over Barbell Row",2012-11-13,206,30,,6,,"30 kg || 6 reps","24"
"Bent Over Barbell Row",2012-11-13,207,30,,6,,"30 kg || 6 reps","24"
"Bent Over Barbell Row",2013-03-26,101,40,,20,,"40 kg || 20 reps","35"
"Bent Over Barbell Row",2013-09-09,801,15,,3,,"15 kg || 3 reps","15"
"Bent Over Barbell Row",2013-09-09,802,17.5,,3,,"17.5 kg || 3 reps","15"
"Bent Over Barbell Row",2013-09-09,803,21.5,,3,,"21.5 kg || 3 reps","16"
"Bent Over Barbell Row",2013-09-12,201,30,,3,,"30 kg || 3 reps","18"
"Bent Over Barbell Row",2013-09-12,202,30,,3,,"30 kg || 3 reps","18"
"Bent Over Barbell Row",2013-09-12,203,20,,3,,"20 kg || 3 reps","16"
"Bent Over Barbell Row",2013-09-12,204,20,,3,,"20 kg || 3 reps","16"
"Bent Over Barbell Row",2013-09-12,205,20,,3,,"20 kg || 3 reps","16"
"Bent Over Barbell Row",2013-09-17,901,40,,3,,"40 kg || 3 reps","21"
"Bent Over Barbell Row",2013-10-02,601,70,,5,,"70 kg || 5 reps","42"
"Bent Over Barbell Row",2013-10-02,602,70,,5,,"70 kg || 5 reps","42"
"Bent Over Barbell Row",2014-02-14,5,40,,5,,"40 kg || 5 reps","27"
"Bent Over Barbell Row",2014-02-14,6,40,,5,,"40 kg || 5 reps","27"
