"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Bent Over Two-Dumbbell Row",2012-04-07,601,12.5,,5,,"12.5 kg || 5 reps","36"
"Bent Over Two-Dumbbell Row",2012-04-07,602,12.5,,5,,"12.5 kg || 5 reps","36"
"Bent Over Two-Dumbbell Row",2012-04-07,603,12.5,,5,,"12.5 kg || 5 reps","36"
"Bent Over Two-Dumbbell Row",2012-04-07,604,12.5,,5,,"12.5 kg || 5 reps","36"
"Bent Over Two-Dumbbell Row",2012-04-07,605,12.5,,5,,"12.5 kg || 5 reps","36"
"Bent Over Two-Dumbbell Row",2012-04-11,1,15,,5,,"15 kg || 5 reps","37"
"Bent Over Two-Dumbbell Row",2012-04-11,2,15,,5,,"15 kg || 5 reps","37"
"Bent Over Two-Dumbbell Row",2012-04-11,3,15,,5,,"15 kg || 5 reps","37"
"Bent Over Two-Dumbbell Row",2012-04-11,4,15,,5,,"15 kg || 5 reps","37"
"Bent Over Two-Dumbbell Row",2012-04-11,5,15,,5,,"15 kg || 5 reps","37"
"Bent Over Two-Dumbbell Row",2014-02-26,10,12.5,,15,,"12.5 kg || 15 reps","45"
"Bent Over Two-Dumbbell Row",2014-02-26,11,12.5,,15,,"12.5 kg || 15 reps","45"
"Bent Over Two-Dumbbell Row",2014-02-26,12,12.5,,15,,"12.5 kg || 15 reps","45"
