"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Bent-Arm Barbell Pullover",2012-11-02,301,13,,8,,"13 kg || 8 reps","9"
"Bent-Arm Barbell Pullover",2012-11-08,301,8,,10,,"8 kg || 10 reps","8"
"Bent-Arm Barbell Pullover",2012-11-08,302,10.5,,10,,"10.5 kg || 10 reps","9"
"Bent-Arm Barbell Pullover",2012-11-08,303,13,,10,,"13 kg || 10 reps","9"
"Bent-Arm Barbell Pullover",2012-11-08,304,13,,10,,"13 kg || 10 reps","9"
"Bent-Arm Barbell Pullover",2013-05-10,401,13,,12,,"13 kg || 12 reps","9"
"Bent-Arm Barbell Pullover",2013-05-10,402,13,,12,,"13 kg || 12 reps","9"
"Bent-Arm Barbell Pullover",2013-06-05,101,20,,5,,"20 kg || 5 reps","8"
"Bent-Arm Barbell Pullover",2013-06-05,102,20,,5,,"20 kg || 5 reps","8"
"Bent-Arm Barbell Pullover",2013-06-05,103,20,,5,,"20 kg || 5 reps","8"
"Bent-Arm Barbell Pullover",2013-06-05,104,20,,5,,"20 kg || 5 reps","8"
"Bent-Arm Barbell Pullover",2013-06-05,105,20,,5,,"20 kg || 5 reps","8"
"Bent-Arm Barbell Pullover",2013-06-18,301,15,,10,,"15 kg || 10 reps","9"
"Bent-Arm Barbell Pullover",2013-06-18,302,20,,10,,"20 kg || 10 reps","10"
"Bent-Arm Barbell Pullover",2013-06-18,303,20,,10,,"20 kg || 10 reps","10"
"Bent-Arm Barbell Pullover",2013-06-18,304,20,,10,,"20 kg || 10 reps","10"
"Bent-Arm Barbell Pullover",2013-06-25,401,20,,10,,"20 kg || 10 reps","10"
"Bent-Arm Barbell Pullover",2013-06-25,402,20,,10,,"20 kg || 10 reps","10"
"Bent-Arm Barbell Pullover",2013-06-25,403,20,,10,,"20 kg || 10 reps","10"
"Bent-Arm Barbell Pullover",2013-07-07,301,20,,5,,"20 kg || 5 reps","8"
"Bent-Arm Barbell Pullover",2013-07-07,302,15,,12,,"15 kg || 12 reps","10"
"Bent-Arm Barbell Pullover",2013-07-09,301,20,,10,,"20 kg || 10 reps","10"
"Bent-Arm Barbell Pullover",2013-07-09,302,20,,10,,"20 kg || 10 reps","10"
"Bent-Arm Barbell Pullover",2013-07-09,303,20,,10,,"20 kg || 10 reps","10"
"Bent-Arm Barbell Pullover",2013-09-19,901,7,,10,,"7 kg || 10 reps","8"
"Bent-Arm Barbell Pullover",2013-09-19,902,11,,10,,"11 kg || 10 reps","9"
