"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Bent-Arm Dumbbell Pullover",2012-09-30,601,12,,8,,"12 kg || 8 reps","18"
"Bent-Arm Dumbbell Pullover",2012-09-30,602,12,,8,,"12 kg || 8 reps","18"
"Bent-Arm Dumbbell Pullover",2012-09-30,603,12,,8,,"12 kg || 8 reps","18"
"Bent-Arm Dumbbell Pullover",2012-10-25,201,12,,5,,"12 kg || 5 reps","15"
"Bent-Arm Dumbbell Pullover",2012-10-25,202,16,,8,,"16 kg || 8 reps","19"
"Bent-Arm Dumbbell Pullover",2012-10-25,203,16,,8,,"16 kg || 8 reps","19"
"Bent-Arm Dumbbell Pullover",2013-05-21,1101,7,,12,,"7 kg || 12 reps","17"
"Bent-Arm Dumbbell Pullover",2013-05-21,1102,9,,12,,"9 kg || 12 reps","18"
"Bent-Arm Dumbbell Pullover",2013-05-21,1103,10,,10,,"10 kg || 10 reps","18"
"Bent-Arm Dumbbell Pullover",2013-05-21,1104,10,,15,,"10 kg || 15 reps","19"
"Bent-Arm Dumbbell Pullover",2013-05-25,401,10,,25,,"10 kg || 25 reps","21"
"Bent-Arm Dumbbell Pullover",2013-05-25,402,10,,20,,"10 kg || 20 reps","20"
"Bent-Arm Dumbbell Pullover",2014-03-29,7,4.5,,6,,"4.5 kg || 6 reps","15"
"Bent-Arm Dumbbell Pullover",2014-03-29,8,8.5,,10,,"8.5 kg || 10 reps","17"
"Bent-Arm Dumbbell Pullover",2014-03-29,9,10.5,,10,,"10.5 kg || 10 reps","18"
"Bent-Arm Dumbbell Pullover",2014-03-29,10,10.5,,15,,"10.5 kg || 15 reps","19"
"Bent-Arm Dumbbell Pullover",2014-03-31,27,11.5,,10,,"11.5 kg || 10 reps","18"
"Bent-Arm Dumbbell Pullover",2014-03-31,28,17.5,,10,,"17.5 kg || 10 reps","20"
"Bent-Arm Dumbbell Pullover",2014-03-31,29,17.5,,10,,"17.5 kg || 10 reps","20"
