"Activity","Date (YYYYMMDD)","Set",,"unit","Combined","Points"
"Body Weight Squat",2012-04-27,101,20,,"20 reps","13"
"Body Weight Squat",2012-05-05,401,10,,"10 reps","6"
"Body Weight Squat",2012-05-15,101,5,,"5 reps","5"
"Body Weight Squat",2012-05-15,102,5,,"5 reps","5"
"Body Weight Squat",2012-05-15,103,5,,"5 reps","5"
"Body Weight Squat",2012-05-17,301,10,,"10 reps","6"
"Body Weight Squat",2012-05-21,201,20,,"20 reps","13"
"Body Weight Squat",2012-06-01,501,10,,"10 reps","6"
"Body Weight Squat",2012-06-01,502,10,,"10 reps","6"
"Body Weight Squat",2012-06-03,1,25,,"25 reps","16"
"Body Weight Squat",2012-06-03,2,10,,"10 reps","6"
"Body Weight Squat",2012-06-03,3,10,,"10 reps","6"
"Body Weight Squat",2012-06-03,4,10,,"10 reps","6"
"Body Weight Squat",2012-06-03,5,10,,"10 reps","6"
"Body Weight Squat",2012-06-06,1,40,,"40 reps","26"
"Body Weight Squat",2012-06-06,2,20,,"20 reps","13"
"Body Weight Squat",2012-06-08,1,20,,"20 reps","13"
"Body Weight Squat",2012-06-11,1,10,,"10 reps","6"
"Body Weight Squat",2012-06-12,1,10,,"10 reps","6"
"Body Weight Squat",2012-06-15,1,10,,"10 reps","6"
"Body Weight Squat",2012-06-18,1,10,,"10 reps","6"
"Body Weight Squat",2012-06-23,1,5,,"5 reps","5"
"Body Weight Squat",2012-06-23,401,10,,"10 reps","6"
"Body Weight Squat",2012-06-23,402,10,,"10 reps","6"
"Body Weight Squat",2012-07-19,401,10,,"10 reps","6"
"Body Weight Squat",2012-07-19,402,10,,"10 reps","6"
"Body Weight Squat",2012-12-07,1,100,,"100 reps","65"
"Body Weight Squat",2012-12-07,2,25,,"25 reps","16"
"Body Weight Squat",2012-12-09,1,25,,"25 reps","16"
"Body Weight Squat",2012-12-09,2,25,,"25 reps","16"
"Body Weight Squat",2012-12-09,3,25,,"25 reps","16"
"Body Weight Squat",2012-12-09,4,25,,"25 reps","16"
"Body Weight Squat",2012-12-09,5,25,,"25 reps","16"
"Body Weight Squat",2012-12-09,6,25,,"25 reps","16"
"Body Weight Squat",2012-12-09,7,25,,"25 reps","16"
"Body Weight Squat",2012-12-09,8,25,,"25 reps","16"
"Body Weight Squat",2012-12-09,9,25,,"25 reps","16"
"Body Weight Squat",2012-12-09,10,25,,"25 reps","16"
"Body Weight Squat",2012-12-09,11,25,,"25 reps","16"
"Body Weight Squat",2012-12-09,12,25,,"25 reps","16"
"Body Weight Squat",2012-12-09,13,50,,"50 reps","32"
"Body Weight Squat",2012-12-23,301,20,,"20 reps","13"
"Body Weight Squat",2012-12-23,302,50,,"50 reps","32"
"Body Weight Squat",2012-12-25,1,15,,"15 reps","9"
"Body Weight Squat",2013-01-08,1,30,,"30 reps","19"
