"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Chin-Up",2012-01-29,301,3,,,,"3 reps","11"
"Chin-Up",2012-01-29,302,1,,,,"1 reps","2"
"Chin-Up",2012-03-04,401,3,,,,"3 reps","11"
"Chin-Up",2012-04-14,1,3,,,,"3 reps","11"
"Chin-Up",2012-06-01,1101,2,,,,"2 reps","7"
"Chin-Up",2012-06-11,701,10,,35,,"10 reps || weighted || 35 kg","10"
"Chin-Up",2012-06-26,501,2,,,,"2 reps","7"
"Chin-Up",2012-06-26,502,2,,,,"2 reps","7"
"Chin-Up",2012-06-26,503,1,,,,"1 reps","2"
"Chin-Up",2012-07-18,101,1,,,,"1 reps","3"
"Chin-Up",2012-07-18,102,1,,,,"1 reps","3"
"Chin-Up",2012-07-18,103,2,,,,"2 reps","7"
"Chin-Up",2012-07-18,104,3,,,,"3 reps","12"
"Chin-Up",2012-07-18,105,1,,,,"1 reps","3"
"Chin-Up",2012-07-19,801,2,,,,"2 reps","7"
"Chin-Up",2012-07-21,301,5,,,,"5 reps","24"
"Chin-Up",2012-07-21,302,2,,,,"2 reps","7"
"Chin-Up",2012-07-23,1,5,,,,"5 reps","25"
"Chin-Up",2012-07-23,2,2,,,,"2 reps","7"
"Chin-Up",2012-07-23,3,3,,,,"3 reps","12"
"Chin-Up",2012-07-23,4,3,,,,"3 reps","12"
"Chin-Up",2012-07-23,5,3,,,,"3 reps","12"
"Chin-Up",2012-07-25,1,5,,,,"5 reps","25"
"Chin-Up",2012-07-25,2,3,,,,"3 reps","12"
"Chin-Up",2012-07-25,3,1,,,,"1 reps","3"
"Chin-Up",2012-07-27,701,3,,,,"3 reps","12"
"Chin-Up",2012-07-27,702,1,,,,"1 reps","3"
"Chin-Up",2012-08-02,101,5,,,,"5 reps","30"
"Chin-Up",2012-08-06,801,4,,,,"4 reps","22"
"Chin-Up",2012-08-11,401,5,,,,"5 reps","30"
"Chin-Up",2012-08-24,801,1,,,,"1 reps","3"
"Chin-Up",2012-08-24,802,3,,,,"3 reps","15"
"Chin-Up",2012-08-24,803,2,,,,"2 reps","9"
"Chin-Up",2012-08-31,401,6,,,,"6 reps","38"
"Chin-Up",2012-09-12,1,1,,,,"1 reps","3"
"Chin-Up",2012-09-12,2,2,,,,"2 reps","9"
"Chin-Up",2012-09-12,3,3,,,,"3 reps","15"
"Chin-Up",2012-09-12,4,4,,,,"4 reps","22"
"Chin-Up",2012-09-12,5,3,,,,"3 reps","15"
"Chin-Up",2012-09-12,6,2,,,,"2 reps","9"
"Chin-Up",2012-09-12,7,1,,,,"1 reps","3"
"Chin-Up",2012-09-19,201,4,,,,"4 reps","23"
"Chin-Up",2012-09-19,202,4,,,,"4 reps","23"
"Chin-Up",2012-09-19,203,3,,,,"3 reps","16"
"Chin-Up",2012-10-03,601,3,,,,"3 reps","15"
"Chin-Up",2012-11-18,901,3,,,,"3 reps","16"
"Chin-Up",2012-11-18,902,2,,,,"2 reps","9"
"Chin-Up",2012-11-18,903,2,,,,"2 reps","9"
"Chin-Up",2012-12-14,1,3,,,,"3 reps","16"
"Chin-Up",2012-12-14,2,2,,,,"2 reps","9"
"Chin-Up",2013-01-03,201,3,,,,"3 reps","16"
"Chin-Up",2013-01-03,202,3,,,,"3 reps","16"
"Chin-Up",2013-01-03,203,3,,,,"3 reps","16"
"Chin-Up",2013-01-03,204,2,,,,"2 reps","9"
"Chin-Up",2013-01-03,205,1,,,,"1 reps","3"
"Chin-Up",2013-01-03,206,2,,,,"2 reps","9"
"Chin-Up",2013-01-03,207,1,,,,"1 reps","3"
"Chin-Up",2013-01-03,208,1,,,,"1 reps","3"
"Chin-Up",2013-01-03,209,1,,,,"1 reps","3"
"Chin-Up",2013-01-03,210,1,,,,"1 reps","3"
"Chin-Up",2013-02-11,301,5,,,,"5 reps","33"
"Chin-Up",2013-02-11,302,3,,,,"3 reps","16"
"Chin-Up",2013-02-11,303,2,,,,"2 reps","10"
"Chin-Up",2013-02-15,401,4,,,,"4 reps","24"
"Chin-Up",2013-02-15,402,3,,,,"3 reps","16"
"Chin-Up",2013-02-15,403,3,,,,"3 reps","16"
"Chin-Up",2013-02-18,301,2,,,,"2 reps","10"
"Chin-Up",2013-02-19,401,4,,,,"4 reps","24"
"Chin-Up",2013-02-19,402,5,,,,"5 reps","33"
"Chin-Up",2013-02-19,403,2,,,,"2 reps","10"
"Chin-Up",2013-02-20,1,3,,,,"3 reps","16"
"Chin-Up",2013-02-21,501,5,,,,"5 reps","33"
"Chin-Up",2013-02-21,502,4,,,,"4 reps","24"
"Chin-Up",2013-02-21,503,3,,,,"3 reps","16"
"Chin-Up",2013-02-25,701,4,,,,"4 reps","39"
"Chin-Up",2013-02-25,702,1,,,,"1 reps","14"
"Chin-Up",2013-02-27,401,7,,,,"7 reps","60"
"Chin-Up",2013-02-27,402,4,,,,"4 reps","39"
"Chin-Up",2013-02-27,403,4,,,,"4 reps","39"
"Chin-Up",2013-02-27,404,3,,,,"3 reps","32"
"Chin-Up",2013-02-27,405,1,,,,"1 reps","14"
"Chin-Up",2013-02-28,201,1,,,,"1 reps","14"
"Chin-Up",2013-03-01,401,5,,,,"5 reps","46"
"Chin-Up",2013-03-01,402,5,,,,"5 reps","46"
"Chin-Up",2013-03-01,403,2,,,,"2 reps","23"
"Chin-Up",2013-03-02,201,2,,,,"2 reps","23"
"Chin-Up",2013-03-03,301,6,,,,"6 reps","53"
"Chin-Up",2013-03-03,302,2,,,,"2 reps","23"
"Chin-Up",2013-03-03,303,2,,,,"2 reps","23"
"Chin-Up",2013-03-04,1,3,,,,"3 reps","32"
"Chin-Up",2013-03-05,101,5,,,,"5 reps","46"
"Chin-Up",2013-03-05,102,5,,,,"5 reps","46"
"Chin-Up",2013-03-05,103,3,,,,"3 reps","32"
"Chin-Up",2013-03-06,301,4,,,,"4 reps","39"
"Chin-Up",2013-03-06,302,3,,,,"3 reps","32"
"Chin-Up",2013-03-06,303,2,,,,"2 reps","23"
"Chin-Up",2013-03-07,201,3,,,,"3 reps","32"
"Chin-Up",2013-03-07,202,3,,,,"3 reps","32"
"Chin-Up",2013-03-07,203,3,,,,"3 reps","32"
"Chin-Up",2013-03-08,1,3,,,,"3 reps","32"
"Chin-Up",2013-03-09,301,2,,,,"2 reps","23"
"Chin-Up",2013-03-09,302,3,,,,"3 reps","32"
"Chin-Up",2013-03-09,303,1,,,,"1 reps","14"
"Chin-Up",2013-03-10,101,3,,,,"3 reps","32"
"Chin-Up",2013-03-10,102,2,,,,"2 reps","23"
"Chin-Up",2013-03-10,103,2,,,,"2 reps","23"
"Chin-Up",2013-03-11,301,4,,,,"4 reps","40"
"Chin-Up",2013-03-11,302,3,,,,"3 reps","32"
"Chin-Up",2013-03-11,303,1,,,,"1 reps","14"
"Chin-Up",2013-03-12,1,3,,,,"3 reps","32"
"Chin-Up",2013-03-12,2,3,,,,"3 reps","32"
"Chin-Up",2013-03-13,1,5,,,,"5 reps","47"
"Chin-Up",2013-03-13,2,3,,,,"3 reps","32"
"Chin-Up",2013-03-13,3,2,,,,"2 reps","23"
"Chin-Up",2013-03-16,201,5,,,,"5 reps","46"
"Chin-Up",2013-03-16,202,3,,,,"3 reps","31"
"Chin-Up",2013-03-16,203,2,,,,"2 reps","23"
"Chin-Up",2013-03-16,204,1,,,,"1 reps","13"
