"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Close-Grip Barbell Bench Press",2012-10-24,101,41,,5,,"41 kg || 5 reps","48"
"Close-Grip Barbell Bench Press",2012-10-24,102,41,,5,,"41 kg || 5 reps","48"
"Close-Grip Barbell Bench Press",2012-10-24,103,45,,5,,"45 kg || 5 reps","51"
"Close-Grip Barbell Bench Press",2012-11-02,101,25,,5,,"25 kg || 5 reps","38"
"Close-Grip Barbell Bench Press",2012-11-02,102,35,,5,,"35 kg || 5 reps","44"
"Close-Grip Barbell Bench Press",2012-11-02,103,40,,5,,"40 kg || 5 reps","48"
"Close-Grip Barbell Bench Press",2013-02-19,801,31,,10,,"31 kg || 10 reps","49"
"Close-Grip Barbell Bench Press",2013-02-19,802,35,,10,,"35 kg || 10 reps","52"
"Close-Grip Barbell Bench Press",2013-02-19,803,35,,10,,"35 kg || 10 reps","52"
"Close-Grip Barbell Bench Press",2013-02-21,401,35,,10,,"35 kg || 10 reps","52"
"Close-Grip Barbell Bench Press",2013-02-21,402,35,,10,,"35 kg || 10 reps","52"
"Close-Grip Barbell Bench Press",2013-02-21,403,35,,10,,"35 kg || 10 reps","52"
"Close-Grip Barbell Bench Press",2013-02-27,501,33.5,,5,,"33.5 kg || 5 reps","43"
"Close-Grip Barbell Bench Press",2013-02-27,502,33.5,,10,,"33.5 kg || 10 reps","51"
"Close-Grip Barbell Bench Press",2013-02-27,503,33.5,,10,,"33.5 kg || 10 reps","51"
"Close-Grip Barbell Bench Press",2013-03-01,501,33.5,,10,,"33.5 kg || 10 reps","51"
"Close-Grip Barbell Bench Press",2013-03-01,502,35,,10,,"35 kg || 10 reps","52"
"Close-Grip Barbell Bench Press",2013-03-07,401,37.5,,10,,"37.5 kg || 10 reps","54"
"Close-Grip Barbell Bench Press",2013-03-07,402,37.5,,10,,"37.5 kg || 10 reps","54"
"Close-Grip Barbell Bench Press",2013-04-27,601,31,,12,,"31 kg || 12 reps","51"
"Close-Grip Barbell Bench Press",2013-04-27,602,31,,12,,"31 kg || 12 reps","51"
"Close-Grip Barbell Bench Press",2013-05-05,901,31,,12,,"31 kg || 12 reps","51"
"Close-Grip Barbell Bench Press",2013-05-05,902,31,,12,,"31 kg || 12 reps","51"
"Close-Grip Barbell Bench Press",2013-05-05,903,31,,12,,"31 kg || 12 reps","51"
"Close-Grip Barbell Bench Press",2013-06-05,201,20,,10,,"20 kg || 10 reps","42"
"Close-Grip Barbell Bench Press",2013-06-05,202,25,,10,,"25 kg || 10 reps","45"
"Close-Grip Barbell Bench Press",2013-06-05,203,25,,10,,"25 kg || 10 reps","45"
"Close-Grip Barbell Bench Press",2013-06-05,204,27.5,,10,,"27.5 kg || 10 reps","47"
"Close-Grip Barbell Bench Press",2013-06-05,205,27.5,,10,,"27.5 kg || 10 reps","47"
"Close-Grip Barbell Bench Press",2013-06-09,201,30,,20,,"30 kg || 20 reps","54"
"Close-Grip Barbell Bench Press",2013-06-09,202,30,,20,,"30 kg || 20 reps","54"
"Close-Grip Barbell Bench Press",2013-06-09,203,25,,20,,"25 kg || 20 reps","50"
"Close-Grip Barbell Bench Press",2013-06-09,204,25,,10,,"25 kg || 10 reps","45"
"Close-Grip Barbell Bench Press",2013-06-18,801,20,,10,,"20 kg || 10 reps","42"
"Close-Grip Barbell Bench Press",2013-06-21,201,40,,5,,"40 kg || 5 reps","48"
"Close-Grip Barbell Bench Press",2013-06-21,202,40,,5,,"40 kg || 5 reps","48"
"Close-Grip Barbell Bench Press",2013-06-25,801,20,,10,,"20 kg || 10 reps","42"
"Close-Grip Barbell Bench Press",2013-06-25,802,20,,10,,"20 kg || 10 reps","42"
"Close-Grip Barbell Bench Press",2013-06-25,803,20,,10,,"20 kg || 10 reps","42"
"Close-Grip Barbell Bench Press",2013-06-28,201,30,,5,,"30 kg || 5 reps","41"
"Close-Grip Barbell Bench Press",2013-06-28,202,50,,5,,"50 kg || 5 reps","55"
"Close-Grip Barbell Bench Press",2013-07-05,401,30,,15,,"30 kg || 15 reps","51"
"Close-Grip Barbell Bench Press",2013-07-05,402,30,,15,,"30 kg || 15 reps","51"
"Close-Grip Barbell Bench Press",2013-07-05,403,30,,15,,"30 kg || 15 reps","51"
"Close-Grip Barbell Bench Press",2013-07-07,401,20,,5,,"20 kg || 5 reps","35"
"Close-Grip Barbell Bench Press",2013-07-07,402,15,,12,,"15 kg || 12 reps","40"
"Close-Grip Barbell Bench Press",2013-07-09,401,20,,10,,"20 kg || 10 reps","42"
"Close-Grip Barbell Bench Press",2013-07-09,402,20,,10,,"20 kg || 10 reps","42"
"Close-Grip Barbell Bench Press",2013-07-09,403,20,,10,,"20 kg || 10 reps","42"
"Close-Grip Barbell Bench Press",2013-07-13,601,30,,10,,"30 kg || 10 reps","48"
"Close-Grip Barbell Bench Press",2013-07-13,602,30,,10,,"30 kg || 10 reps","48"
"Close-Grip Barbell Bench Press",2013-07-13,603,30,,10,,"30 kg || 10 reps","48"
