"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Close-Grip EZ Bar Curl",2012-11-02,301,18,,10,,"18 kg || 10 reps","15"
"Close-Grip EZ Bar Curl",2012-11-02,302,18,,10,,"18 kg || 10 reps","15"
"Close-Grip EZ Bar Curl",2012-11-04,1,10.5,,15,,"10.5 kg || 15 reps","14"
"Close-Grip EZ Bar Curl",2012-11-04,2,18,,10,,"18 kg || 10 reps","15"
"Close-Grip EZ Bar Curl",2012-11-04,3,18,,10,,"18 kg || 10 reps","15"
"Close-Grip EZ Bar Curl",2012-11-04,4,22,,10,,"22 kg || 10 reps","16"
"Close-Grip EZ Bar Curl",2012-11-06,801,18,,10,,"18 kg || 10 reps","15"
"Close-Grip EZ Bar Curl",2012-11-06,802,18,,10,,"18 kg || 10 reps","15"
"Close-Grip EZ Bar Curl",2012-11-06,803,18,,5,,"18 kg || 5 reps","13"
"Close-Grip EZ Bar Curl",2012-11-09,401,13,,10,,"13 kg || 10 reps","14"
"Close-Grip EZ Bar Curl",2012-11-09,402,13,,10,,"13 kg || 10 reps","14"
"Close-Grip EZ Bar Curl",2013-04-05,1,20.5,,8,,"20.5 kg || 8 reps","15"
"Close-Grip EZ Bar Curl",2013-04-19,601,18,,10,,"18 kg || 10 reps","15"
"Close-Grip EZ Bar Curl",2013-06-06,201,25,,10,,"25 kg || 10 reps","17"
"Close-Grip EZ Bar Curl",2013-06-06,202,25,,10,,"25 kg || 10 reps","17"
"Close-Grip EZ Bar Curl",2013-06-06,203,25,,10,,"25 kg || 10 reps","17"
