"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Close-Grip Front Lat Pulldown",2012-02-28,101,50,,10,,"50 kg || 10 reps","16"
"Close-Grip Front Lat Pulldown",2012-02-28,102,50,,10,,"50 kg || 10 reps","16"
"Close-Grip Front Lat Pulldown",2012-02-28,103,50,,8,,"50 kg || 8 reps","15"
"Close-Grip Front Lat Pulldown",2012-03-04,601,35,,8,,"35 kg || 8 reps","12"
"Close-Grip Front Lat Pulldown",2012-03-04,602,35,,8,,"35 kg || 8 reps","12"
"Close-Grip Front Lat Pulldown",2012-03-04,603,35,,8,,"35 kg || 8 reps","12"
"Close-Grip Front Lat Pulldown",2013-02-05,801,30,,10,,"30 kg || 10 reps","12"
"Close-Grip Front Lat Pulldown",2013-02-05,802,40,,10,,"40 kg || 10 reps","14"
"Close-Grip Front Lat Pulldown",2013-02-05,803,50,,5,,"50 kg || 5 reps","13"
"Close-Grip Front Lat Pulldown",2013-02-05,804,60,,5,,"60 kg || 5 reps","16"
"Close-Grip Front Lat Pulldown",2013-02-05,805,65,,5,,"65 kg || 5 reps","17"
"Close-Grip Front Lat Pulldown",2013-02-05,806,70,,3,,"70 kg || 3 reps","15"
"Close-Grip Front Lat Pulldown",2013-02-11,501,50,,5,,"50 kg || 5 reps","13"
"Close-Grip Front Lat Pulldown",2013-02-11,502,50,,5,,"50 kg || 5 reps","13"
"Close-Grip Front Lat Pulldown",2013-02-11,503,50,,5,,"50 kg || 5 reps","13"
"Close-Grip Front Lat Pulldown",2013-03-25,201,17.5,,10,,"17.5 kg || 10 reps","10"
"Close-Grip Front Lat Pulldown",2013-03-25,202,27.5,,10,,"27.5 kg || 10 reps","11"
"Close-Grip Front Lat Pulldown",2013-03-28,201,20,,10,,"20 kg || 10 reps","10"
"Close-Grip Front Lat Pulldown",2013-03-28,202,30,,10,,"30 kg || 10 reps","12"
"Close-Grip Front Lat Pulldown",2013-03-28,203,40,,10,,"40 kg || 10 reps","14"
"Close-Grip Front Lat Pulldown",2013-03-28,204,45,,10,,"45 kg || 10 reps","15"
"Close-Grip Front Lat Pulldown",2013-03-28,205,45,,10,,"45 kg || 10 reps","15"
"Close-Grip Front Lat Pulldown",2013-03-31,501,25,,10,,"25 kg || 10 reps","11"
"Close-Grip Front Lat Pulldown",2013-03-31,502,40,,10,,"40 kg || 10 reps","14"
"Close-Grip Front Lat Pulldown",2013-03-31,503,50,,10,,"50 kg || 10 reps","16"
"Close-Grip Front Lat Pulldown",2013-03-31,504,55,,5,,"55 kg || 5 reps","15"
"Close-Grip Front Lat Pulldown",2013-04-04,401,40,,10,,"40 kg || 10 reps","14"
"Close-Grip Front Lat Pulldown",2013-04-04,402,40,,10,,"40 kg || 10 reps","14"
"Close-Grip Front Lat Pulldown",2013-04-07,301,45,,10,,"45 kg || 10 reps","15"
"Close-Grip Front Lat Pulldown",2013-04-07,302,45,,10,,"45 kg || 10 reps","15"
"Close-Grip Front Lat Pulldown",2013-04-11,301,45,,10,,"45 kg || 10 reps","15"
"Close-Grip Front Lat Pulldown",2013-04-11,302,45,,10,,"45 kg || 10 reps","15"
"Close-Grip Front Lat Pulldown",2013-04-25,101,40,,12,,"40 kg || 12 reps","14"
"Close-Grip Front Lat Pulldown",2013-04-25,102,45,,12,,"45 kg || 12 reps","15"
"Close-Grip Front Lat Pulldown",2013-05-03,201,30,,15,,"30 kg || 15 reps","12"
"Close-Grip Front Lat Pulldown",2013-05-03,202,30,,15,,"30 kg || 15 reps","12"
"Close-Grip Front Lat Pulldown",2013-05-23,501,20,,15,,"20 kg || 15 reps","11"
"Close-Grip Front Lat Pulldown",2013-05-23,502,25,,15,,"25 kg || 15 reps","12"
"Close-Grip Front Lat Pulldown",2013-05-23,503,25,,15,,"25 kg || 15 reps","12"
"Close-Grip Front Lat Pulldown",2013-05-23,504,25,,15,,"25 kg || 15 reps","12"
"Close-Grip Front Lat Pulldown",2013-06-02,101,40,,10,,"40 kg || 10 reps","14"
"Close-Grip Front Lat Pulldown",2013-06-02,102,40,,10,,"40 kg || 10 reps","14"
"Close-Grip Front Lat Pulldown",2013-06-02,103,40,,10,,"40 kg || 10 reps","14"
"Close-Grip Front Lat Pulldown",2013-06-02,104,40,,10,,"40 kg || 10 reps","14"
"Close-Grip Front Lat Pulldown",2013-08-26,1101,25,,10,,"25 kg || 10 reps","11"
"Close-Grip Front Lat Pulldown",2013-08-26,1102,35,,10,,"35 kg || 10 reps","13"
