"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Dimel Deadlift",2012-10-27,201,51,,10,,"51 kg || 10 reps","50"
"Dimel Deadlift",2012-10-27,202,55,,10,,"55 kg || 10 reps","53"
"Dimel Deadlift",2012-10-27,203,55,,10,,"55 kg || 10 reps","53"
"Dimel Deadlift",2012-10-31,301,51,,15,,"51 kg || 15 reps","53"
"Dimel Deadlift",2012-10-31,302,51,,15,,"51 kg || 15 reps","53"
"Dimel Deadlift",2012-10-31,303,51,,10,,"51 kg || 10 reps","50"
"Dimel Deadlift",2012-11-04,701,40,,15,,"40 kg || 15 reps","45"
"Dimel Deadlift",2012-11-04,702,40,,15,,"40 kg || 15 reps","45"
"Dimel Deadlift",2012-11-04,703,40,,15,,"40 kg || 15 reps","45"
"Dimel Deadlift",2012-11-13,101,10,,6,,"10 kg || 6 reps","24"
"Dimel Deadlift",2012-11-13,102,15,,6,,"15 kg || 6 reps","26"
"Dimel Deadlift",2012-11-13,103,20,,6,,"20 kg || 6 reps","28"
"Dimel Deadlift",2012-11-13,104,25,,6,,"25 kg || 6 reps","30"
"Dimel Deadlift",2012-11-13,105,30,,6,,"30 kg || 6 reps","33"
"Dimel Deadlift",2013-01-08,201,30,,20,,"30 kg || 20 reps","41"
"Dimel Deadlift",2013-01-08,202,40,,15,,"40 kg || 15 reps","45"
"Dimel Deadlift",2013-01-08,203,40,,15,,"40 kg || 15 reps","45"
