"Activity","Date (YYYYMMDD)","Set",,"unit","Combined","Points"
"Dip Station Bent Leg Raise",2012-05-15,401,15,,"15 reps","6"
"Dip Station Bent Leg Raise",2012-07-19,901,10,,"10 reps","5"
"Dip Station Bent Leg Raise",2012-08-24,701,2,,"2 reps","5"
"Dip Station Bent Leg Raise",2012-08-24,702,5,,"5 reps","5"
"Dip Station Bent Leg Raise",2012-08-31,101,20,,"20 reps","8"
"Dip Station Bent Leg Raise",2012-10-25,601,10,,"10 reps","5"
"Dip Station Bent Leg Raise",2012-10-25,602,10,,"10 reps","5"
"Dip Station Bent Leg Raise",2012-11-02,701,10,,"10 reps","5"
"Dip Station Bent Leg Raise",2012-11-02,702,10,,"10 reps","5"
"Dip Station Bent Leg Raise",2013-01-11,601,10,,"10 reps","5"
"Dip Station Bent Leg Raise",2013-01-11,602,10,,"10 reps","5"
"Dip Station Bent Leg Raise",2013-04-30,301,10,,"10 reps","5"
"Dip Station Bent Leg Raise",2013-04-30,302,5,,"5 reps","5"
