"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Dips - Chest Version",2013-06-28,1,1,,,,"1 reps","3"
"Dips - Chest Version",2013-06-28,2,1,,,,"1 reps","3"
"Dips - Chest Version",2013-06-28,3,1,,,,"1 reps","3"
"Dips - Chest Version",2013-06-30,101,1,,,,"1 reps","3"
"Dips - Chest Version",2013-06-30,102,1,,,,"1 reps","3"
"Dips - Chest Version",2013-07-03,101,2,,,,"2 reps","7"
"Dips - Chest Version",2013-07-05,1,3,,,,"3 reps","12"
"Dips - Chest Version",2013-07-09,101,1,,,,"1 reps","3"
"Dips - Chest Version",2013-07-19,901,3,,,,"3 reps","12"
"Dips - Chest Version",2013-11-06,6,10,,40,,"10 reps || assisted || 40 kg","9"
"Dips - Chest Version",2013-11-27,1,4,,,,"4 reps","19"
"Dips - Chest Version",2013-11-27,2,10,,40,,"10 reps || assisted || 40 kg","9"
"Dips - Chest Version",2013-12-03,1,10,,40,,"10 reps || assisted || 40 kg","9"
"Dips - Chest Version",2013-12-05,1,10,,40,,"10 reps || assisted || 40 kg","9"
"Dips - Chest Version",2013-12-05,2,10,,20,,"10 reps || assisted || 20 kg","26"
"Dips - Chest Version",2013-12-18,1,10,,40,,"10 reps || assisted || 40 kg","9"
"Dips - Chest Version",2013-12-18,2,10,,40,,"10 reps || assisted || 40 kg","9"
"Dips - Chest Version",2014-01-04,10,10,,40,,"10 reps || assisted || 40 kg","9"
"Dips - Chest Version",2014-01-04,11,10,,40,,"10 reps || assisted || 40 kg","9"
"Dips - Chest Version",2014-01-04,12,10,,40,,"10 reps || assisted || 40 kg","9"
"Dips - Chest Version",2014-01-18,7,10,,45,,"10 reps || assisted || 45 kg","7"
"Dips - Chest Version",2014-01-18,8,10,,45,,"10 reps || assisted || 45 kg","7"
"Dips - Chest Version",2014-01-18,9,10,,45,,"10 reps || assisted || 45 kg","7"
"Dips - Chest Version",2014-02-14,12,3,,,,"3 reps","13"
