"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Dips - Triceps Version",2013-06-25,101,1,,86,,"1 reps || assisted || 86 kg","2"
"Dips - Triceps Version",2013-06-25,102,1,,86,,"1 reps || assisted || 86 kg","2"
"Dips - Triceps Version",2013-06-25,103,1,,86,,"1 reps || assisted || 86 kg","2"
"Dips - Triceps Version",2013-11-06,4,10,,40,,"10 reps || assisted || 40 kg","10"
"Dips - Triceps Version",2013-11-06,5,1,,,,"1 reps","4"
"Dips - Triceps Version",2013-11-08,4,10,,40,,"10 reps || assisted || 40 kg","10"
"Dips - Triceps Version",2013-11-08,5,10,,40,,"10 reps || assisted || 40 kg","10"
"Dips - Triceps Version",2013-11-08,6,10,,40,,"10 reps || assisted || 40 kg","10"
"Dips - Triceps Version",2013-11-15,1,1,,,,"1 reps","4"
"Dips - Triceps Version",2013-11-17,1,12,,40,,"12 reps || assisted || 40 kg","12"
"Dips - Triceps Version",2013-11-18,1,10,,40,,"10 reps || assisted || 40 kg","10"
"Dips - Triceps Version",2013-11-18,2,10,,40,,"10 reps || assisted || 40 kg","10"
"Dips - Triceps Version",2013-11-18,3,10,,40,,"10 reps || assisted || 40 kg","10"
