"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Double Kettlebell Clean",2012-09-14,201,12,,10,,"12 kg || 10 reps","52"
"Double Kettlebell Clean",2012-09-14,202,12,,5,,"12 kg || 5 reps","42"
"Double Kettlebell Clean",2012-09-14,203,12,,5,,"12 kg || 5 reps","42"
"Double Kettlebell Clean",2012-09-14,204,12,,5,,"12 kg || 5 reps","42"
"Double Kettlebell Clean",2012-09-17,401,12,,5,,"12 kg || 5 reps","42"
"Double Kettlebell Clean",2012-09-17,402,12,,5,,"12 kg || 5 reps","42"
"Double Kettlebell Clean",2012-09-17,403,12,,5,,"12 kg || 5 reps","42"
"Double Kettlebell Clean",2012-09-17,404,12,,5,,"12 kg || 5 reps","42"
"Double Kettlebell Clean",2012-09-17,405,12,,5,,"12 kg || 5 reps","42"
"Double Kettlebell Clean",2012-09-17,406,12,,5,,"12 kg || 5 reps","42"
"Double Kettlebell Clean",2012-09-17,407,12,,5,,"12 kg || 5 reps","42"
"Double Kettlebell Clean",2012-09-17,408,12,,5,,"12 kg || 5 reps","42"
"Double Kettlebell Clean",2012-09-17,409,12,,5,,"12 kg || 5 reps","42"
"Double Kettlebell Clean",2012-09-17,410,12,,5,,"12 kg || 5 reps","42"
"Double Kettlebell Clean",2012-09-17,411,12,,1,,"12 kg || 1 reps","22"
"Double Kettlebell Clean",2012-09-17,412,12,,1,,"12 kg || 1 reps","22"
"Double Kettlebell Clean",2012-09-19,401,12,,5,,"12 kg || 5 reps","42"
"Double Kettlebell Clean",2012-09-19,402,12,,5,,"12 kg || 5 reps","42"
"Double Kettlebell Clean",2012-09-19,403,12,,5,,"12 kg || 5 reps","42"
"Double Kettlebell Clean",2012-09-21,601,12,,10,,"12 kg || 10 reps","52"
"Double Kettlebell Clean",2012-09-28,501,12,,5,,"12 kg || 5 reps","42"
"Double Kettlebell Clean",2012-10-05,401,16,,5,,"16 kg || 5 reps","47"
"Double Kettlebell Clean",2012-10-05,402,16,,5,,"16 kg || 5 reps","47"
"Double Kettlebell Clean",2012-10-05,403,16,,5,,"16 kg || 5 reps","47"
"Double Kettlebell Clean",2012-10-11,501,16,,3,,"16 kg || 3 reps","37"
"Double Kettlebell Clean",2012-10-11,502,16,,3,,"16 kg || 3 reps","37"
"Double Kettlebell Clean",2012-10-11,503,16,,8,,"16 kg || 8 reps","55"
"Double Kettlebell Clean",2012-10-11,504,16,,12,,"16 kg || 12 reps","61"
"Double Kettlebell Clean",2012-12-14,901,16,,1,,"16 kg || 1 reps","24"
"Double Kettlebell Clean",2012-12-14,902,20,,1,,"20 kg || 1 reps","28"
"Double Kettlebell Clean",2013-02-09,801,16,,1,,"16 kg || 1 reps","24"
"Double Kettlebell Clean",2013-02-17,601,16,,1,,"16 kg || 1 reps","24"
"Double Kettlebell Clean",2013-02-17,602,16,,1,,"16 kg || 1 reps","24"
"Double Kettlebell Clean",2013-05-12,101,6,,8,,"6 kg || 8 reps","41"
"Double Kettlebell Clean",2013-05-12,102,8,,8,,"8 kg || 8 reps","43"
"Double Kettlebell Clean",2013-05-14,101,6,,8,,"6 kg || 8 reps","41"
"Double Kettlebell Clean",2013-05-23,401,10,,10,,"10 kg || 10 reps","49"
"Double Kettlebell Clean",2013-06-01,301,16,,1,,"16 kg || 1 reps","24"
"Double Kettlebell Clean",2013-06-01,302,16,,1,,"16 kg || 1 reps","24"
"Double Kettlebell Clean",2013-06-01,303,16,,1,,"16 kg || 1 reps","24"
"Double Kettlebell Clean",2013-06-01,304,16,,1,,"16 kg || 1 reps","24"
"Double Kettlebell Clean",2013-06-01,305,16,,1,,"16 kg || 1 reps","24"
"Double Kettlebell Clean",2013-06-01,306,12,,1,,"12 kg || 1 reps","22"
"Double Kettlebell Clean",2013-06-04,401,16,,1,,"16 kg || 1 reps","24"
"Double Kettlebell Clean",2013-06-05,501,12,,1,,"12 kg || 1 reps","22"
"Double Kettlebell Clean",2013-06-05,502,12,,1,,"12 kg || 1 reps","22"
"Double Kettlebell Clean",2013-07-17,101,8,,8,,"8 kg || 8 reps","43"
"Double Kettlebell Clean",2013-07-17,102,8,,8,,"8 kg || 8 reps","43"
"Double Kettlebell Clean",2013-07-17,103,12,,8,,"12 kg || 8 reps","49"
