"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Double Kettlebell Press",2012-09-14,301,12,,5,,"12 kg || 5 reps","65"
"Double Kettlebell Press",2012-09-14,302,12,,5,,"12 kg || 5 reps","65"
"Double Kettlebell Press",2012-09-14,303,12,,5,,"12 kg || 5 reps","65"
"Double Kettlebell Press",2012-09-17,701,12,,5,,"12 kg || 5 reps","65"
"Double Kettlebell Press",2012-09-17,702,12,,5,,"12 kg || 5 reps","65"
"Double Kettlebell Press",2012-09-17,703,12,,5,,"12 kg || 5 reps","65"
"Double Kettlebell Press",2012-12-16,201,12,,5,,"12 kg || 5 reps","65"
"Double Kettlebell Press",2012-12-16,202,12,,5,,"12 kg || 5 reps","65"
"Double Kettlebell Press",2012-12-16,203,16,,5,,"16 kg || 5 reps","69"
"Double Kettlebell Press",2012-12-16,204,16,,5,,"16 kg || 5 reps","69"
"Double Kettlebell Press",2012-12-16,205,16,,5,,"16 kg || 5 reps","69"
"Double Kettlebell Press",2013-03-06,501,12,,5,,"12 kg || 5 reps","65"
"Double Kettlebell Press",2013-03-06,502,12,,5,,"12 kg || 5 reps","65"
"Double Kettlebell Press",2013-03-06,503,12,,5,,"12 kg || 5 reps","65"
"Double Kettlebell Press",2013-05-12,201,6,,8,,"6 kg || 8 reps","68"
"Double Kettlebell Press",2013-05-12,202,8,,8,,"8 kg || 8 reps","70"
"Double Kettlebell Press",2013-05-14,201,6,,8,,"6 kg || 8 reps","68"
"Double Kettlebell Press",2013-06-01,201,16,,5,,"16 kg || 5 reps","69"
"Double Kettlebell Press",2013-06-01,202,16,,5,,"16 kg || 5 reps","69"
"Double Kettlebell Press",2013-06-01,203,16,,5,,"16 kg || 5 reps","69"
"Double Kettlebell Press",2013-06-01,204,16,,5,,"16 kg || 5 reps","69"
"Double Kettlebell Press",2013-06-01,205,16,,5,,"16 kg || 5 reps","69"
"Double Kettlebell Press",2013-06-01,206,12,,15,,"12 kg || 15 reps","82"
"Double Kettlebell Press",2013-06-05,401,12,,10,,"12 kg || 10 reps","77"
"Double Kettlebell Press",2013-06-05,402,12,,5,,"12 kg || 5 reps","65"
"Double Kettlebell Press",2013-06-28,301,12,,10,,"12 kg || 10 reps","77"
"Double Kettlebell Press",2013-06-28,302,12,,10,,"12 kg || 10 reps","77"
"Double Kettlebell Press",2013-07-17,201,8,,8,,"8 kg || 8 reps","70"
"Double Kettlebell Press",2013-07-17,202,8,,8,,"8 kg || 8 reps","70"
"Double Kettlebell Press",2013-07-17,203,12,,8,,"12 kg || 8 reps","74"
