"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Double Kettlebell Snatch",2012-09-14,701,12,,5,,"12 kg || 5 reps","34"
"Double Kettlebell Snatch",2012-09-14,702,12,,3,,"12 kg || 3 reps","27"
"Double Kettlebell Snatch",2012-09-14,703,12,,3,,"12 kg || 3 reps","27"
"Double Kettlebell Snatch",2012-09-14,704,12,,3,,"12 kg || 3 reps","27"
"Double Kettlebell Snatch",2012-09-14,705,12,,3,,"12 kg || 3 reps","27"
"Double Kettlebell Snatch",2012-09-14,706,12,,3,,"12 kg || 3 reps","27"
"Double Kettlebell Snatch",2012-09-17,301,12,,5,,"12 kg || 5 reps","34"
"Double Kettlebell Snatch",2012-09-17,302,12,,5,,"12 kg || 5 reps","34"
"Double Kettlebell Snatch",2012-09-17,303,12,,5,,"12 kg || 5 reps","34"
"Double Kettlebell Snatch",2012-09-21,701,12,,10,,"12 kg || 10 reps","42"
"Double Kettlebell Snatch",2013-02-11,901,16,,5,,"16 kg || 5 reps","38"
"Double Kettlebell Snatch",2013-02-19,301,16,,5,,"16 kg || 5 reps","38"
"Double Kettlebell Snatch",2013-03-05,401,12,,5,,"12 kg || 5 reps","34"
"Double Kettlebell Snatch",2013-05-12,301,6,,8,,"6 kg || 8 reps","33"
"Double Kettlebell Snatch",2013-05-12,302,8,,8,,"8 kg || 8 reps","35"
"Double Kettlebell Snatch",2013-05-14,301,6,,8,,"6 kg || 8 reps","33"
"Double Kettlebell Snatch",2013-05-23,1101,8,,5,,"8 kg || 5 reps","30"
"Double Kettlebell Snatch",2013-05-23,1102,8,,5,,"8 kg || 5 reps","30"
"Double Kettlebell Snatch",2013-05-23,1103,10,,5,,"10 kg || 5 reps","32"
"Double Kettlebell Snatch",2013-05-23,1104,10,,5,,"10 kg || 5 reps","32"
"Double Kettlebell Snatch",2013-05-23,1105,10,,5,,"10 kg || 5 reps","32"
"Double Kettlebell Snatch",2013-05-23,1106,10,,5,,"10 kg || 5 reps","32"
"Double Kettlebell Snatch",2013-05-23,1107,10,,5,,"10 kg || 5 reps","32"
"Double Kettlebell Snatch",2013-07-19,501,8,,10,,"8 kg || 10 reps","37"
"Double Kettlebell Snatch",2013-07-24,1,12,,15,,"12 kg || 15 reps","47"
