"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Double Kettlebell Swing",2012-09-14,101,12,,10,,"12 kg || 10 reps","37"
"Double Kettlebell Swing",2012-09-14,102,12,,10,,"12 kg || 10 reps","37"
"Double Kettlebell Swing",2012-09-14,103,12,,10,,"12 kg || 10 reps","37"
"Double Kettlebell Swing",2012-09-14,104,12,,10,,"12 kg || 10 reps","37"
"Double Kettlebell Swing",2012-09-14,105,12,,10,,"12 kg || 10 reps","37"
"Double Kettlebell Swing",2012-09-17,201,12,,10,,"12 kg || 10 reps","37"
"Double Kettlebell Swing",2012-09-17,202,12,,10,,"12 kg || 10 reps","37"
"Double Kettlebell Swing",2012-09-17,203,12,,10,,"12 kg || 10 reps","37"
"Double Kettlebell Swing",2012-09-17,204,12,,1,,"12 kg || 1 reps","16"
"Double Kettlebell Swing",2012-09-17,205,12,,1,,"12 kg || 1 reps","16"
"Double Kettlebell Swing",2012-09-19,301,12,,5,,"12 kg || 5 reps","30"
"Double Kettlebell Swing",2012-09-19,302,12,,5,,"12 kg || 5 reps","30"
"Double Kettlebell Swing",2012-09-19,303,12,,5,,"12 kg || 5 reps","30"
"Double Kettlebell Swing",2012-10-11,401,16,,8,,"16 kg || 8 reps","40"
"Double Kettlebell Swing",2012-10-25,501,16,,10,,"16 kg || 10 reps","42"
"Double Kettlebell Swing",2012-10-25,502,16,,10,,"16 kg || 10 reps","42"
"Double Kettlebell Swing",2013-02-19,101,16,,12,,"16 kg || 12 reps","44"
"Double Kettlebell Swing",2013-05-12,1,6,,8,,"6 kg || 8 reps","29"
"Double Kettlebell Swing",2013-05-12,2,8,,8,,"8 kg || 8 reps","31"
"Double Kettlebell Swing",2013-05-14,1,6,,8,,"6 kg || 8 reps","29"
"Double Kettlebell Swing",2013-07-17,1,8,,8,,"8 kg || 8 reps","31"
"Double Kettlebell Swing",2013-07-17,2,8,,8,,"8 kg || 8 reps","31"
"Double Kettlebell Swing",2013-07-17,3,12,,8,,"12 kg || 8 reps","35"
