"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Double Long Cycle",2012-09-28,401,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-10-05,501,16,,5,,"16 kg || 5 reps","135"
"Double Long Cycle",2012-10-05,502,16,,5,,"16 kg || 5 reps","135"
"Double Long Cycle",2012-11-11,901,16,,8,,"16 kg || 8 reps","153"
"Double Long Cycle",2012-11-11,902,16,,8,,"16 kg || 8 reps","153"
"Double Long Cycle",2012-11-13,1001,16,,5,,"16 kg || 5 reps","135"
"Double Long Cycle",2012-11-13,1002,16,,5,,"16 kg || 5 reps","135"
"Double Long Cycle",2012-11-13,1003,16,,5,,"16 kg || 5 reps","135"
"Double Long Cycle",2012-11-13,1004,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1005,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1006,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1007,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1008,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1009,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1010,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1011,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1012,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1013,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1014,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1015,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1016,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1017,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1018,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1019,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1020,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1021,16,,5,,"16 kg || 5 reps","135"
"Double Long Cycle",2012-11-13,1022,16,,5,,"16 kg || 5 reps","135"
"Double Long Cycle",2012-11-13,1023,16,,5,,"16 kg || 5 reps","135"
"Double Long Cycle",2012-11-13,1024,16,,5,,"16 kg || 5 reps","135"
"Double Long Cycle",2012-11-13,1025,16,,5,,"16 kg || 5 reps","135"
"Double Long Cycle",2012-11-13,1026,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1027,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1028,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1029,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1030,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1031,16,,5,,"16 kg || 5 reps","135"
"Double Long Cycle",2012-11-13,1032,16,,5,,"16 kg || 5 reps","135"
"Double Long Cycle",2012-11-13,1033,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1034,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1035,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1036,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1037,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1038,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1039,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-11-13,1040,12,,5,,"12 kg || 5 reps","127"
"Double Long Cycle",2012-12-16,301,16,,5,,"16 kg || 5 reps","135"
"Double Long Cycle",2012-12-16,302,16,,5,,"16 kg || 5 reps","135"
"Double Long Cycle",2012-12-16,303,16,,5,,"16 kg || 5 reps","135"
"Double Long Cycle",2013-01-19,601,16,,5,,"16 kg || 5 reps","135"
"Double Long Cycle",2013-02-13,1001,16,,10,,"16 kg || 10 reps","159"
"Double Long Cycle",2013-02-13,1002,16,,10,,"16 kg || 10 reps","159"
"Double Long Cycle",2013-02-15,701,16,,5,,"16 kg || 5 reps","135"
"Double Long Cycle",2013-02-15,702,16,,5,,"16 kg || 5 reps","135"
"Double Long Cycle",2013-02-19,201,16,,12,,"16 kg || 12 reps","163"
"Double Long Cycle",2013-02-25,301,16,,10,,"16 kg || 10 reps","159"
"Double Long Cycle",2013-02-25,302,16,,10,,"16 kg || 10 reps","159"
"Double Long Cycle",2013-03-05,301,12,,10,,"12 kg || 10 reps","150"
"Double Long Cycle",2013-03-05,302,16,,5,,"16 kg || 5 reps","135"
"Double Long Cycle",2013-07-11,101,8,,12,,"8 kg || 12 reps","145"
"Double Long Cycle",2013-07-11,102,12,,12,,"12 kg || 12 reps","153"
"Double Long Cycle",2013-07-11,103,12,,12,,"12 kg || 12 reps","153"
"Double Long Cycle",2013-07-11,104,12,,12,,"12 kg || 12 reps","153"
"Double Long Cycle",2013-07-11,105,20,,3,,"20 kg || 3 reps","115"
"Double Long Cycle",2013-07-11,106,12,,12,,"12 kg || 12 reps","153"
"Double Long Cycle",2013-07-19,301,12,,12,,"12 kg || 12 reps","153"
"Double Long Cycle",2013-07-19,302,12,,12,,"12 kg || 12 reps","153"
"Double Long Cycle",2013-07-19,303,12,,10,,"12 kg || 10 reps","150"
