"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Dumbbell Bench Press",2012-01-10,201,14,,10,,"14 kg || 10 reps","34"
"Dumbbell Bench Press",2012-01-10,202,16,,8,,"16 kg || 8 reps","37"
"Dumbbell Bench Press",2012-01-10,203,16,,8,,"16 kg || 8 reps","37"
"Dumbbell Bench Press",2012-01-19,1,18,,8,,"18 kg || 8 reps","41"
"Dumbbell Bench Press",2012-01-19,2,18,,8,,"18 kg || 8 reps","41"
"Dumbbell Bench Press",2012-01-19,3,18,,8,,"18 kg || 8 reps","41"
"Dumbbell Bench Press",2012-01-27,1,18,,10,,"18 kg || 10 reps","43"
"Dumbbell Bench Press",2012-01-27,2,18,,10,,"18 kg || 10 reps","43"
"Dumbbell Bench Press",2012-01-27,3,18,,10,,"18 kg || 10 reps","43"
"Dumbbell Bench Press",2012-03-02,101,16,,8,,"16 kg || 8 reps","59"
"Dumbbell Bench Press",2012-03-02,102,18,,8,,"18 kg || 8 reps","62"
"Dumbbell Bench Press",2012-03-02,103,20,,6,,"20 kg || 6 reps","58"
"Dumbbell Bench Press",2012-03-06,201,16,,7,,"16 kg || 7 reps","56"
"Dumbbell Bench Press",2012-04-07,701,12.5,,5,,"12.5 kg || 5 reps","41"
"Dumbbell Bench Press",2012-04-07,702,12.5,,5,,"12.5 kg || 5 reps","41"
"Dumbbell Bench Press",2012-04-07,703,12.5,,5,,"12.5 kg || 5 reps","41"
"Dumbbell Bench Press",2012-04-07,704,12.5,,5,,"12.5 kg || 5 reps","41"
"Dumbbell Bench Press",2012-04-07,705,12.5,,5,,"12.5 kg || 5 reps","41"
"Dumbbell Bench Press",2012-04-07,706,12.5,,15,,"12.5 kg || 15 reps","66"
"Dumbbell Bench Press",2012-04-11,201,15,,5,,"15 kg || 5 reps","45"
"Dumbbell Bench Press",2012-04-11,202,15,,5,,"15 kg || 5 reps","45"
"Dumbbell Bench Press",2012-04-11,203,15,,5,,"15 kg || 5 reps","45"
"Dumbbell Bench Press",2012-04-11,204,15,,5,,"15 kg || 5 reps","45"
"Dumbbell Bench Press",2012-04-11,205,15,,5,,"15 kg || 5 reps","45"
"Dumbbell Bench Press",2012-04-11,206,15,,10,,"15 kg || 10 reps","62"
"Dumbbell Bench Press",2012-04-13,101,15,,10,,"15 kg || 10 reps","62"
"Dumbbell Bench Press",2012-04-13,102,15,,10,,"15 kg || 10 reps","62"
"Dumbbell Bench Press",2012-04-13,103,15,,10,,"15 kg || 10 reps","62"
"Dumbbell Bench Press",2012-04-21,301,15,,10,,"15 kg || 10 reps","62"
