"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Dumbbell Bicep Curl",2012-02-28,501,8,,8,,"8 kg || 8 reps","25"
"Dumbbell Bicep Curl",2012-02-28,502,8,,8,,"8 kg || 8 reps","25"
"Dumbbell Bicep Curl",2013-04-24,1,12,,10,,"12 kg || 10 reps","28"
"Dumbbell Bicep Curl",2013-04-24,2,12,,10,,"12 kg || 10 reps","28"
"Dumbbell Bicep Curl",2013-05-03,901,7,,12,,"7 kg || 12 reps","26"
"Dumbbell Bicep Curl",2013-05-03,902,7,,12,,"7 kg || 12 reps","26"
"Dumbbell Bicep Curl",2013-05-03,903,7,,8,,"7 kg || 8 reps","25"
"Dumbbell Bicep Curl",2013-05-03,904,7,,8,,"7 kg || 8 reps","25"
"Dumbbell Bicep Curl",2013-05-03,905,7,,8,,"7 kg || 8 reps","25"
"Dumbbell Bicep Curl",2013-05-21,1,5,,12,,"5 kg || 12 reps","26"
"Dumbbell Bicep Curl",2013-05-21,2,7,,10,,"7 kg || 10 reps","26"
"Dumbbell Bicep Curl",2013-05-21,3,8,,8,,"8 kg || 8 reps","25"
"Dumbbell Bicep Curl",2013-05-21,4,10,,5,,"10 kg || 5 reps","23"
"Dumbbell Bicep Curl",2013-05-21,5,6,,12,,"6 kg || 12 reps","26"
"Dumbbell Bicep Curl",2013-05-23,801,8,,8,,"8 kg || 8 reps","25"
