"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Dumbbell Floor Press",2013-03-03,401,20,,10,,"20 kg || 10 reps","76"
"Dumbbell Floor Press",2013-03-03,402,20,,10,,"20 kg || 10 reps","76"
"Dumbbell Floor Press",2013-03-05,901,17.5,,5,,"17.5 kg || 5 reps","54"
"Dumbbell Floor Press",2013-03-05,902,17.5,,10,,"17.5 kg || 10 reps","71"
"Dumbbell Floor Press",2013-06-30,401,12,,10,,"12 kg || 10 reps","60"
"Dumbbell Floor Press",2013-06-30,402,12,,10,,"12 kg || 10 reps","60"
"Dumbbell Floor Press",2013-06-30,403,12,,10,,"12 kg || 10 reps","60"
"Dumbbell Floor Press",2013-12-27,15,9,,10,,"9 kg || 10 reps","55"
"Dumbbell Floor Press",2013-12-27,16,13.5,,10,,"13.5 kg || 10 reps","63"
"Dumbbell Floor Press",2013-12-27,17,18,,10,,"18 kg || 10 reps","72"
"Dumbbell Floor Press",2013-12-27,18,22.5,,5,,"22.5 kg || 5 reps","63"
"Dumbbell Floor Press",2013-12-27,19,22.5,,5,,"22.5 kg || 5 reps","63"
