"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Dumbbell Flyes",2012-01-27,101,6,,10,,"6 kg || 10 reps","5"
"Dumbbell Flyes",2012-01-27,102,6,,8,,"6 kg || 8 reps","5"
"Dumbbell Flyes",2012-01-27,103,6,,7,,"6 kg || 7 reps","5"
"Dumbbell Flyes",2012-03-02,201,8,,8,,"8 kg || 8 reps","17"
"Dumbbell Flyes",2012-03-02,202,8,,8,,"8 kg || 8 reps","17"
"Dumbbell Flyes",2012-03-02,203,8,,6,,"8 kg || 6 reps","15"
"Dumbbell Flyes",2012-11-08,501,5,,5,,"5 kg || 5 reps","14"
"Dumbbell Flyes",2012-11-08,502,2.5,,10,,"2.5 kg || 10 reps","16"
"Dumbbell Flyes",2012-11-08,503,5,,10,,"5 kg || 10 reps","16"
"Dumbbell Flyes",2012-11-08,504,5,,10,,"5 kg || 10 reps","16"
"Dumbbell Flyes",2012-11-08,505,5,,10,,"5 kg || 10 reps","16"
"Dumbbell Flyes",2013-08-14,301,2,,8,,"2 kg || 8 reps","15"
"Dumbbell Flyes",2013-08-14,302,2,,8,,"2 kg || 8 reps","15"
"Dumbbell Flyes",2013-08-14,303,2,,8,,"2 kg || 8 reps","15"
"Dumbbell Flyes",2014-03-17,20,6,,10,,"6 kg || 10 reps","17"
"Dumbbell Flyes",2014-03-17,21,6,,10,,"6 kg || 10 reps","17"
"Dumbbell Flyes",2014-03-17,22,6,,10,,"6 kg || 10 reps","17"
"Dumbbell Flyes",2014-03-23,10,6,,10,,"6 kg || 10 reps","17"
"Dumbbell Flyes",2014-03-23,11,9.5,,6,,"9.5 kg || 6 reps","16"
"Dumbbell Flyes",2014-03-23,12,9.5,,10,,"9.5 kg || 10 reps","18"
