"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Dumbbell Shrug",2012-03-04,901,22,,8,,"22 kg || 8 reps","20"
"Dumbbell Shrug",2012-03-04,902,22,,8,,"22 kg || 8 reps","20"
"Dumbbell Shrug",2013-01-13,501,16,,10,,"16 kg || 10 reps","19"
"Dumbbell Shrug",2013-01-13,502,20,,10,,"20 kg || 10 reps","21"
"Dumbbell Shrug",2013-01-16,401,16,,20,,"16 kg || 20 reps","22"
"Dumbbell Shrug",2013-01-16,402,20,,15,,"20 kg || 15 reps","22"
"Dumbbell Shrug",2013-01-19,401,20,,20,,"20 kg || 20 reps","23"
"Dumbbell Shrug",2013-01-19,402,20,,15,,"20 kg || 15 reps","22"
"Dumbbell Shrug",2013-02-05,601,22,,10,,"22 kg || 10 reps","21"
"Dumbbell Shrug",2013-02-05,602,26,,10,,"26 kg || 10 reps","23"
"Dumbbell Shrug",2013-02-09,501,20,,20,,"20 kg || 20 reps","23"
"Dumbbell Shrug",2013-05-07,501,12,,15,,"12 kg || 15 reps","19"
"Dumbbell Shrug",2013-05-07,502,12,,20,,"12 kg || 20 reps","20"
"Dumbbell Shrug",2013-05-07,503,12,,15,,"12 kg || 15 reps","19"
"Dumbbell Shrug",2013-05-07,504,16,,20,,"16 kg || 20 reps","22"
"Dumbbell Shrug",2013-07-11,401,20,,15,,"20 kg || 15 reps","22"
"Dumbbell Shrug",2013-07-11,402,20,,12,,"20 kg || 12 reps","21"
