"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Dumbbell Side Lateral Raise",2012-01-29,501,3,,10,,"3 kg || 10 reps","7"
"Dumbbell Side Lateral Raise",2012-01-29,502,3,,10,,"3 kg || 10 reps","7"
"Dumbbell Side Lateral Raise",2012-02-28,601,4,,8,,"4 kg || 8 reps","32"
"Dumbbell Side Lateral Raise",2012-02-28,602,4,,8,,"4 kg || 8 reps","32"
"Dumbbell Side Lateral Raise",2012-02-28,603,4,,8,,"4 kg || 8 reps","32"
"Dumbbell Side Lateral Raise",2012-03-04,801,5,,8,,"5 kg || 8 reps","32"
"Dumbbell Side Lateral Raise",2012-03-04,802,5,,8,,"5 kg || 8 reps","32"
"Dumbbell Side Lateral Raise",2012-04-07,401,5,,5,,"5 kg || 5 reps","28"
"Dumbbell Side Lateral Raise",2012-04-07,402,5,,5,,"5 kg || 5 reps","28"
"Dumbbell Side Lateral Raise",2012-04-07,403,5,,5,,"5 kg || 5 reps","28"
"Dumbbell Side Lateral Raise",2012-11-02,801,2.5,,8,,"2.5 kg || 8 reps","31"
"Dumbbell Side Lateral Raise",2012-11-02,802,2.5,,8,,"2.5 kg || 8 reps","31"
"Dumbbell Side Lateral Raise",2012-11-02,803,2.5,,8,,"2.5 kg || 8 reps","31"
"Dumbbell Side Lateral Raise",2012-11-03,501,2.5,,10,,"2.5 kg || 10 reps","32"
"Dumbbell Side Lateral Raise",2012-11-03,502,2.5,,10,,"2.5 kg || 10 reps","32"
"Dumbbell Side Lateral Raise",2012-11-03,503,2.5,,10,,"2.5 kg || 10 reps","32"
"Dumbbell Side Lateral Raise",2012-11-06,701,2.5,,10,,"2.5 kg || 10 reps","32"
"Dumbbell Side Lateral Raise",2012-11-06,702,2.5,,10,,"2.5 kg || 10 reps","32"
"Dumbbell Side Lateral Raise",2012-11-06,703,2.5,,10,,"2.5 kg || 10 reps","32"
"Dumbbell Side Lateral Raise",2012-11-08,701,5,,10,,"5 kg || 10 reps","33"
"Dumbbell Side Lateral Raise",2012-11-08,702,5,,10,,"5 kg || 10 reps","33"
"Dumbbell Side Lateral Raise",2012-11-08,703,5,,10,,"5 kg || 10 reps","33"
"Dumbbell Side Lateral Raise",2012-11-11,601,3.5,,10,,"3.5 kg || 10 reps","33"
"Dumbbell Side Lateral Raise",2012-11-11,602,3.5,,10,,"3.5 kg || 10 reps","33"
"Dumbbell Side Lateral Raise",2012-11-11,603,3.5,,10,,"3.5 kg || 10 reps","33"
"Dumbbell Side Lateral Raise",2012-12-25,401,1.5,,20,,"1.5 kg || 20 reps","35"
"Dumbbell Side Lateral Raise",2013-04-25,801,2.5,,20,,"2.5 kg || 20 reps","36"
"Dumbbell Side Lateral Raise",2013-08-14,401,2,,8,,"2 kg || 8 reps","31"
"Dumbbell Side Lateral Raise",2013-08-14,402,2,,12,,"2 kg || 12 reps","33"
"Dumbbell Side Lateral Raise",2013-08-14,403,2,,12,,"2 kg || 12 reps","33"
"Dumbbell Side Lateral Raise",2013-08-19,301,4.5,,10,,"4.5 kg || 10 reps","33"
"Dumbbell Side Lateral Raise",2013-08-19,302,4.5,,10,,"4.5 kg || 10 reps","33"
"Dumbbell Side Lateral Raise",2013-08-19,303,4.5,,10,,"4.5 kg || 10 reps","33"
"Dumbbell Side Lateral Raise",2013-08-19,304,4.5,,10,,"4.5 kg || 10 reps","33"
"Dumbbell Side Lateral Raise",2013-09-29,501,4.5,,8,,"4.5 kg || 8 reps","32"
"Dumbbell Side Lateral Raise",2013-09-29,502,4.5,,12,,"4.5 kg || 12 reps","34"
"Dumbbell Side Lateral Raise",2013-10-05,901,4.5,,8,,"4.5 kg || 8 reps","32"
"Dumbbell Side Lateral Raise",2013-10-05,902,4.5,,8,,"4.5 kg || 8 reps","32"
"Dumbbell Side Lateral Raise",2013-10-22,20,5.5,,10,,"5.5 kg || 10 reps","34"
"Dumbbell Side Lateral Raise",2013-11-08,22,4.5,,10,,"4.5 kg || 10 reps","33"
"Dumbbell Side Lateral Raise",2014-02-20,13,7,,5,,"7 kg || 5 reps","29"
"Dumbbell Side Lateral Raise",2014-02-20,14,4.5,,12,,"4.5 kg || 12 reps","34"
"Dumbbell Side Lateral Raise",2014-03-23,29,4.5,,6,,"4.5 kg || 6 reps","30"
