"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"EZ-Bar Curl",2012-11-02,101,18,,10,,"18 kg || 10 reps","15"
"EZ-Bar Curl",2012-11-02,102,18,,10,,"18 kg || 10 reps","15"
"EZ-Bar Curl",2012-11-04,101,10.5,,15,,"10.5 kg || 15 reps","14"
"EZ-Bar Curl",2012-11-04,102,18,,10,,"18 kg || 10 reps","15"
"EZ-Bar Curl",2012-11-04,103,18,,10,,"18 kg || 10 reps","15"
"EZ-Bar Curl",2012-11-04,104,22,,10,,"22 kg || 10 reps","16"
"EZ-Bar Curl",2012-11-06,401,22,,10,,"22 kg || 10 reps","16"
"EZ-Bar Curl",2012-11-06,402,22,,10,,"22 kg || 10 reps","16"
"EZ-Bar Curl",2012-11-06,403,18,,10,,"18 kg || 10 reps","15"
"EZ-Bar Curl",2012-11-09,301,13,,10,,"13 kg || 10 reps","14"
"EZ-Bar Curl",2012-11-11,801,18,,8,,"18 kg || 8 reps","14"
"EZ-Bar Curl",2012-11-11,802,20.5,,8,,"20.5 kg || 8 reps","15"
"EZ-Bar Curl",2012-11-11,803,20.5,,8,,"20.5 kg || 8 reps","15"
"EZ-Bar Curl",2013-03-14,101,33,,2,,"33 kg || 2 reps","11"
"EZ-Bar Curl",2013-03-16,501,28,,5,,"28 kg || 5 reps","15"
"EZ-Bar Curl",2013-03-16,502,28,,5,,"28 kg || 5 reps","15"
"EZ-Bar Curl",2013-03-31,601,28,,5,,"28 kg || 5 reps","15"
"EZ-Bar Curl",2013-03-31,602,28,,5,,"28 kg || 5 reps","15"
"EZ-Bar Curl",2013-03-31,603,28,,5,,"28 kg || 5 reps","15"
"EZ-Bar Curl",2013-04-05,101,20.5,,10,,"20.5 kg || 10 reps","15"
"EZ-Bar Curl",2013-04-05,102,20.5,,10,,"20.5 kg || 10 reps","15"
"EZ-Bar Curl",2013-04-13,301,18,,10,,"18 kg || 10 reps","15"
"EZ-Bar Curl",2013-04-15,301,18,,10,,"18 kg || 10 reps","15"
"EZ-Bar Curl",2013-04-15,302,18,,10,,"18 kg || 10 reps","15"
"EZ-Bar Curl",2013-04-15,303,18,,15,,"18 kg || 15 reps","16"
"EZ-Bar Curl",2013-04-27,401,18,,8,,"18 kg || 8 reps","14"
"EZ-Bar Curl",2013-04-27,402,18,,12,,"18 kg || 12 reps","15"
"EZ-Bar Curl",2013-05-05,701,18,,12,,"18 kg || 12 reps","15"
"EZ-Bar Curl",2013-05-05,702,18,,12,,"18 kg || 12 reps","15"
"EZ-Bar Curl",2013-05-05,703,18,,12,,"18 kg || 12 reps","15"
"EZ-Bar Curl",2013-05-07,401,13,,25,,"13 kg || 25 reps","16"
"EZ-Bar Curl",2013-05-07,402,13,,20,,"13 kg || 20 reps","15"
"EZ-Bar Curl",2013-05-07,403,13,,15,,"13 kg || 15 reps","15"
"EZ-Bar Curl",2013-05-07,404,13,,20,,"13 kg || 20 reps","15"
"EZ-Bar Curl",2013-05-07,405,13,,20,,"13 kg || 20 reps","15"
"EZ-Bar Curl",2013-05-17,401,15.5,,10,,"15.5 kg || 10 reps","14"
"EZ-Bar Curl",2013-05-17,402,15.5,,10,,"15.5 kg || 10 reps","14"
"EZ-Bar Curl",2013-06-06,501,15.5,,20,,"15.5 kg || 20 reps","16"
"EZ-Bar Curl",2013-07-24,601,28,,5,,"28 kg || 5 reps","15"
"EZ-Bar Curl",2013-07-24,602,28,,5,,"28 kg || 5 reps","15"
"EZ-Bar Curl",2013-11-27,1,17.5,,20,,"17.5 kg || 20 reps","17"
"EZ-Bar Curl",2013-11-27,2,17.5,,10,,"17.5 kg || 10 reps","15"
"EZ-Bar Curl",2013-12-03,1,17.5,,15,,"17.5 kg || 15 reps","16"
"EZ-Bar Curl",2014-01-21,4,20,,14,,"20 kg || 14 reps","16"
"EZ-Bar Curl",2014-01-21,5,17.5,,14,,"17.5 kg || 14 reps","16"
"EZ-Bar Curl",2014-01-23,9,17.5,,15,,"17.5 kg || 15 reps","16"
"EZ-Bar Curl",2014-01-23,10,17.5,,15,,"17.5 kg || 15 reps","16"
"EZ-Bar Curl",2014-02-04,7,17.5,,15,,"17.5 kg || 15 reps","16"
"EZ-Bar Curl",2014-02-04,8,17.5,,15,,"17.5 kg || 15 reps","16"
"EZ-Bar Curl",2014-03-31,15,27.5,,6,,"27.5 kg || 6 reps","15"
"EZ-Bar Curl",2014-03-31,16,27.5,,6,,"27.5 kg || 6 reps","15"
"EZ-Bar Curl",2014-03-31,17,35,,5,,"35 kg || 5 reps","16"
