"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Face Pull",2012-09-30,401,10,,8,,"10 kg || 8 reps","16"
"Face Pull",2012-09-30,402,12.5,,8,,"12.5 kg || 8 reps","16"
"Face Pull",2012-09-30,403,12.5,,8,,"12.5 kg || 8 reps","16"
"Face Pull",2013-01-06,101,5,,10,,"5 kg || 10 reps","15"
"Face Pull",2013-01-13,201,7.5,,10,,"7.5 kg || 10 reps","16"
"Face Pull",2013-01-13,202,10,,10,,"10 kg || 10 reps","16"
"Face Pull",2013-01-13,203,10,,10,,"10 kg || 10 reps","16"
"Face Pull",2013-02-03,501,10,,10,,"10 kg || 10 reps","16"
"Face Pull",2013-02-05,901,7.5,,10,,"7.5 kg || 10 reps","16"
"Face Pull",2013-02-05,902,10,,10,,"10 kg || 10 reps","16"
"Face Pull",2013-02-11,701,12.5,,8,,"12.5 kg || 8 reps","16"
"Face Pull",2013-05-22,501,10,,10,,"10 kg || 10 reps","16"
"Face Pull",2013-05-22,502,15,,10,,"15 kg || 10 reps","18"
"Face Pull",2013-07-25,401,2.6,,10,,"2.6 kg || 10 reps","15"
"Face Pull",2013-07-27,1,2.5,,10,,"2.5 kg || 10 reps","15"
"Face Pull",2013-07-27,2,2.5,,10,,"2.5 kg || 10 reps","15"
"Face Pull",2013-07-27,3,2.5,,10,,"2.5 kg || 10 reps","15"
"Face Pull",2013-07-27,4,2.5,,10,,"2.5 kg || 10 reps","15"
"Face Pull",2013-07-27,5,2.5,,10,,"2.5 kg || 10 reps","15"
"Face Pull",2013-07-30,101,2.5,,10,,"2.5 kg || 10 reps","15"
"Face Pull",2013-07-30,102,2.5,,10,,"2.5 kg || 10 reps","15"
"Face Pull",2013-07-30,103,2.5,,10,,"2.5 kg || 10 reps","15"
"Face Pull",2013-07-30,104,2.5,,10,,"2.5 kg || 10 reps","15"
"Face Pull",2013-07-30,105,2.5,,10,,"2.5 kg || 10 reps","15"
"Face Pull",2013-08-07,1,2.5,,10,,"2.5 kg || 10 reps","15"
"Face Pull",2013-08-07,2,2.5,,10,,"2.5 kg || 10 reps","15"
"Face Pull",2013-08-07,3,2.5,,10,,"2.5 kg || 10 reps","15"
"Face Pull",2013-08-07,4,2.5,,10,,"2.5 kg || 10 reps","15"
