"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Front Barbell Squat",2012-11-13,501,10,,6,,"10 kg || 6 reps","32"
"Front Barbell Squat",2012-11-13,502,15,,6,,"15 kg || 6 reps","35"
"Front Barbell Squat",2012-11-13,503,20,,6,,"20 kg || 6 reps","38"
"Front Barbell Squat",2012-11-13,504,25,,6,,"25 kg || 6 reps","41"
"Front Barbell Squat",2012-11-13,505,30,,6,,"30 kg || 6 reps","44"
"Front Barbell Squat",2012-11-13,506,30,,6,,"30 kg || 6 reps","44"
"Front Barbell Squat",2012-11-13,507,30,,6,,"30 kg || 6 reps","44"
"Front Barbell Squat",2012-11-17,301,30,,5,,"30 kg || 5 reps","41"
"Front Barbell Squat",2012-11-17,302,40,,5,,"40 kg || 5 reps","48"
"Front Barbell Squat",2012-11-18,301,31,,5,,"31 kg || 5 reps","42"
"Front Barbell Squat",2012-11-18,302,35,,5,,"35 kg || 5 reps","44"
"Front Barbell Squat",2012-11-18,303,40,,5,,"40 kg || 5 reps","48"
"Front Barbell Squat",2012-11-18,304,40,,5,,"40 kg || 5 reps","48"
"Front Barbell Squat",2012-12-18,301,30,,8,,"30 kg || 8 reps","47"
"Front Barbell Squat",2012-12-18,302,30,,8,,"30 kg || 8 reps","47"
"Front Barbell Squat",2013-01-11,201,30,,5,,"30 kg || 5 reps","41"
"Front Barbell Squat",2013-01-11,202,30,,5,,"30 kg || 5 reps","41"
"Front Barbell Squat",2013-01-11,203,30,,5,,"30 kg || 5 reps","41"
"Front Barbell Squat",2013-01-11,204,30,,5,,"30 kg || 5 reps","41"
"Front Barbell Squat",2013-01-11,205,30,,5,,"30 kg || 5 reps","41"
"Front Barbell Squat",2013-02-03,101,15,,5,,"15 kg || 5 reps","33"
"Front Barbell Squat",2013-02-03,102,17.5,,5,,"17.5 kg || 5 reps","34"
"Front Barbell Squat",2013-02-03,103,25,,5,,"25 kg || 5 reps","38"
"Front Barbell Squat",2013-02-03,104,25,,5,,"25 kg || 5 reps","38"
"Front Barbell Squat",2013-02-03,105,27.5,,20,,"27.5 kg || 20 reps","52"
"Front Barbell Squat",2013-02-11,201,20,,5,,"20 kg || 5 reps","35"
"Front Barbell Squat",2013-02-11,202,20,,5,,"20 kg || 5 reps","35"
"Front Barbell Squat",2013-02-11,203,30,,3,,"30 kg || 3 reps","33"
"Front Barbell Squat",2013-02-11,204,32.5,,3,,"32.5 kg || 3 reps","34"
"Front Barbell Squat",2013-02-11,205,35,,10,,"35 kg || 10 reps","52"
"Front Barbell Squat",2013-02-15,301,30,,5,,"30 kg || 5 reps","41"
"Front Barbell Squat",2013-02-15,302,35,,3,,"35 kg || 3 reps","35"
"Front Barbell Squat",2013-02-15,303,37.5,,10,,"37.5 kg || 10 reps","54"
"Front Barbell Squat",2013-02-21,201,31,,5,,"31 kg || 5 reps","42"
"Front Barbell Squat",2013-02-21,202,31,,5,,"31 kg || 5 reps","42"
"Front Barbell Squat",2013-02-21,203,35,,5,,"35 kg || 5 reps","44"
"Front Barbell Squat",2013-02-21,204,37.5,,5,,"37.5 kg || 5 reps","46"
"Front Barbell Squat",2013-02-21,205,40,,20,,"40 kg || 20 reps","63"
"Front Barbell Squat",2013-02-27,301,40,,3,,"40 kg || 3 reps","38"
"Front Barbell Squat",2013-02-27,302,40,,3,,"40 kg || 3 reps","38"
"Front Barbell Squat",2013-02-27,303,40,,10,,"40 kg || 10 reps","56"
"Front Barbell Squat",2013-03-01,301,40,,5,,"40 kg || 5 reps","48"
"Front Barbell Squat",2013-03-01,302,42.5,,5,,"42.5 kg || 5 reps","50"
"Front Barbell Squat",2013-03-01,303,50,,10,,"50 kg || 10 reps","65"
