"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Front Plate Raise",2012-11-02,501,5,,8,,"5 kg || 8 reps","8"
"Front Plate Raise",2012-11-02,502,10,,8,,"10 kg || 8 reps","8"
"Front Plate Raise",2012-11-02,503,10,,8,,"10 kg || 8 reps","8"
"Front Plate Raise",2012-11-02,504,5,,8,,"5 kg || 8 reps","8"
"Front Plate Raise",2012-11-03,301,5,,10,,"5 kg || 10 reps","8"
"Front Plate Raise",2012-11-03,302,10,,10,,"10 kg || 10 reps","9"
"Front Plate Raise",2012-11-03,303,5,,10,,"5 kg || 10 reps","8"
"Front Plate Raise",2012-11-06,1101,2.5,,10,,"2.5 kg || 10 reps","8"
"Front Plate Raise",2012-11-06,1102,5,,10,,"5 kg || 10 reps","8"
"Front Plate Raise",2012-11-06,1103,5,,10,,"5 kg || 10 reps","8"
"Front Plate Raise",2012-11-08,1001,10,,10,,"10 kg || 10 reps","9"
"Front Plate Raise",2012-11-08,1002,10,,10,,"10 kg || 10 reps","9"
"Front Plate Raise",2012-11-08,1003,10,,10,,"10 kg || 10 reps","9"
"Front Plate Raise",2012-11-11,701,5,,10,,"5 kg || 10 reps","8"
"Front Plate Raise",2012-11-11,702,15,,5,,"15 kg || 5 reps","8"
"Front Plate Raise",2012-11-11,703,10,,10,,"10 kg || 10 reps","9"
"Front Plate Raise",2013-01-11,501,10,,10,,"10 kg || 10 reps","9"
"Front Plate Raise",2013-01-11,502,10,,10,,"10 kg || 10 reps","9"
"Front Plate Raise",2013-01-11,503,10,,10,,"10 kg || 10 reps","9"
"Front Plate Raise",2013-01-17,401,10,,15,,"10 kg || 15 reps","9"
"Front Plate Raise",2013-01-17,402,10,,15,,"10 kg || 15 reps","9"
"Front Plate Raise",2013-02-05,301,10,,15,,"10 kg || 15 reps","9"
"Front Plate Raise",2013-02-05,302,5,,15,,"5 kg || 15 reps","8"
"Front Plate Raise",2013-02-09,401,10,,10,,"10 kg || 10 reps","9"
"Front Plate Raise",2013-02-09,402,10,,10,,"10 kg || 10 reps","9"
"Front Plate Raise",2013-02-09,403,10,,10,,"10 kg || 10 reps","9"
"Front Plate Raise",2013-02-17,401,5,,12,,"5 kg || 12 reps","8"
"Front Plate Raise",2013-02-17,402,5,,12,,"5 kg || 12 reps","8"
"Front Plate Raise",2013-04-25,901,5,,20,,"5 kg || 20 reps","9"
"Front Plate Raise",2013-06-18,501,10,,10,,"10 kg || 10 reps","9"
"Front Plate Raise",2013-06-18,502,10,,10,,"10 kg || 10 reps","9"
"Front Plate Raise",2013-06-25,601,10,,10,,"10 kg || 10 reps","9"
"Front Plate Raise",2013-06-25,602,10,,10,,"10 kg || 10 reps","9"
"Front Plate Raise",2013-07-11,501,10,,12,,"10 kg || 12 reps","9"
"Front Plate Raise",2013-07-11,502,10,,12,,"10 kg || 12 reps","9"
"Front Plate Raise",2014-03-23,13,15,,6,,"15 kg || 6 reps","8"
"Front Plate Raise",2014-03-23,14,15,,6,,"15 kg || 6 reps","8"
"Front Plate Raise",2014-03-23,15,15,,8,,"15 kg || 8 reps","9"
"Front Plate Raise",2014-03-31,18,15,,6,,"15 kg || 6 reps","8"
"Front Plate Raise",2014-03-31,19,15,,6,,"15 kg || 6 reps","8"
"Front Plate Raise",2014-03-31,20,15,,10,,"15 kg || 10 reps","9"
