"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Goblet Squat (kettlebell)",2012-05-05,501,8,,10,,"8 kg || 10 reps","30"
"Goblet Squat (kettlebell)",2012-05-05,502,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-05-10,201,8,,5,,"8 kg || 5 reps","26"
"Goblet Squat (kettlebell)",2012-05-10,202,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-05-10,203,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-05-10,204,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-05-10,205,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-05-15,901,8,,5,,"8 kg || 5 reps","26"
"Goblet Squat (kettlebell)",2012-05-15,902,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-05-15,903,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-05-15,904,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-05-15,905,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-05-17,401,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-05-17,402,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-05-17,403,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-05-17,404,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-05-17,405,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-05-21,301,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-05-21,302,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-05-21,303,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-05-21,304,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-05-21,305,20,,10,,"20 kg || 10 reps","36"
"Goblet Squat (kettlebell)",2012-05-23,101,20,,10,,"20 kg || 10 reps","36"
"Goblet Squat (kettlebell)",2012-08-11,601,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-08-11,602,20,,5,,"20 kg || 5 reps","31"
"Goblet Squat (kettlebell)",2012-08-31,501,12,,20,,"12 kg || 20 reps","36"
"Goblet Squat (kettlebell)",2012-10-25,701,32,,5,,"32 kg || 5 reps","37"
"Goblet Squat (kettlebell)",2012-12-14,1201,20,,20,,"20 kg || 20 reps","41"
"Goblet Squat (kettlebell)",2012-12-14,1202,32,,10,,"32 kg || 10 reps","44"
"Goblet Squat (kettlebell)",2012-12-14,1203,40,,5,,"40 kg || 5 reps","42"
"Goblet Squat (kettlebell)",2013-01-08,601,16,,10,,"16 kg || 10 reps","34"
"Goblet Squat (kettlebell)",2013-02-13,401,8,,10,,"8 kg || 10 reps","30"
"Goblet Squat (kettlebell)",2013-02-13,402,12,,10,,"12 kg || 10 reps","32"
