"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Hammer Dumbbell Curl",2012-01-18,501,10,,8,,"10 kg || 8 reps","5"
"Hammer Dumbbell Curl",2012-01-18,502,10,,8,,"10 kg || 8 reps","5"
"Hammer Dumbbell Curl",2012-01-18,503,10,,8,,"10 kg || 8 reps","5"
"Hammer Dumbbell Curl",2012-02-28,401,8,,8,,"8 kg || 8 reps","17"
"Hammer Dumbbell Curl",2012-02-28,402,8,,8,,"8 kg || 8 reps","17"
"Hammer Dumbbell Curl",2012-02-28,403,8,,8,,"8 kg || 8 reps","17"
"Hammer Dumbbell Curl",2012-03-04,701,12,,8,,"12 kg || 8 reps","18"
"Hammer Dumbbell Curl",2012-03-04,702,12,,8,,"12 kg || 8 reps","18"
"Hammer Dumbbell Curl",2012-03-09,1,10,,8,,"10 kg || 8 reps","17"
"Hammer Dumbbell Curl",2012-03-09,2,10,,8,,"10 kg || 8 reps","17"
"Hammer Dumbbell Curl",2012-03-09,3,10,,8,,"10 kg || 8 reps","17"
"Hammer Dumbbell Curl",2012-04-05,101,12.5,,5,,"12.5 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-04-05,102,12.5,,5,,"12.5 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-04-05,103,12.5,,5,,"12.5 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-04-05,104,12.5,,5,,"12.5 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-04-05,105,12.5,,5,,"12.5 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-04-07,301,12.5,,5,,"12.5 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-04-07,302,12.5,,5,,"12.5 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-04-07,303,12.5,,5,,"12.5 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-04-07,304,12.5,,5,,"12.5 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-04-07,305,12.5,,5,,"12.5 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-04-11,301,15,,5,,"15 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-04-11,302,15,,5,,"15 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-04-11,303,15,,5,,"15 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-04-11,304,15,,3,,"15 kg || 3 reps","13"
"Hammer Dumbbell Curl",2012-04-11,305,15,,3,,"15 kg || 3 reps","13"
"Hammer Dumbbell Curl",2012-04-18,101,15,,5,,"15 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-04-18,102,15,,5,,"15 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-04-18,103,15,,5,,"15 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-04-18,104,15,,5,,"15 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-04-18,105,15,,5,,"15 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-04-25,201,17.5,,5,,"17.5 kg || 5 reps","17"
"Hammer Dumbbell Curl",2012-04-25,202,17.5,,5,,"17.5 kg || 5 reps","17"
"Hammer Dumbbell Curl",2012-05-13,301,17.5,,5,,"17.5 kg || 5 reps","17"
"Hammer Dumbbell Curl",2012-07-15,301,13.5,,5,,"13.5 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-07-15,302,13.5,,8,,"13.5 kg || 8 reps","18"
"Hammer Dumbbell Curl",2012-07-15,303,16,,5,,"16 kg || 5 reps","16"
"Hammer Dumbbell Curl",2012-07-16,101,16,,8,,"16 kg || 8 reps","19"
"Hammer Dumbbell Curl",2012-09-30,501,10,,8,,"10 kg || 8 reps","17"
"Hammer Dumbbell Curl",2012-09-30,502,12,,8,,"12 kg || 8 reps","18"
"Hammer Dumbbell Curl",2012-09-30,503,12,,8,,"12 kg || 8 reps","18"
"Hammer Dumbbell Curl",2012-10-27,601,7.5,,10,,"7.5 kg || 10 reps","17"
"Hammer Dumbbell Curl",2012-10-27,602,7.5,,10,,"7.5 kg || 10 reps","17"
"Hammer Dumbbell Curl",2013-01-13,401,8,,10,,"8 kg || 10 reps","17"
"Hammer Dumbbell Curl",2013-01-13,402,10,,8,,"10 kg || 8 reps","17"
"Hammer Dumbbell Curl",2013-05-14,1401,12,,10,,"12 kg || 10 reps","18"
"Hammer Dumbbell Curl",2013-05-21,101,7,,10,,"7 kg || 10 reps","17"
"Hammer Dumbbell Curl",2013-05-21,102,10,,10,,"10 kg || 10 reps","18"
"Hammer Dumbbell Curl",2013-05-21,103,10,,10,,"10 kg || 10 reps","18"
"Hammer Dumbbell Curl",2013-05-21,104,6,,25,,"6 kg || 25 reps","20"
"Hammer Dumbbell Curl",2013-05-23,901,8,,8,,"8 kg || 8 reps","17"
"Hammer Dumbbell Curl",2013-05-23,902,10,,10,,"10 kg || 10 reps","18"
"Hammer Dumbbell Curl",2013-09-24,401,9.5,,8,,"9.5 kg || 8 reps","17"
"Hammer Dumbbell Curl",2013-09-24,402,9.5,,8,,"9.5 kg || 8 reps","17"
"Hammer Dumbbell Curl",2014-02-20,1,7,,15,,"7 kg || 15 reps","18"
"Hammer Dumbbell Curl",2014-02-20,2,12.5,,6,,"12.5 kg || 6 reps","17"
"Hammer Dumbbell Curl",2014-02-20,3,7,,8,,"7 kg || 8 reps","16"
"Hammer Dumbbell Curl",2014-02-28,40,12.5,,6,,"12.5 kg || 6 reps","17"
"Hammer Dumbbell Curl",2014-02-28,41,12.5,,6,,"12.5 kg || 6 reps","17"
"Hammer Dumbbell Curl",2014-02-28,42,19,,3,,"19 kg || 3 reps","14"
"Hammer Dumbbell Curl",2014-03-29,16,10.5,,6,,"10.5 kg || 6 reps","16"
"Hammer Dumbbell Curl",2014-03-29,17,10.5,,6,,"10.5 kg || 6 reps","16"
"Hammer Dumbbell Curl",2014-03-29,18,10.5,,6,,"10.5 kg || 6 reps","16"
"Hammer Dumbbell Curl",2014-03-31,12,16.5,,3,,"16.5 kg || 3 reps","13"
"Hammer Dumbbell Curl",2014-03-31,13,10.5,,6,,"10.5 kg || 6 reps","16"
"Hammer Dumbbell Curl",2014-03-31,14,11.5,,10,,"11.5 kg || 10 reps","18"
