"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Hammer Grip Incline Dumbbell Bench Press",2013-03-09,501,17.5,,10,,"17.5 kg || 10 reps","30"
"Hammer Grip Incline Dumbbell Bench Press",2013-03-09,502,22.5,,5,,"22.5 kg || 5 reps","27"
"Hammer Grip Incline Dumbbell Bench Press",2013-04-18,101,22.5,,5,,"22.5 kg || 5 reps","27"
"Hammer Grip Incline Dumbbell Bench Press",2013-04-18,102,22.5,,8,,"22.5 kg || 8 reps","31"
"Hammer Grip Incline Dumbbell Bench Press",2013-04-18,103,22.5,,10,,"22.5 kg || 10 reps","32"
"Hammer Grip Incline Dumbbell Bench Press",2013-04-27,301,12,,12,,"12 kg || 12 reps","28"
"Hammer Grip Incline Dumbbell Bench Press",2013-04-27,302,12,,12,,"12 kg || 12 reps","28"
"Hammer Grip Incline Dumbbell Bench Press",2013-04-27,303,12,,12,,"12 kg || 12 reps","28"
"Hammer Grip Incline Dumbbell Bench Press",2013-05-05,601,17,,8,,"17 kg || 8 reps","29"
"Hammer Grip Incline Dumbbell Bench Press",2013-05-05,602,17,,8,,"17 kg || 8 reps","29"
"Hammer Grip Incline Dumbbell Bench Press",2013-05-05,603,19.5,,8,,"19.5 kg || 8 reps","30"
"Hammer Grip Incline Dumbbell Bench Press",2013-06-18,401,17,,10,,"17 kg || 10 reps","30"
"Hammer Grip Incline Dumbbell Bench Press",2013-06-18,402,17,,10,,"17 kg || 10 reps","30"
"Hammer Grip Incline Dumbbell Bench Press",2013-06-18,403,17,,10,,"17 kg || 10 reps","30"
"Hammer Grip Incline Dumbbell Bench Press",2013-08-26,601,10,,10,,"10 kg || 10 reps","27"
"Hammer Grip Incline Dumbbell Bench Press",2013-08-26,602,10,,10,,"10 kg || 10 reps","27"
"Hammer Grip Incline Dumbbell Bench Press",2013-08-29,701,8,,10,,"8 kg || 10 reps","26"
"Hammer Grip Incline Dumbbell Bench Press",2013-08-29,702,9,,10,,"9 kg || 10 reps","26"
"Hammer Grip Incline Dumbbell Bench Press",2014-01-04,16,22.5,,6,,"22.5 kg || 6 reps","29"
"Hammer Grip Incline Dumbbell Bench Press",2014-01-04,17,22.5,,6,,"22.5 kg || 6 reps","29"
"Hammer Grip Incline Dumbbell Bench Press",2014-01-04,18,22.5,,6,,"22.5 kg || 6 reps","29"
"Hammer Grip Incline Dumbbell Bench Press",2014-01-18,13,12.5,,10,,"12.5 kg || 10 reps","28"
"Hammer Grip Incline Dumbbell Bench Press",2014-01-18,14,12.5,,10,,"12.5 kg || 10 reps","28"
"Hammer Grip Incline Dumbbell Bench Press",2014-01-18,15,12.5,,10,,"12.5 kg || 10 reps","28"
