"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Hand Gripper",2012-05-02,1,40,,5,,"40 kg || 5 reps","12"
"Hand Gripper",2012-05-02,2,40,,5,,"40 kg || 5 reps","12"
"Hand Gripper",2012-05-02,3,40,,5,,"40 kg || 5 reps","12"
"Hand Gripper",2012-05-02,4,40,,5,,"40 kg || 5 reps","12"
"Hand Gripper",2012-05-02,5,40,,5,,"40 kg || 5 reps","12"
"Hand Gripper",2012-05-02,6,40,,5,,"40 kg || 5 reps","12"
"Hand Gripper",2012-05-02,7,40,,5,,"40 kg || 5 reps","12"
"Hand Gripper",2012-05-02,8,40,,5,,"40 kg || 5 reps","12"
"Hand Gripper",2012-05-02,9,40,,5,,"40 kg || 5 reps","12"
"Hand Gripper",2012-05-02,10,40,,5,,"40 kg || 5 reps","12"
"Hand Gripper",2012-05-04,1,40,,10,,"40 kg || 10 reps","14"
"Hand Gripper",2012-05-04,2,40,,10,,"40 kg || 10 reps","14"
"Hand Gripper",2012-05-04,3,40,,10,,"40 kg || 10 reps","14"
"Hand Gripper",2012-05-04,101,40,,10,,"40 kg || 10 reps","14"
"Hand Gripper",2012-05-04,102,40,,10,,"40 kg || 10 reps","14"
"Hand Gripper",2012-05-04,103,40,,10,,"40 kg || 10 reps","14"
"Hand Gripper",2012-05-04,104,40,,10,,"40 kg || 10 reps","14"
"Hand Gripper",2012-05-04,105,40,,10,,"40 kg || 10 reps","14"
"Hand Gripper",2012-05-07,1,40,,15,,"40 kg || 15 reps","15"
"Hand Gripper",2012-05-07,2,40,,15,,"40 kg || 15 reps","15"
"Hand Gripper",2012-05-07,3,40,,15,,"40 kg || 15 reps","15"
"Hand Gripper",2012-05-10,401,40,,10,,"40 kg || 10 reps","14"
"Hand Gripper",2012-05-10,402,40,,10,,"40 kg || 10 reps","14"
"Hand Gripper",2012-05-10,403,40,,10,,"40 kg || 10 reps","14"
"Hand Gripper",2012-05-13,1,40,,5,,"40 kg || 5 reps","12"
"Hand Gripper",2012-05-13,2,40,,5,,"40 kg || 5 reps","12"
"Hand Gripper",2012-05-13,3,40,,5,,"40 kg || 5 reps","12"
"Hand Gripper",2012-05-13,4,40,,5,,"40 kg || 5 reps","12"
"Hand Gripper",2012-05-13,5,40,,5,,"40 kg || 5 reps","12"
"Hand Gripper",2012-06-06,201,40,,20,,"40 kg || 20 reps","15"
"Hand Gripper",2012-06-25,1,45,,5,,"45 kg || 5 reps","12"
"Hand Gripper",2012-06-25,2,45,,5,,"45 kg || 5 reps","12"
"Hand Gripper",2012-06-25,3,45,,5,,"45 kg || 5 reps","12"
"Hand Gripper",2012-06-28,1,45,,15,,"45 kg || 15 reps","16"
"Hand Gripper",2012-06-28,2,45,,15,,"45 kg || 15 reps","16"
"Hand Gripper",2012-07-03,1,45,,15,,"45 kg || 15 reps","16"
"Hand Gripper",2012-07-07,1,68,,2,,"68 kg || 2 reps","12"
"Hand Gripper",2012-07-07,2,68,,2,,"68 kg || 2 reps","12"
"Hand Gripper",2012-07-07,3,68,,5,,"68 kg || 5 reps","18"
"Hand Gripper",2012-07-07,4,68,,5,,"68 kg || 5 reps","18"
"Hand Gripper",2012-07-15,401,68,,5,,"68 kg || 5 reps","18"
"Hand Gripper",2012-07-15,402,68,,3,,"68 kg || 3 reps","14"
"Hand Gripper",2012-07-16,1,68,,5,,"68 kg || 5 reps","18"
"Hand Gripper",2012-07-16,2,68,,5,,"68 kg || 5 reps","18"
"Hand Gripper",2012-08-24,1,68,,10,,"68 kg || 10 reps","21"
"Hand Gripper",2012-08-24,2,68,,5,,"68 kg || 5 reps","18"
"Hand Gripper",2012-08-24,3,68,,5,,"68 kg || 5 reps","18"
"Hand Gripper",2012-08-24,4,68,,5,,"68 kg || 5 reps","18"
"Hand Gripper",2012-08-24,5,68,,5,,"68 kg || 5 reps","18"
"Hand Gripper",2012-08-27,1,68,,5,,"68 kg || 5 reps","18"
"Hand Gripper",2012-08-27,2,68,,5,,"68 kg || 5 reps","18"
"Hand Gripper",2012-08-27,3,45,,10,,"45 kg || 10 reps","15"
"Hand Gripper",2012-08-27,4,45,,15,,"45 kg || 15 reps","16"
"Hand Gripper",2012-11-09,1,45,,10,,"45 kg || 10 reps","15"
"Hand Gripper",2012-11-09,2,68,,5,,"68 kg || 5 reps","18"
