"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Hang Clean",2012-07-27,401,10,,5,,"10 kg || 5 reps","23"
"Hang Clean",2012-07-27,402,10,,5,,"10 kg || 5 reps","23"
"Hang Clean",2012-07-27,403,20,,5,,"20 kg || 5 reps","26"
"Hang Clean",2012-07-27,404,20,,5,,"20 kg || 5 reps","26"
"Hang Clean",2012-07-27,405,20,,5,,"20 kg || 5 reps","26"
"Hang Clean",2012-07-27,406,20,,5,,"20 kg || 5 reps","26"
"Hang Clean",2012-07-27,407,20,,5,,"20 kg || 5 reps","26"
"Hang Clean",2012-08-02,601,20,,5,,"20 kg || 5 reps","26"
"Hang Clean",2012-08-02,602,20,,5,,"20 kg || 5 reps","26"
"Hang Clean",2012-08-02,603,10,,5,,"10 kg || 5 reps","23"
"Hang Clean",2012-08-10,201,20,,5,,"20 kg || 5 reps","26"
"Hang Clean",2012-08-10,202,20,,5,,"20 kg || 5 reps","26"
"Hang Clean",2012-08-10,203,20,,5,,"20 kg || 5 reps","26"
"Hang Clean",2012-08-10,204,30,,5,,"30 kg || 5 reps","31"
"Hang Clean",2012-08-24,301,19.5,,10,,"19.5 kg || 10 reps","31"
"Hang Clean",2012-08-24,302,19.5,,10,,"19.5 kg || 10 reps","31"
"Hang Clean",2012-08-24,303,42,,5,,"42 kg || 5 reps","37"
"Hang Clean",2012-08-26,601,20,,10,,"20 kg || 10 reps","31"
"Hang Clean",2012-08-31,701,25,,1,,"25 kg || 1 reps","15"
"Hang Clean",2012-08-31,702,25,,1,,"25 kg || 1 reps","15"
"Hang Clean",2012-08-31,703,25,,1,,"25 kg || 1 reps","15"
"Hang Clean",2012-08-31,704,25,,1,,"25 kg || 1 reps","15"
"Hang Clean",2012-08-31,705,25,,1,,"25 kg || 1 reps","15"
"Hang Clean",2012-08-31,706,25,,1,,"25 kg || 1 reps","15"
"Hang Clean",2012-08-31,707,25,,1,,"25 kg || 1 reps","15"
"Hang Clean",2012-08-31,708,25,,1,,"25 kg || 1 reps","15"
"Hang Clean",2012-08-31,709,30,,1,,"30 kg || 1 reps","17"
"Hang Clean",2012-08-31,710,30,,1,,"30 kg || 1 reps","17"
"Hang Clean",2012-08-31,711,30,,1,,"30 kg || 1 reps","17"
"Hang Clean",2012-08-31,712,30,,1,,"30 kg || 1 reps","17"
"Hang Clean",2012-08-31,713,30,,1,,"30 kg || 1 reps","17"
"Hang Clean",2012-08-31,714,30,,1,,"30 kg || 1 reps","17"
"Hang Clean",2012-08-31,715,30,,1,,"30 kg || 1 reps","17"
"Hang Clean",2012-08-31,716,30,,1,,"30 kg || 1 reps","17"
"Hang Clean",2012-08-31,717,30,,1,,"30 kg || 1 reps","17"
"Hang Clean",2012-08-31,718,30,,1,,"30 kg || 1 reps","17"
"Hang Clean",2012-11-13,401,10,,6,,"10 kg || 6 reps","24"
"Hang Clean",2012-11-13,402,15,,6,,"15 kg || 6 reps","26"
"Hang Clean",2012-11-13,403,20,,6,,"20 kg || 6 reps","28"
"Hang Clean",2012-11-13,404,25,,6,,"25 kg || 6 reps","30"
"Hang Clean",2012-11-13,405,30,,6,,"30 kg || 6 reps","33"
"Hang Clean",2012-11-13,406,30,,6,,"30 kg || 6 reps","33"
"Hang Clean",2012-11-13,407,30,,6,,"30 kg || 6 reps","33"
"Hang Clean",2012-11-17,201,30,,3,,"30 kg || 3 reps","25"
"Hang Clean",2012-11-17,202,40,,3,,"40 kg || 3 reps","29"
"Hang Clean",2012-11-17,203,40,,3,,"40 kg || 3 reps","29"
"Hang Clean",2012-11-17,204,40,,1,,"40 kg || 1 reps","19"
"Hang Clean",2012-11-18,801,31,,1,,"31 kg || 1 reps","17"
