"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Hang High Pull",2012-11-04,601,22,,5,,"22 kg || 5 reps","27"
"Hang High Pull",2012-11-04,602,22,,5,,"22 kg || 5 reps","27"
"Hang High Pull",2012-11-04,603,40,,5,,"40 kg || 5 reps","36"
"Hang High Pull",2012-11-04,604,40,,3,,"40 kg || 3 reps","29"
"Hang High Pull",2012-11-11,301,13,,5,,"13 kg || 5 reps","24"
"Hang High Pull",2012-11-11,302,23,,5,,"23 kg || 5 reps","28"
"Hang High Pull",2012-11-11,303,48,,3,,"48 kg || 3 reps","32"
"Hang High Pull",2012-11-11,304,48,,3,,"48 kg || 3 reps","32"
"Hang High Pull",2012-11-11,305,48,,3,,"48 kg || 3 reps","32"
"Hang High Pull",2012-11-13,301,10,,6,,"10 kg || 6 reps","24"
"Hang High Pull",2012-11-13,302,15,,6,,"15 kg || 6 reps","26"
"Hang High Pull",2012-11-13,303,20,,6,,"20 kg || 6 reps","28"
"Hang High Pull",2012-11-13,304,25,,6,,"25 kg || 6 reps","30"
"Hang High Pull",2012-11-13,305,30,,6,,"30 kg || 6 reps","33"
"Hang High Pull",2013-03-11,101,35,,5,,"35 kg || 5 reps","33"
"Hang High Pull",2013-06-17,301,40,,5,,"40 kg || 5 reps","36"
"Hang High Pull",2013-06-17,302,40,,5,,"40 kg || 5 reps","36"
"Hang High Pull",2013-06-17,303,40,,5,,"40 kg || 5 reps","36"
"Hang High Pull",2013-06-24,101,40,,3,,"40 kg || 3 reps","29"
"Hang High Pull",2013-06-24,102,40,,3,,"40 kg || 3 reps","29"
"Hang High Pull",2013-06-24,103,40,,3,,"40 kg || 3 reps","29"
"Hang High Pull",2013-06-24,104,40,,3,,"40 kg || 3 reps","29"
"Hang High Pull",2013-06-24,105,40,,3,,"40 kg || 3 reps","29"
