"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Hang Power Clean",2012-12-31,101,45,,1,,"45 kg || 1 reps","21"
"Hang Power Clean",2013-03-06,401,40,,3,,"40 kg || 3 reps","29"
"Hang Power Clean",2013-03-06,402,40,,3,,"40 kg || 3 reps","29"
"Hang Power Clean",2013-03-06,403,40,,3,,"40 kg || 3 reps","29"
"Hang Power Clean",2013-04-26,501,30,,6,,"30 kg || 6 reps","33"
"Hang Power Clean",2013-04-26,502,40,,3,,"40 kg || 3 reps","29"
"Hang Power Clean",2013-05-17,201,40,,1,,"40 kg || 1 reps","19"
"Hang Power Clean",2013-06-22,1,40,,3,,"40 kg || 3 reps","29"
"Hang Power Clean",2013-06-22,2,40,,3,,"40 kg || 3 reps","29"
"Hang Power Clean",2013-06-22,3,40,,3,,"40 kg || 3 reps","29"
"Hang Power Clean",2013-06-22,4,40,,3,,"40 kg || 3 reps","29"
"Hang Power Clean",2013-06-22,5,40,,3,,"40 kg || 3 reps","29"
"Hang Power Clean",2013-07-21,301,55,,1,,"55 kg || 1 reps","24"
"Hang Power Clean",2013-07-27,201,40,,5,,"40 kg || 5 reps","36"
"Hang Power Clean",2013-07-27,202,40,,3,,"40 kg || 3 reps","29"
"Hang Power Clean",2013-07-27,203,40,,3,,"40 kg || 3 reps","29"
"Hang Power Clean",2013-07-27,204,40,,3,,"40 kg || 3 reps","29"
"Hang Power Clean",2013-07-27,205,40,,3,,"40 kg || 3 reps","29"
"Hang Power Clean",2013-08-11,201,40,,4,,"40 kg || 4 reps","33"
"Hang Power Clean",2013-08-11,202,40,,4,,"40 kg || 4 reps","33"
"Hang Power Clean",2013-08-13,401,40,,4,,"40 kg || 4 reps","33"
"Hang Power Clean",2013-08-13,402,45,,4,,"45 kg || 4 reps","35"
"Hang Power Clean",2013-08-13,403,45,,4,,"45 kg || 4 reps","35"
"Hang Power Clean",2013-08-13,404,45,,4,,"45 kg || 4 reps","35"
"Hang Power Clean",2013-08-13,405,50,,2,,"50 kg || 2 reps","28"
"Hang Power Clean",2013-08-13,406,50,,2,,"50 kg || 2 reps","28"
"Hang Power Clean",2014-01-29,1,40,,3,,"40 kg || 3 reps","29"
"Hang Power Clean",2014-01-29,2,40,,3,,"40 kg || 3 reps","29"
"Hang Power Clean",2014-01-29,3,40,,3,,"40 kg || 3 reps","29"
"Hang Power Clean",2014-01-29,4,40,,3,,"40 kg || 3 reps","29"
"Hang Power Clean",2014-01-29,5,40,,3,,"40 kg || 3 reps","29"
"Hang Power Clean",2014-02-08,10,30,,3,,"30 kg || 3 reps","25"
"Hang Power Clean",2014-02-08,11,30,,3,,"30 kg || 3 reps","25"
"Hang Power Clean",2014-02-08,12,30,,3,,"30 kg || 3 reps","25"
"Hang Power Clean",2014-02-14,9,40,,3,,"40 kg || 3 reps","29"
"Hang Power Clean",2014-02-14,10,40,,3,,"40 kg || 3 reps","29"
