"Activity","Date (YYYYMMDD)","Set",,"unit","Combined","Points"
"High Knees",2013-01-17,1,20,,"20 reps","9"
"High Knees",2013-09-14,1,10,,"10 reps","5"
"High Knees",2013-09-14,2,10,,"10 reps","5"
"High Knees",2013-09-14,3,10,,"10 reps","5"
"High Knees",2013-09-17,1,10,,"10 reps","5"
"High Knees",2013-09-17,2,10,,"10 reps","5"
"High Knees",2013-09-17,3,10,,"10 reps","5"
"High Knees",2013-09-19,1,10,,"10 reps","5"
"High Knees",2013-09-19,2,10,,"10 reps","5"
"High Knees",2013-09-19,3,10,,"10 reps","5"
"High Knees",2014-03-13,9,10,,"10 reps","5"
"High Knees",2014-03-13,10,10,,"10 reps","5"
"High Knees",2014-03-13,11,10,,"10 reps","5"
"High Knees",2014-03-13,12,10,,"10 reps","5"
