"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"High Pull",2013-12-01,1,45,,5,,"45 kg || 5 reps","45"
"High Pull",2013-12-01,2,45,,5,,"45 kg || 5 reps","45"
"High Pull",2013-12-01,3,45,,5,,"45 kg || 5 reps","45"
"High Pull",2014-01-28,1,60,,3,,"60 kg || 3 reps","45"
"High Pull",2014-01-28,2,60,,3,,"60 kg || 3 reps","45"
"High Pull",2014-01-28,3,60,,3,,"60 kg || 3 reps","45"
"High Pull",2014-02-04,3,40,,10,,"40 kg || 10 reps","49"
"High Pull",2014-02-04,4,40,,10,,"40 kg || 10 reps","49"
"High Pull",2014-02-05,4,17.5,,10,,"17.5 kg || 10 reps","35"
"High Pull",2014-02-05,5,40,,5,,"40 kg || 5 reps","42"
"High Pull",2014-02-05,6,40,,5,,"40 kg || 5 reps","42"
"High Pull",2014-02-07,1,30,,10,,"30 kg || 10 reps","42"
"High Pull",2014-02-07,2,30,,10,,"30 kg || 10 reps","42"
"High Pull",2014-02-08,13,30,,3,,"30 kg || 3 reps","29"
"High Pull",2014-02-08,14,30,,3,,"30 kg || 3 reps","29"
"High Pull",2014-02-08,15,30,,3,,"30 kg || 3 reps","29"
"High Pull",2014-02-10,1,30,,3,,"30 kg || 3 reps","29"
"High Pull",2014-02-10,2,30,,3,,"30 kg || 3 reps","29"
"High Pull",2014-02-10,3,40,,3,,"40 kg || 3 reps","33"
"High Pull",2014-02-14,1,40,,3,,"40 kg || 3 reps","33"
"High Pull",2014-02-14,2,40,,3,,"40 kg || 3 reps","33"
