"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Incline Dumbbell Bench Press",2013-02-09,301,17.5,,5,,"17.5 kg || 5 reps","45"
"Incline Dumbbell Bench Press",2013-03-05,701,17.5,,5,,"17.5 kg || 5 reps","45"
"Incline Dumbbell Bench Press",2013-03-05,702,17.5,,10,,"17.5 kg || 10 reps","54"
"Incline Dumbbell Bench Press",2013-05-12,901,17,,10,,"17 kg || 10 reps","53"
"Incline Dumbbell Bench Press",2013-05-12,902,12,,15,,"12 kg || 15 reps","48"
"Incline Dumbbell Bench Press",2013-09-24,101,17.5,,4,,"17.5 kg || 4 reps","41"
"Incline Dumbbell Bench Press",2013-09-24,102,17.5,,6,,"17.5 kg || 6 reps","48"
"Incline Dumbbell Bench Press",2013-09-24,103,17.5,,8,,"17.5 kg || 8 reps","52"
"Incline Dumbbell Bench Press",2013-09-24,104,17.5,,10,,"17.5 kg || 10 reps","54"
"Incline Dumbbell Bench Press",2013-09-24,105,17.5,,10,,"17.5 kg || 10 reps","54"
"Incline Dumbbell Bench Press",2013-09-24,106,17.5,,8,,"17.5 kg || 8 reps","52"
"Incline Dumbbell Bench Press",2013-09-24,107,17.5,,6,,"17.5 kg || 6 reps","48"
"Incline Dumbbell Bench Press",2013-09-24,108,17.5,,4,,"17.5 kg || 4 reps","41"
"Incline Dumbbell Bench Press",2013-09-24,109,17.5,,4,,"17.5 kg || 4 reps","41"
"Incline Dumbbell Bench Press",2013-09-24,110,17.5,,6,,"17.5 kg || 6 reps","48"
"Incline Dumbbell Bench Press",2013-09-24,111,17.5,,8,,"17.5 kg || 8 reps","52"
"Incline Dumbbell Bench Press",2013-09-24,112,17.5,,10,,"17.5 kg || 10 reps","54"
"Incline Dumbbell Bench Press",2013-09-24,113,17.5,,10,,"17.5 kg || 10 reps","54"
"Incline Dumbbell Bench Press",2013-09-24,114,17.5,,8,,"17.5 kg || 8 reps","52"
"Incline Dumbbell Bench Press",2013-09-24,115,17.5,,6,,"17.5 kg || 6 reps","48"
"Incline Dumbbell Bench Press",2013-09-24,116,17.5,,4,,"17.5 kg || 4 reps","41"
"Incline Dumbbell Bench Press",2013-09-24,117,17.5,,4,,"17.5 kg || 4 reps","41"
"Incline Dumbbell Bench Press",2013-09-24,118,17.5,,6,,"17.5 kg || 6 reps","48"
"Incline Dumbbell Bench Press",2013-09-24,119,17.5,,8,,"17.5 kg || 8 reps","52"
"Incline Dumbbell Bench Press",2013-09-24,120,17.5,,10,,"17.5 kg || 10 reps","54"
"Incline Dumbbell Bench Press",2013-11-20,7,17.5,,10,,"17.5 kg || 10 reps","54"
"Incline Dumbbell Bench Press",2013-11-20,8,17.5,,10,,"17.5 kg || 10 reps","54"
"Incline Dumbbell Bench Press",2013-11-20,9,20,,10,,"20 kg || 10 reps","58"
"Incline Dumbbell Bench Press",2013-11-22,7,20,,15,,"20 kg || 15 reps","61"
"Incline Dumbbell Bench Press",2013-11-22,8,25,,5,,"25 kg || 5 reps","57"
"Incline Dumbbell Bench Press",2013-11-22,9,30,,3,,"30 kg || 3 reps","53"
"Incline Dumbbell Bench Press",2013-12-03,1,27.5,,1,,"27.5 kg || 1 reps","33"
"Incline Dumbbell Bench Press",2013-12-12,4,22.5,,3,,"22.5 kg || 3 reps","42"
"Incline Dumbbell Bench Press",2013-12-12,5,22.5,,3,,"22.5 kg || 3 reps","42"
"Incline Dumbbell Bench Press",2013-12-12,6,22.5,,3,,"22.5 kg || 3 reps","42"
"Incline Dumbbell Bench Press",2014-02-14,13,12.5,,10,,"12.5 kg || 10 reps","46"
"Incline Dumbbell Bench Press",2014-02-14,14,17.5,,10,,"17.5 kg || 10 reps","54"
"Incline Dumbbell Bench Press",2014-02-28,8,12.5,,10,,"12.5 kg || 10 reps","46"
"Incline Dumbbell Bench Press",2014-02-28,9,12.5,,10,,"12.5 kg || 10 reps","46"
"Incline Dumbbell Bench Press",2014-02-28,10,12.5,,10,,"12.5 kg || 10 reps","46"
"Incline Dumbbell Bench Press",2014-03-17,1,22.5,,6,,"22.5 kg || 6 reps","56"
"Incline Dumbbell Bench Press",2014-03-17,2,22.5,,6,,"22.5 kg || 6 reps","56"
"Incline Dumbbell Bench Press",2014-03-17,3,22.5,,10,,"22.5 kg || 10 reps","62"
"Incline Dumbbell Bench Press",2014-03-23,1,22.5,,6,,"22.5 kg || 6 reps","56"
"Incline Dumbbell Bench Press",2014-03-23,2,22.5,,6,,"22.5 kg || 6 reps","56"
"Incline Dumbbell Bench Press",2014-03-23,3,22.5,,12,,"22.5 kg || 12 reps","64"
