"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Incline Dumbbell Flyes",2012-01-10,301,6,,8,,"6 kg || 8 reps","5"
"Incline Dumbbell Flyes",2012-01-10,302,6,,8,,"6 kg || 8 reps","5"
"Incline Dumbbell Flyes",2012-01-10,303,6,,8,,"6 kg || 8 reps","5"
"Incline Dumbbell Flyes",2012-01-19,101,6,,8,,"6 kg || 8 reps","5"
"Incline Dumbbell Flyes",2012-01-19,102,8,,8,,"8 kg || 8 reps","5"
"Incline Dumbbell Flyes",2012-01-19,103,8,,8,,"8 kg || 8 reps","5"
"Incline Dumbbell Flyes",2012-10-24,201,8.5,,3,,"8.5 kg || 3 reps","12"
"Incline Dumbbell Flyes",2012-10-24,202,6,,8,,"6 kg || 8 reps","16"
"Incline Dumbbell Flyes",2012-10-24,203,6,,8,,"6 kg || 8 reps","16"
"Incline Dumbbell Flyes",2012-10-24,204,6,,8,,"6 kg || 8 reps","16"
"Incline Dumbbell Flyes",2013-04-27,101,2.5,,15,,"2.5 kg || 15 reps","17"
"Incline Dumbbell Flyes",2013-04-27,102,5,,8,,"5 kg || 8 reps","16"
"Incline Dumbbell Flyes",2013-05-05,501,4.5,,12,,"4.5 kg || 12 reps","17"
"Incline Dumbbell Flyes",2013-05-05,502,4.5,,12,,"4.5 kg || 12 reps","17"
"Incline Dumbbell Flyes",2013-08-19,201,4.5,,10,,"4.5 kg || 10 reps","16"
"Incline Dumbbell Flyes",2013-08-19,202,4.5,,10,,"4.5 kg || 10 reps","16"
"Incline Dumbbell Flyes",2013-08-19,203,4.5,,10,,"4.5 kg || 10 reps","16"
"Incline Dumbbell Flyes",2013-08-19,204,4.5,,10,,"4.5 kg || 10 reps","16"
"Incline Dumbbell Flyes",2013-08-26,501,6,,10,,"6 kg || 10 reps","17"
"Incline Dumbbell Flyes",2013-08-26,502,7,,10,,"7 kg || 10 reps","17"
"Incline Dumbbell Flyes",2013-08-26,503,8,,5,,"8 kg || 5 reps","15"
"Incline Dumbbell Flyes",2013-08-29,601,8,,5,,"8 kg || 5 reps","15"
"Incline Dumbbell Flyes",2013-08-29,602,9,,5,,"9 kg || 5 reps","15"
"Incline Dumbbell Flyes",2013-09-24,201,9.5,,6,,"9.5 kg || 6 reps","16"
"Incline Dumbbell Flyes",2013-09-24,202,9.5,,6,,"9.5 kg || 6 reps","16"
"Incline Dumbbell Flyes",2013-09-24,203,9.5,,6,,"9.5 kg || 6 reps","16"
"Incline Dumbbell Flyes",2013-09-27,401,9.5,,6,,"9.5 kg || 6 reps","16"
"Incline Dumbbell Flyes",2013-09-27,402,9.5,,6,,"9.5 kg || 6 reps","16"
"Incline Dumbbell Flyes",2013-09-27,403,9.5,,6,,"9.5 kg || 6 reps","16"
"Incline Dumbbell Flyes",2013-09-29,401,9.5,,6,,"9.5 kg || 6 reps","16"
"Incline Dumbbell Flyes",2013-09-29,402,9.5,,6,,"9.5 kg || 6 reps","16"
"Incline Dumbbell Flyes",2013-09-29,403,9.5,,6,,"9.5 kg || 6 reps","16"
"Incline Dumbbell Flyes",2013-10-05,1201,5.5,,10,,"5.5 kg || 10 reps","17"
"Incline Dumbbell Flyes",2013-10-05,1202,5.5,,10,,"5.5 kg || 10 reps","17"
"Incline Dumbbell Flyes",2013-10-05,1203,5.5,,10,,"5.5 kg || 10 reps","17"
"Incline Dumbbell Flyes",2013-11-22,17,7,,10,,"7 kg || 10 reps","17"
"Incline Dumbbell Flyes",2013-11-22,18,7,,10,,"7 kg || 10 reps","17"
"Incline Dumbbell Flyes",2014-02-26,24,7,,10,,"7 kg || 10 reps","17"
"Incline Dumbbell Flyes",2014-02-26,25,7,,10,,"7 kg || 10 reps","17"
"Incline Dumbbell Flyes",2014-02-26,26,7,,10,,"7 kg || 10 reps","17"
"Incline Dumbbell Flyes",2014-03-03,12,7,,8,,"7 kg || 8 reps","16"
"Incline Dumbbell Flyes",2014-03-17,4,4.5,,10,,"4.5 kg || 10 reps","16"
"Incline Dumbbell Flyes",2014-03-17,5,6,,10,,"6 kg || 10 reps","17"
"Incline Dumbbell Flyes",2014-03-17,6,6,,10,,"6 kg || 10 reps","17"
"Incline Dumbbell Flyes",2014-03-23,7,6,,10,,"6 kg || 10 reps","17"
"Incline Dumbbell Flyes",2014-03-23,8,7,,10,,"7 kg || 10 reps","17"
"Incline Dumbbell Flyes",2014-03-23,9,9.5,,6,,"9.5 kg || 6 reps","16"
"Incline Dumbbell Flyes",2014-03-29,11,8.5,,6,,"8.5 kg || 6 reps","16"
"Incline Dumbbell Flyes",2014-03-29,12,10.5,,6,,"10.5 kg || 6 reps","16"
"Incline Dumbbell Flyes",2014-03-29,13,10.5,,6,,"10.5 kg || 6 reps","16"
"Incline Dumbbell Flyes",2014-03-29,14,10.5,,6,,"10.5 kg || 6 reps","16"
"Incline Dumbbell Flyes",2014-03-29,15,10.5,,8,,"10.5 kg || 8 reps","17"
"Incline Dumbbell Flyes",2014-03-31,24,10.5,,6,,"10.5 kg || 6 reps","16"
"Incline Dumbbell Flyes",2014-03-31,25,11.5,,6,,"11.5 kg || 6 reps","16"
"Incline Dumbbell Flyes",2014-03-31,26,12.5,,6,,"12.5 kg || 6 reps","17"
