"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Incline Dumbbell Row",2013-05-21,701,7,,12,,"7 kg || 12 reps","33"
"Incline Dumbbell Row",2013-08-16,401,6,,10,,"6 kg || 10 reps","32"
"Incline Dumbbell Row",2013-08-16,402,6,,10,,"6 kg || 10 reps","32"
"Incline Dumbbell Row",2013-08-19,1,6,,10,,"6 kg || 10 reps","32"
"Incline Dumbbell Row",2013-08-19,2,6,,10,,"6 kg || 10 reps","32"
"Incline Dumbbell Row",2013-08-19,3,6,,10,,"6 kg || 10 reps","32"
"Incline Dumbbell Row",2013-08-19,4,6,,10,,"6 kg || 10 reps","32"
"Incline Dumbbell Row",2013-08-26,701,6,,10,,"6 kg || 10 reps","32"
"Incline Dumbbell Row",2013-08-26,702,6,,10,,"6 kg || 10 reps","32"
"Incline Dumbbell Row",2013-09-09,601,6,,1,,"6 kg || 1 reps","15"
"Incline Dumbbell Row",2013-09-09,602,7,,1,,"7 kg || 1 reps","15"
"Incline Dumbbell Row",2013-09-09,603,9.5,,1,,"9.5 kg || 1 reps","15"
"Incline Dumbbell Row",2013-09-09,604,13.5,,1,,"13.5 kg || 1 reps","16"
"Incline Dumbbell Row",2013-09-14,1101,20,,5,,"20 kg || 5 reps","34"
"Incline Dumbbell Row",2013-09-14,1102,20,,5,,"20 kg || 5 reps","34"
"Incline Dumbbell Row",2014-01-23,5,12.5,,15,,"12.5 kg || 15 reps","38"
"Incline Dumbbell Row",2014-01-23,6,6,,15,,"6 kg || 15 reps","34"
"Incline Dumbbell Row",2014-03-03,11,7,,8,,"7 kg || 8 reps","31"
