"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Internal Shoulder Cuff Rotation (Lucky Cat)",2012-10-31,101,2.5,,15,,"2.5 kg || 15 reps","20"
"Internal Shoulder Cuff Rotation (Lucky Cat)",2012-11-02,601,2.5,,15,,"2.5 kg || 15 reps","20"
"Internal Shoulder Cuff Rotation (Lucky Cat)",2012-11-02,602,2.5,,15,,"2.5 kg || 15 reps","20"
"Internal Shoulder Cuff Rotation (Lucky Cat)",2012-11-02,603,2.5,,15,,"2.5 kg || 15 reps","20"
"Internal Shoulder Cuff Rotation (Lucky Cat)",2012-11-03,401,2.5,,10,,"2.5 kg || 10 reps","19"
"Internal Shoulder Cuff Rotation (Lucky Cat)",2012-11-03,402,2.5,,10,,"2.5 kg || 10 reps","19"
"Internal Shoulder Cuff Rotation (Lucky Cat)",2012-11-03,403,2.5,,10,,"2.5 kg || 10 reps","19"
"Internal Shoulder Cuff Rotation (Lucky Cat)",2012-11-06,1001,2.5,,10,,"2.5 kg || 10 reps","19"
"Internal Shoulder Cuff Rotation (Lucky Cat)",2012-11-06,1002,2,,10,,"2 kg || 10 reps","19"
"Internal Shoulder Cuff Rotation (Lucky Cat)",2012-11-06,1003,1.2,,10,,"1.2 kg || 10 reps","19"
"Internal Shoulder Cuff Rotation (Lucky Cat)",2012-11-08,801,5,,10,,"5 kg || 10 reps","20"
"Internal Shoulder Cuff Rotation (Lucky Cat)",2012-11-08,802,5,,10,,"5 kg || 10 reps","20"
"Internal Shoulder Cuff Rotation (Lucky Cat)",2012-11-08,803,2.5,,10,,"2.5 kg || 10 reps","19"
"Internal Shoulder Cuff Rotation (Lucky Cat)",2012-11-11,501,3.5,,10,,"3.5 kg || 10 reps","19"
"Internal Shoulder Cuff Rotation (Lucky Cat)",2012-11-11,502,3.5,,10,,"3.5 kg || 10 reps","19"
"Internal Shoulder Cuff Rotation (Lucky Cat)",2012-11-11,503,3.5,,10,,"3.5 kg || 10 reps","19"
"Internal Shoulder Cuff Rotation (Lucky Cat)",2012-12-25,601,1.5,,10,,"1.5 kg || 10 reps","19"
"Internal Shoulder Cuff Rotation (Lucky Cat)",2013-02-17,801,2.5,,5,,"2.5 kg || 5 reps","16"
"Internal Shoulder Cuff Rotation (Lucky Cat)",2013-02-17,802,2,,8,,"2 kg || 8 reps","18"
