"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Kettlebell Figure 8",2013-04-26,701,16,,20,,"16 kg || 20 reps","57"
"Kettlebell Figure 8",2013-04-26,702,16,,15,,"16 kg || 15 reps","52"
"Kettlebell Figure 8",2013-05-12,501,6,,8,,"6 kg || 8 reps","32"
"Kettlebell Figure 8",2013-05-12,502,8,,8,,"8 kg || 8 reps","35"
"Kettlebell Figure 8",2013-05-14,801,6,,8,,"6 kg || 8 reps","32"
"Kettlebell Figure 8",2013-06-19,801,20,,10,,"20 kg || 10 reps","52"
"Kettlebell Figure 8",2013-06-19,802,20,,20,,"20 kg || 20 reps","64"
"Kettlebell Figure 8",2013-06-25,901,20,,15,,"20 kg || 15 reps","58"
"Kettlebell Figure 8",2013-07-17,501,8,,8,,"8 kg || 8 reps","35"
"Kettlebell Figure 8",2013-07-17,502,8,,8,,"8 kg || 8 reps","35"
"Kettlebell Figure 8",2013-07-17,503,20,,8,,"20 kg || 8 reps","49"
"Kettlebell Figure 8",2013-09-11,201,10,,10,,"10 kg || 10 reps","39"
"Kettlebell Figure 8",2013-12-31,7,6,,12,,"6 kg || 12 reps","36"
"Kettlebell Figure 8",2013-12-31,8,8,,12,,"8 kg || 12 reps","38"
"Kettlebell Figure 8",2013-12-31,9,12,,12,,"12 kg || 12 reps","43"
