"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Kettlebell Pirate Ships",2013-04-07,501,8,,10,,"8 kg || 10 reps","26"
"Kettlebell Pirate Ships",2013-04-07,502,12,,5,,"12 kg || 5 reps","23"
"Kettlebell Pirate Ships",2013-04-11,601,12,,10,,"12 kg || 10 reps","28"
"Kettlebell Pirate Ships",2013-04-11,602,8,,10,,"8 kg || 10 reps","26"
"Kettlebell Pirate Ships",2013-04-17,301,16,,5,,"16 kg || 5 reps","25"
"Kettlebell Pirate Ships",2013-04-25,701,8,,12,,"8 kg || 12 reps","27"
"Kettlebell Pirate Ships",2013-04-25,702,8,,12,,"8 kg || 12 reps","27"
"Kettlebell Pirate Ships",2013-05-03,801,12,,8,,"12 kg || 8 reps","27"
"Kettlebell Pirate Ships",2013-05-03,802,12,,8,,"12 kg || 8 reps","27"
"Kettlebell Pirate Ships",2013-05-12,601,6,,8,,"6 kg || 8 reps","24"
"Kettlebell Pirate Ships",2013-05-12,602,8,,8,,"8 kg || 8 reps","25"
"Kettlebell Pirate Ships",2013-05-14,901,6,,8,,"6 kg || 8 reps","24"
"Kettlebell Pirate Ships",2013-06-21,501,12,,10,,"12 kg || 10 reps","28"
"Kettlebell Pirate Ships",2013-06-21,502,8,,10,,"8 kg || 10 reps","26"
"Kettlebell Pirate Ships",2013-06-28,501,12,,10,,"12 kg || 10 reps","28"
"Kettlebell Pirate Ships",2013-06-28,502,12,,10,,"12 kg || 10 reps","28"
"Kettlebell Pirate Ships",2013-12-31,20,20,,5,,"20 kg || 5 reps","26"
