"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Kettlebell Press",2012-08-11,201,8,,10,,"8 kg || 10 reps","36"
"Kettlebell Press",2012-08-31,301,12,,5,,"12 kg || 5 reps","32"
"Kettlebell Press",2012-08-31,302,20,,1,,"20 kg || 1 reps","20"
"Kettlebell Press",2012-09-12,401,12,,10,,"12 kg || 10 reps","38"
"Kettlebell Press",2012-09-12,402,20,,3,,"20 kg || 3 reps","29"
"Kettlebell Press",2013-02-13,301,8,,10,,"8 kg || 10 reps","36"
"Kettlebell Press",2013-02-13,302,12,,10,,"12 kg || 10 reps","38"
"Kettlebell Press",2013-02-13,303,16,,8,,"16 kg || 8 reps","39"
"Kettlebell Press",2013-06-03,501,16,,5,,"16 kg || 5 reps","34"
"Kettlebell Press",2013-08-09,601,10,,20,,"10 kg || 20 reps","41"
"Kettlebell Press",2013-09-11,501,10,,10,,"10 kg || 10 reps","37"
"Kettlebell Press",2013-09-17,1401,20,,5,,"20 kg || 5 reps","36"
"Kettlebell Press",2013-10-12,1,20,,10,,"20 kg || 10 reps","43"
"Kettlebell Press",2013-10-12,2,20,,5,,"20 kg || 5 reps","36"
"Kettlebell Press",2013-12-31,10,6,,12,,"6 kg || 12 reps","36"
"Kettlebell Press",2013-12-31,11,8,,12,,"8 kg || 12 reps","37"
"Kettlebell Press",2013-12-31,12,12,,12,,"12 kg || 12 reps","39"
