"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Kroc Rows",2013-01-16,101,12.5,,15,,"12.5 kg || 15 reps","34"
"Kroc Rows",2013-01-16,102,17.5,,12,,"17.5 kg || 12 reps","35"
"Kroc Rows",2013-01-16,103,20.5,,10,,"20.5 kg || 10 reps","36"
"Kroc Rows",2013-01-19,301,20,,10,,"20 kg || 10 reps","35"
"Kroc Rows",2013-02-05,501,17.5,,15,,"17.5 kg || 15 reps","36"
"Kroc Rows",2013-02-05,502,16,,20,,"16 kg || 20 reps","37"
"Kroc Rows",2013-02-15,601,20,,20,,"20 kg || 20 reps","40"
"Kroc Rows",2013-02-17,901,20,,20,,"20 kg || 20 reps","40"
"Kroc Rows",2013-03-03,501,20,,20,,"20 kg || 20 reps","40"
"Kroc Rows",2013-03-09,701,22.5,,20,,"22.5 kg || 20 reps","41"
"Kroc Rows",2013-03-11,401,22.5,,12,,"22.5 kg || 12 reps","38"
"Kroc Rows",2013-03-16,901,22.5,,15,,"22.5 kg || 15 reps","39"
"Kroc Rows",2013-04-16,201,20,,15,,"20 kg || 15 reps","38"
"Kroc Rows",2013-04-16,202,20,,15,,"20 kg || 15 reps","38"
"Kroc Rows",2013-04-24,101,22.5,,15,,"22.5 kg || 15 reps","39"
"Kroc Rows",2013-04-25,201,22.5,,15,,"22.5 kg || 15 reps","39"
"Kroc Rows",2013-04-25,202,22.5,,15,,"22.5 kg || 15 reps","39"
"Kroc Rows",2013-05-03,301,22.5,,15,,"22.5 kg || 15 reps","39"
"Kroc Rows",2013-05-03,302,25,,12,,"25 kg || 12 reps","39"
"Kroc Rows",2013-05-10,501,27,,12,,"27 kg || 12 reps","40"
"Kroc Rows",2013-05-12,1101,22.5,,12,,"22.5 kg || 12 reps","38"
"Kroc Rows",2013-05-12,1102,22.5,,15,,"22.5 kg || 15 reps","39"
"Kroc Rows",2013-05-17,301,22.5,,13,,"22.5 kg || 13 reps","38"
"Kroc Rows",2013-05-17,302,32,,10,,"32 kg || 10 reps","42"
"Kroc Rows",2013-05-21,801,10,,25,,"10 kg || 25 reps","36"
"Kroc Rows",2013-05-29,201,32,,5,,"32 kg || 5 reps","36"
"Kroc Rows",2013-06-12,401,32,,10,,"32 kg || 10 reps","42"
"Kroc Rows",2013-06-12,402,32,,5,,"32 kg || 5 reps","36"
"Kroc Rows",2013-06-19,601,17,,25,,"17 kg || 25 reps","40"
"Kroc Rows",2013-06-22,301,22,,15,,"22 kg || 15 reps","39"
"Kroc Rows",2013-06-29,501,30,,12,,"30 kg || 12 reps","42"
"Kroc Rows",2013-07-08,401,25,,16,,"25 kg || 16 reps","41"
"Kroc Rows",2013-07-11,301,32.5,,12,,"32.5 kg || 12 reps","44"
"Kroc Rows",2013-07-11,302,32.5,,10,,"32.5 kg || 10 reps","43"
"Kroc Rows",2013-07-15,601,32.5,,10,,"32.5 kg || 10 reps","43"
"Kroc Rows",2013-07-19,401,32,,10,,"32 kg || 10 reps","42"
"Kroc Rows",2013-07-24,401,32.5,,18,,"32.5 kg || 18 reps","47"
"Kroc Rows",2013-07-27,1101,32.5,,15,,"32.5 kg || 15 reps","45"
"Kroc Rows",2013-08-11,301,32.5,,20,,"32.5 kg || 20 reps","48"
"Kroc Rows",2013-08-13,701,35,,12,,"35 kg || 12 reps","46"
"Kroc Rows",2013-10-09,701,33,,10,,"33 kg || 10 reps","43"
"Kroc Rows",2013-10-09,702,33,,10,,"33 kg || 10 reps","43"
"Kroc Rows",2013-10-15,301,22.5,,15,,"22.5 kg || 15 reps","39"
"Kroc Rows",2013-10-15,302,27.5,,15,,"27.5 kg || 15 reps","42"
"Kroc Rows",2013-10-15,303,27.5,,12,,"27.5 kg || 12 reps","41"
"Kroc Rows",2013-10-22,22,23,,15,,"23 kg || 15 reps","39"
"Kroc Rows",2013-11-06,9,23,,20,,"23 kg || 20 reps","41"
"Kroc Rows",2013-12-03,1,23,,15,,"23 kg || 15 reps","39"
"Kroc Rows",2013-12-27,29,22.5,,15,,"22.5 kg || 15 reps","39"
"Kroc Rows",2014-01-02,9,23,,20,,"23 kg || 20 reps","41"
"Kroc Rows",2014-02-20,19,23,,15,,"23 kg || 15 reps","39"
"Kroc Rows",2014-02-26,1,25.5,,20,,"25.5 kg || 20 reps","43"
"Kroc Rows",2014-02-28,26,25.5,,15,,"25.5 kg || 15 reps","41"
"Kroc Rows",2014-02-28,27,33,,16,,"33 kg || 16 reps","46"
"Kroc Rows",2014-03-18,17,38,,10,,"38 kg || 10 reps","46"
"Kroc Rows",2014-03-29,6,38,,15,,"38 kg || 15 reps","49"
