"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Lat Pulldown",2012-02-28,201,35,,8,,"35 kg || 8 reps","19"
"Lat Pulldown",2012-08-02,801,45,,5,,"45 kg || 5 reps","19"
"Lat Pulldown",2012-08-02,802,55,,5,,"55 kg || 5 reps","22"
"Lat Pulldown",2012-08-02,803,65,,3,,"65 kg || 3 reps","21"
"Lat Pulldown",2013-04-04,301,40,,10,,"40 kg || 10 reps","21"
"Lat Pulldown",2013-04-04,302,40,,10,,"40 kg || 10 reps","21"
"Lat Pulldown",2013-04-05,301,40,,10,,"40 kg || 10 reps","21"
"Lat Pulldown",2013-04-11,401,45,,10,,"45 kg || 10 reps","22"
"Lat Pulldown",2013-08-26,201,50,,10,,"50 kg || 10 reps","24"
"Lat Pulldown",2013-08-26,202,55,,3,,"55 kg || 3 reps","18"
"Lat Pulldown",2013-08-26,203,60,,3,,"60 kg || 3 reps","19"
"Lat Pulldown",2013-08-29,501,35,,10,,"35 kg || 10 reps","19"
"Lat Pulldown",2013-08-29,502,40,,10,,"40 kg || 10 reps","21"
"Lat Pulldown",2013-08-29,503,50,,5,,"50 kg || 5 reps","20"
"Lat Pulldown",2013-08-29,504,55,,5,,"55 kg || 5 reps","22"
"Lat Pulldown",2013-08-29,505,60,,3,,"60 kg || 3 reps","19"
"Lat Pulldown",2013-08-29,506,65,,3,,"65 kg || 3 reps","21"
