"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Leg Extensions",2012-11-18,1,10,,12,,"10 kg || 12 reps","9"
"Leg Extensions",2012-11-18,2,15,,12,,"15 kg || 12 reps","10"
"Leg Extensions",2012-11-18,3,20,,12,,"20 kg || 12 reps","10"
"Leg Extensions",2012-11-18,4,25,,5,,"25 kg || 5 reps","9"
"Leg Extensions",2012-11-18,5,25,,5,,"25 kg || 5 reps","9"
"Leg Extensions",2012-12-12,1,10,,10,,"10 kg || 10 reps","9"
"Leg Extensions",2012-12-12,2,15,,10,,"15 kg || 10 reps","9"
"Leg Extensions",2012-12-12,3,20,,10,,"20 kg || 10 reps","10"
"Leg Extensions",2012-12-12,4,15,,10,,"15 kg || 10 reps","9"
"Leg Extensions",2012-12-12,5,15,,10,,"15 kg || 10 reps","9"
"Leg Extensions",2013-05-21,901,20,,10,,"20 kg || 10 reps","10"
"Leg Extensions",2013-05-21,902,30,,8,,"30 kg || 8 reps","11"
"Leg Extensions",2013-06-10,501,20,,10,,"20 kg || 10 reps","10"
"Leg Extensions",2013-06-10,502,20,,10,,"20 kg || 10 reps","10"
"Leg Extensions",2013-10-18,11,10,,12,,"10 kg || 12 reps","9"
"Leg Extensions",2013-10-18,12,12.5,,12,,"12.5 kg || 12 reps","9"
"Leg Extensions",2013-10-18,13,12.5,,12,,"12.5 kg || 12 reps","9"
"Leg Extensions",2013-11-09,10,15,,15,,"15 kg || 15 reps","10"
"Leg Extensions",2013-11-09,11,15,,15,,"15 kg || 15 reps","10"
"Leg Extensions",2013-11-09,12,15,,15,,"15 kg || 15 reps","10"
"Leg Extensions",2013-11-20,1,10,,15,,"10 kg || 15 reps","9"
"Leg Extensions",2013-11-20,2,10,,15,,"10 kg || 15 reps","9"
"Leg Extensions",2013-11-20,3,10,,15,,"10 kg || 15 reps","9"
"Leg Extensions",2013-11-22,1,12.5,,20,,"12.5 kg || 20 reps","10"
"Leg Extensions",2013-11-22,2,12.5,,20,,"12.5 kg || 20 reps","10"
"Leg Extensions",2013-11-22,3,12.5,,20,,"12.5 kg || 20 reps","10"
"Leg Extensions",2013-12-08,1,10,,20,,"10 kg || 20 reps","10"
"Leg Extensions",2013-12-08,2,15,,20,,"15 kg || 20 reps","10"
"Leg Extensions",2014-01-06,1,12.5,,15,,"12.5 kg || 15 reps","10"
"Leg Extensions",2014-01-06,2,12.5,,15,,"12.5 kg || 15 reps","10"
"Leg Extensions",2014-01-06,3,12.5,,15,,"12.5 kg || 15 reps","10"
"Leg Extensions",2014-02-21,3,20,,15,,"20 kg || 15 reps","11"
"Leg Extensions",2014-02-21,4,20,,15,,"20 kg || 15 reps","11"
"Leg Extensions",2014-02-21,5,20,,15,,"20 kg || 15 reps","11"
"Leg Extensions",2014-02-26,6,20,,10,,"20 kg || 10 reps","10"
"Leg Extensions",2014-02-26,7,22.5,,10,,"22.5 kg || 10 reps","10"
"Leg Extensions",2014-02-26,8,22.5,,10,,"22.5 kg || 10 reps","10"
"Leg Extensions",2014-02-26,9,22.5,,20,,"22.5 kg || 20 reps","12"
"Leg Extensions",2014-02-26,9,20,,10,,"20 kg || 10 reps","10"
"Leg Extensions",2014-03-03,1,20,,8,,"20 kg || 8 reps","10"
"Leg Extensions",2014-03-18,10,15,,10,,"15 kg || 10 reps","9"
"Leg Extensions",2014-03-18,11,15,,10,,"15 kg || 10 reps","9"
"Leg Extensions",2014-03-18,12,15,,10,,"15 kg || 10 reps","9"
"Leg Extensions",2014-03-18,13,15,,10,,"15 kg || 10 reps","9"
"Leg Extensions",2014-03-18,14,15,,10,,"15 kg || 10 reps","9"
"Leg Extensions",2014-03-18,15,15,,10,,"15 kg || 10 reps","9"
"Leg Extensions",2014-03-23,4,20,,10,,"20 kg || 10 reps","10"
"Leg Extensions",2014-03-23,5,10,,20,,"10 kg || 20 reps","10"
"Leg Extensions",2014-03-23,6,10,,20,,"10 kg || 20 reps","10"
