"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Leg Press",2012-05-24,401,100,,5,,"100 kg || 5 reps","25"
"Leg Press",2012-05-24,402,120,,5,,"120 kg || 5 reps","29"
"Leg Press",2012-05-24,403,140,,5,,"140 kg || 5 reps","33"
"Leg Press",2012-05-24,404,150,,5,,"150 kg || 5 reps","36"
"Leg Press",2012-05-24,405,150,,5,,"150 kg || 5 reps","36"
"Leg Press",2012-06-01,901,120,,5,,"120 kg || 5 reps","29"
"Leg Press",2012-06-01,902,140,,5,,"140 kg || 5 reps","33"
"Leg Press",2012-06-01,903,160,,5,,"160 kg || 5 reps","39"
"Leg Press",2012-06-08,601,140,,5,,"140 kg || 5 reps","33"
"Leg Press",2012-06-08,602,160,,4,,"160 kg || 4 reps","35"
"Leg Press",2013-01-10,401,100,,5,,"100 kg || 5 reps","25"
"Leg Press",2013-01-10,402,120,,5,,"120 kg || 5 reps","29"
"Leg Press",2013-01-10,403,140,,3,,"140 kg || 3 reps","27"
"Leg Press",2013-01-10,404,160,,2,,"160 kg || 2 reps","26"
"Leg Press",2013-02-05,701,90,,10,,"90 kg || 10 reps","27"
"Leg Press",2013-02-05,702,110,,10,,"110 kg || 10 reps","31"
"Leg Press",2013-02-05,703,130,,5,,"130 kg || 5 reps","31"
"Leg Press",2013-02-05,704,130,,5,,"130 kg || 5 reps","31"
"Leg Press",2013-02-05,705,150,,3,,"150 kg || 3 reps","29"
"Leg Press",2013-02-05,706,150,,1,,"150 kg || 1 reps","20"
"Leg Press",2013-08-26,1,70,,10,,"70 kg || 10 reps","23"
"Leg Press",2013-08-26,2,110,,10,,"110 kg || 10 reps","31"
"Leg Press",2013-08-26,3,130,,10,,"130 kg || 10 reps","37"
"Leg Press",2013-08-26,4,150,,5,,"150 kg || 5 reps","36"
"Leg Press",2013-08-26,5,170,,5,,"170 kg || 5 reps","42"
"Leg Press",2013-08-29,201,90,,10,,"90 kg || 10 reps","27"
"Leg Press",2013-08-29,202,130,,5,,"130 kg || 5 reps","31"
"Leg Press",2013-08-29,203,150,,5,,"150 kg || 5 reps","36"
"Leg Press",2013-08-29,204,170,,5,,"170 kg || 5 reps","42"
"Leg Press",2013-08-29,205,180,,5,,"180 kg || 5 reps","45"
"Leg Press",2013-08-29,206,200,,2,,"200 kg || 2 reps","35"
"Leg Press",2013-08-29,207,180,,3,,"180 kg || 3 reps","36"
